cbo,ca,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
4,1,4,True,True,0.6618607965296347,True,1.0,True,0.6408250775127223,Voting,Voting,True,0.6658389048057566
7,6,1,True,True,0.9949193777305236,True,1.0,True,0.9231477873471666,Voting,Voting,True,0.9949193777305236
6,0,2,True,False,0.3748341698236233,False,0.2,False,0.3150469998174582,Voting,Voting,False,0.37277729723746306
2,1,1,True,True,0.6346766349105232,True,1.0,True,0.8511871414117121,Voting,Voting,True,0.660771160988343
6,0,8,True,True,0.840767325172025,True,1.0,True,0.8475627351096934,Voting,Voting,True,0.8426406507582365
9,6,0,True,True,0.9949932623902976,True,1.0,True,0.9694837092274368,Voting,Voting,True,0.9949932623902976
8,1,13,True,True,0.9923800522797901,True,0.9,True,0.9587735396955718,Voting,Voting,True,0.9912932281353221
3,1,2,True,True,0.5300876742244984,True,0.7766666666666666,True,0.5067721410160025,Voting,Voting,True,0.5329886035473476
3,0,6,True,True,0.6813102556585875,False,0.475,False,0.42977811881811895,Voting,Voting,True,0.6788830761802512
0,0,2,True,True,0.5836510359236589,True,0.7416666666666667,True,0.5039223695631233,Voting,Voting,True,0.5855100433441648
4,0,14,True,True,0.6346258125815253,True,0.9,True,0.7463961279227064,Voting,Voting,True,0.6377478618452721
10,8,2,True,True,0.9985715707861796,True,1.0,True,0.9227783618358456,Voting,Voting,True,0.9985715707861796
1,0,4,True,True,0.674960296621232,True,1.0,True,0.9680703127674596,Voting,Voting,True,0.6787842931315704
3,0,2,True,True,0.5485843550007488,True,0.7680447330447331,True,0.5076577703495503,Voting,Voting,True,0.5511662418012663
8,0,5,True,True,0.9287018470807262,True,1.0,True,0.9623494679689059,Voting,Voting,True,0.9295406488797765
9,0,2,True,True,0.9461454527323618,True,1.0,True,0.8436023433977138,Voting,Voting,True,0.9467790356413929
5,4,3,True,True,0.9897679798208548,True,1.0,True,0.9354675296698828,Voting,Voting,True,0.9897679798208548
3,2,9,True,True,0.8784801983850157,True,1.0,True,0.9027677433795572,Voting,Voting,True,0.8784801983850157
62,52,12,True,True,0.9999999999999803,True,1.0,True,0.955551774675772,Voting,Voting,True,0.9999999999999803
4,1,2,True,True,0.5360349075845531,True,0.7333333333333333,True,0.5715996808661507,Voting,Voting,True,0.5383560655345387
4,1,2,False,True,0.5360349075845531,True,0.7333333333333333,True,0.5715996808661507,Voting,Voting,True,0.5383560655345387
6,2,4,True,True,0.8320412021784492,True,0.9666666666666666,True,0.8472256268100001,Voting,Voting,True,0.8320412021784492
4,3,1,True,True,0.9486647489832184,True,0.975,True,0.7304665816327335,Voting,Voting,True,0.9486647489832184
