noc,cbo,rfc,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
0,8,65,16,True,True,0.9658568547845574,True,1.0,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
0,2,7,2,False,False,0.42085697231812347,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
1,12,57,27,False,True,0.6495893699411729,True,0.8,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.8999999999999999
0,0,13,9,False,True,0.7876988079960707,False,0.2,False,0.2,AdaBoost,AdaBoost,False,0.2
0,3,18,1,False,True,0.821720354487372,False,0.3,False,0.5,AdaBoost,AdaBoost,False,0.5
0,8,82,14,True,True,0.9854053033922416,True,1.0,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.8999999999999999
0,10,33,25,True,True,0.8100458549696875,True,0.7,True,0.8,AdaBoost,AdaBoost,True,0.8
0,5,59,13,True,True,0.9510758720395904,True,0.9,True,0.9999999950329462,AdaBoost,AdaBoost,True,0.9999999950329462
0,4,18,5,True,False,0.4388797685190488,False,0.0,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
0,5,40,5,True,True,0.8932449820572875,True,1.0,True,0.9999999950329462,AdaBoost,AdaBoost,True,0.9999999950329462
0,0,31,3,False,True,0.9384962287621086,False,0.5,False,0.5,AdaBoost,AdaBoost,False,0.5
0,5,13,6,False,False,0.47762792026045203,True,0.8,False,0.5,AdaBoost,AdaBoost,False,0.5
0,16,92,59,True,True,0.9899498870942548,False,0.5,True,0.7,AdaBoost,AdaBoost,True,0.7
1,5,28,8,False,False,0.4707277714751961,False,0.5,False,0.4000000000000001,AdaBoost,AdaBoost,False,0.4000000000000001
0,7,49,36,True,True,0.8810575112378998,True,1.0,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.8999999999999999
0,4,10,4,False,True,0.7878497322019569,False,0.2,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
0,5,33,5,True,True,0.8647027386237855,True,0.7,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.8999999999999999
0,8,53,5,True,True,0.9330028358380066,True,1.0,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
0,9,87,44,True,True,0.9869806659498962,True,0.9,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
0,10,57,14,True,True,0.9486266096860202,True,1.0,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.8999999999999999
