wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
15,18,52,3,15,271,4,0,16.53333333,13,True,True,0.5989186895035433,False,0.3,False,0.3927544971756995,Voting,Voting,True,0.5989186895035433
3,2,8,1,1,60,0,0,15.0,0,False,False,0.05010067827143593,False,0.3,False,0.4103955623957012,Voting,Voting,False,0.05010067827143593
15,23,33,18,5,229,0,0,14.06666667,4,True,False,0.09974993628975017,False,0.1,False,0.2764623565212941,Voting,Voting,False,0.09974993628975017
2,6,5,2,4,14,0,0,6.0,1,False,False,0.0427528853476896,False,0.0,False,0.1023573508545405,Voting,Voting,False,0.0427528853476896
2,11,2,8,3,2,0,0,0.0,1,True,False,0.04722972407930631,False,0.0,False,0.022804583922718318,Voting,Voting,False,0.04722972407930631
4,8,29,0,8,141,0,0,34.0,6,False,False,0.08845594608667191,False,0.3,False,0.3238044333678273,Voting,Voting,False,0.08845594608667191
4,7,19,1,7,78,1,1,18.25,5,True,False,0.11027402807702126,False,0.2,True,0.5047031191491919,AdaBoost,AdaBoost,True,0.5047031191491919
51,4,71,1,3,481,0,0,8.274509804,3,False,True,0.6733954686012039,False,0.4,False,0.4787394962283157,Voting,RandomForest,False,0.4
14,14,46,5,9,544,0,0,37.28571429,8,False,True,0.7701251895719691,True,0.9,True,0.8101455511235697,Voting,Voting,True,0.7701251895719691
4,4,31,4,0,179,0,0,42.75,4,False,False,0.4647812448633317,False,0.3,False,0.3403689080758268,Voting,Voting,False,0.4647812448633317
2,16,30,2,14,373,0,0,185.5,25,False,False,0.3541967858420059,True,0.7,True,0.5358886363964397,Voting,Voting,False,0.3541967858420059
17,23,77,4,19,673,6,0,37.76470588,30,False,True,0.9973083906212546,True,0.8,True,0.6952285779707449,Voting,Voting,True,0.9973083906212546
3,10,25,0,10,139,0,0,45.33333333,10,False,False,0.06451384521851218,False,0.0,False,0.2620465771088457,Voting,Voting,False,0.06451384521851218
10,33,10,30,5,10,0,0,0.0,1,False,False,0.058589299028777984,False,0.1,False,0.4702819453348305,Voting,Voting,False,0.058589299028777984
20,31,107,3,29,844,1,0,40.6,39,True,True,0.9890315929908159,True,0.9,True,0.8196102658498562,Voting,Voting,True,0.9890315929908159
15,12,73,0,12,609,0,3,39.4,9,False,True,0.9846643402143136,True,0.7,True,0.6406842256991192,Voting,Voting,True,0.9846643402143136
3,8,24,0,8,114,0,0,37.0,7,False,False,0.06825537348339923,False,0.2,False,0.2774348554423613,Voting,Voting,False,0.06825537348339923
17,14,58,2,12,444,2,0,24.64705882,12,True,True,0.9197503239336372,True,0.8,True,0.5618587790940723,Voting,Voting,True,0.9197503239336372
3,11,25,0,11,156,0,0,51.0,12,False,False,0.06131417071407535,False,0.0,False,0.1144561683548292,Voting,Voting,False,0.06131417071407535
3,7,15,0,7,46,0,0,14.33333333,3,False,False,0.05103864962237704,False,0.0,False,0.07626570939883026,Voting,Voting,False,0.05103864962237704
