dit,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1,2.12962963,False,False,0.0453743271789773,False,0.0,False,0.0402043594724998,RandomForest,RandomForest,False,0.0
4,105.5,True,True,0.9060002187743535,True,0.9,True,0.9483498955932568,RandomForest,Voting,True,0.904000145849569
4,41.0,False,False,0.27963572010213106,False,0.1,False,0.3788332874074671,RandomForest,RandomForest,False,0.1
2,6.5,False,False,0.04888610149082693,False,0.0,False,0.06648735400950663,RandomForest,RandomForest,False,0.0
4,129.0,True,True,0.9520303892023332,True,1.0,True,0.9228342635602038,RandomForest,RandomForest,True,1.0
1,45.2,False,False,0.15087043599127245,False,0.0,False,0.11106609545026196,RandomForest,RandomForest,False,0.0
2,84.42857143,True,True,0.531774590953432,False,0.5,False,0.289884165471557,Voting,Voting,True,0.531774590953432
4,21.0,False,False,0.3100095759675203,False,0.375,False,0.4896916765307879,RandomForest,RandomForest,False,0.375
2,12.71428571,False,False,0.057770029716564274,False,0.0,False,0.05995875904933105,RandomForest,RandomForest,False,0.0
4,66.0,True,False,0.4479226756591347,False,0.1,False,0.3832562258321927,RandomForest,RandomForest,False,0.1
3,43.33333333,False,False,0.19422527353760505,False,0.0,False,0.02851462846634724,RandomForest,RandomForest,False,0.0
2,17.375,False,False,0.06556623053752993,False,0.0,False,0.08234536420532007,RandomForest,RandomForest,False,0.0
2,12.71428571,False,False,0.05777002971656445,False,0.0,False,0.08052040558009853,RandomForest,RandomForest,False,0.0
2,49.16666667,False,False,0.16504066845530374,False,0.0,False,0.2965860333849207,RandomForest,RandomForest,False,0.0
3,26.5,False,False,0.1020126793785735,False,0.0,False,0.2658825085946604,RandomForest,RandomForest,False,0.0
4,23.0,True,False,0.06642895350825327,False,0.1,False,2.2204460492503185e-16,RandomForest,RandomForest,False,0.1
1,2.086956522,False,False,0.045317248313846564,False,0.0,False,0.06787000815400307,RandomForest,RandomForest,False,0.0
1,22.66666667,False,False,0.08167790977539996,False,0.0,False,0.1718534467450863,RandomForest,RandomForest,False,0.0
4,30.5,False,True,0.5221635298757371,True,0.8,True,0.6179034830272908,RandomForest,RandomForest,True,0.8
1,2.055555556,False,False,0.04527528871512665,False,0.0,False,0.06923420551966998,RandomForest,RandomForest,False,0.0
3,3.0,False,False,0.06305658798949115,False,0.0,False,0.020311931185882558,RandomForest,RandomForest,False,0.0
4,23.0,False,False,0.4840125807660881,False,0.4,True,0.8,RandomForest,RandomForest,False,0.4
1,29.0,False,False,0.09727453639844164,False,0.0,False,0.11480573318708615,RandomForest,RandomForest,False,0.0
2,21.4,False,False,0.07313653505466018,False,0.0,False,0.0469000761989357,RandomForest,RandomForest,False,0.0
4,25.0,True,False,0.24143786743933385,False,0.39,False,0.4324117744979939,RandomForest,RandomForest,False,0.39
1,10.5,False,False,0.057910135691760775,False,0.0,False,0.028570864551749564,RandomForest,RandomForest,False,0.0
3,55.28571429,False,False,0.37555345567888176,False,0.0,False,0.25334631316737233,RandomForest,RandomForest,False,0.0
