noc,cbo,rfc,lcom,ca,ce,npm,loc,dam,mfa,ic,cbm,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
0,19,18,0,8,15,4,84,0.0,0.5,0,0,3,True,True,0.5648697101501372,False,0.4,True,0.5529992808430673,AdaBoost,AdaBoost,True,0.5529992808430673
0,13,41,7,1,12,9,286,0.5,0.72,2,6,6,True,True,0.9551540785098944,True,0.6,True,0.8948931251802817,AdaBoost,AdaBoost,True,0.9250236018450881
0,4,38,0,0,4,9,287,1.0,0.0,0,0,5,False,True,0.5042844285031362,True,0.6,True,0.5274498594553635,AdaBoost,AdaBoost,True,0.5158671439792498
0,3,7,6,2,2,1,26,0.0,0.98125,2,3,3,False,True,0.5276484115532852,False,0.4,True,0.530872670974194,RandomForest,AdaBoost,True,0.530872670974194
2,20,82,160,5,18,8,596,0.833333333,0.768421053,2,8,3,True,True,0.9923048544888528,True,0.9,True,0.8338487842120561,AdaBoost,AdaBoost,True,0.8338487842120561
3,13,6,10,10,3,0,8,0.0,0.0,0,0,1,False,False,0.17119002973992845,False,0.2,False,0.0907951684921139,AdaBoost,AdaBoost,False,0.0907951684921139
0,13,61,0,4,9,0,553,0.333333333,0.0,0,0,4,True,False,0.2421413605017791,False,0.5,True,0.5923099075718844,AdaBoost,AdaBoost,True,0.5923099075718844
0,6,34,34,1,6,7,323,0.7777777779999999,0.444444444,1,2,3,True,True,0.5748740765716912,True,0.9,True,0.751620458008571,AdaBoost,AdaBoost,True,0.751620458008571
0,8,36,58,1,7,13,191,1.0,0.0,0,0,1,False,True,0.5937670055501099,False,0.5,True,0.5299651072714474,RandomForest,AdaBoost,True,0.5299651072714474
0,30,8,28,28,2,8,8,0.0,0.0,0,0,1,False,True,0.9554707353831956,True,0.8,True,0.7069563672853014,AdaBoost,AdaBoost,True,0.7069563672853014
0,3,7,0,2,1,3,125,0.14285714300000002,0.0,0,0,3,False,False,0.09031141464251964,False,0.3,False,0.15592012322249205,AdaBoost,AdaBoost,False,0.15592012322249205
0,2,19,0,1,1,8,65,0.0,0.708333333,1,4,1,False,False,0.13013371843491858,False,0.1,False,0.3676063999117786,AdaBoost,AdaBoost,False,0.3676063999117786
1,5,7,15,3,3,0,9,0.0,0.0,0,0,1,False,False,0.09608385070950523,False,0.2,False,0.3837702886588065,AdaBoost,AdaBoost,False,0.3837702886588065
2,10,8,21,7,3,0,10,0.0,0.0,0,0,1,False,False,0.1430236999329985,False,0.0,False,0.05510925313982207,AdaBoost,AdaBoost,False,0.05510925313982207
0,10,25,0,2,10,6,91,0.0,0.5,0,0,1,True,False,0.16111791087630578,False,0.4,False,0.3735489224820023,AdaBoost,AdaBoost,False,0.3735489224820023
0,2,17,0,0,2,6,90,1.0,0.5,1,1,2,True,True,0.5351932840023382,False,0.2,False,0.4239059783156441,Voting,AdaBoost,False,0.4239059783156441
0,7,5,0,4,5,1,57,0.0,0.0,0,0,1,True,False,0.4382364163878256,False,0.5,True,0.5652080160227356,AdaBoost,AdaBoost,True,0.5652080160227356
0,20,64,167,13,11,22,446,1.0,0.333333333,2,6,12,True,True,0.99619863955597,True,1.0,True,0.9081459181307668,AdaBoost,AdaBoost,True,0.9081459181307668
0,2,4,1,1,1,1,13,0.0,0.923076923,1,1,2,True,False,0.12722318687845666,False,0.2,False,0.42708776348387983,AdaBoost,AdaBoost,False,0.27715547518116823
0,8,6,0,8,0,0,100,0.0,0.0,0,0,1,False,False,0.10225735119470132,False,0.5,False,0.4196844635908503,AdaBoost,AdaBoost,False,0.4196844635908503
0,79,22,0,79,0,10,145,0.0,0.0,1,1,6,True,True,0.6664008784758818,False,0.4,True,0.6880020116343791,AdaBoost,AdaBoost,True,0.6880020116343791
