cbo,rfc,loc,moa,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,14,39,2,1,False,False,0.018489093875152348,False,0.1,False,0.029143199280407626,Voting,Voting,False,0.018489093875152348
4,5,36,0,1,False,False,0.012617171691242077,False,0.0,False,0.01730990635836721,Voting,Voting,False,0.012617171691242077
49,89,583,24,5,False,True,0.6056563412862618,False,0.5,False,0.4043640309798521,Voting,RandomForest,False,0.5528281706431308
0,8,20,0,0,False,False,0.012142683091421608,False,0.0,False,0.010316137391895384,Voting,Voting,False,0.012142683091421608
3,8,73,0,3,False,False,0.013575554994312698,False,0.0,False,0.17437018375317767,Voting,Voting,False,0.013575554994312698
38,91,717,7,15,True,True,0.7986336022623789,False,0.4,False,0.4948651365703085,Voting,Voting,True,0.7986336022623789
0,3,3,0,1,False,False,0.0116812214259801,False,0.0,False,0.011264113021632684,Voting,Voting,False,0.0116812214259801
3,24,114,0,3,False,False,0.016744234387906856,False,0.0,False,0.07122853489271377,Voting,Voting,False,0.016744234387906856
2,7,30,0,3,False,False,0.013299447823585948,False,0.0,False,0.042788888721360135,Voting,Voting,False,0.013299447823585948
5,8,27,0,1,False,False,0.013343334342308838,False,0.0,False,0.013451524631687351,Voting,Voting,False,0.013343334342308838
1,25,283,0,2,False,False,0.015686862441782478,False,0.0,False,0.11876097692084522,Voting,Voting,False,0.015686862441782478
12,22,1700,3,1,True,False,0.4064141899374554,False,0.2,False,0.2595453388207032,Voting,Voting,False,0.4064141899374554
1,7,14,0,1,False,False,0.012477083595322336,False,0.0,False,0.017154759207454424,Voting,Voting,False,0.012477083595322336
0,0,0,0,0,False,False,0.010934993405564357,False,0.0,False,0.01721510910423268,Voting,Voting,False,0.010934993405564357
8,33,177,0,1,False,False,0.019066841109361517,False,0.3,False,0.3540009305980258,Voting,Voting,False,0.019066841109361517
6,9,35,0,1,False,False,0.013699858938556677,False,0.1,False,0.13923902738397584,Voting,Voting,False,0.013699858938556677
3,15,17,0,1,False,False,0.014285741960321069,False,0.0,False,0.04499349722263856,Voting,Voting,False,0.014285741960321069
0,3,5,0,1,False,False,0.011677454385791514,False,0.0,False,0.011394642159199908,Voting,Voting,False,0.011677454385791514
20,145,1226,1,10,False,True,0.7435154349873997,False,0.3,False,0.4878329327074988,Voting,Voting,True,0.7435154349873997
40,207,2594,9,41,True,True,0.9569045500639428,True,1.0,True,0.8531442189313713,Voting,Voting,True,0.9569045500639428
