cbo,rfc,lcom,loc,cam,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
10,18,3,106,0.444444444,32.66666667,1,False,False,0.03510017858263132,False,0.1,False,0.12635474240354033,AdaBoost,AdaBoost,False,0.12284278955477838
4,13,0,76,0.5,13.4,1,False,False,0.030343243918265726,False,0.0,False,0.284136303192128,AdaBoost,AdaBoost,False,0.28110867804075457
1,3,0,7,1.0,6.0,0,False,False,0.014547334488201662,False,0.0,False,0.031579130523616036,AdaBoost,AdaBoost,False,0.03154032904586472
13,20,12,101,0.40625,11.0,1,False,False,0.03694097755486322,False,0.1,False,0.26641514099080044,AdaBoost,AdaBoost,False,0.2608737311468456
5,26,16,185,0.38888888899999996,19.0,2,True,False,0.048858508798516435,False,0.2,False,0.4422573252681656,AdaBoost,AdaBoost,False,0.4276636648885106
7,4,1,16,0.5555555560000001,4.0,1,False,False,0.022555188633383943,False,0.0,False,0.09978256129305206,AdaBoost,AdaBoost,False,0.09938161088179308
4,40,130,345,0.284210526,15.9,3,True,False,0.08025957186140457,False,0.4,False,0.3723140835859624,AdaBoost,AdaBoost,False,0.353061624637809
7,28,20,183,0.3,12.53846154,7,False,False,0.4052285231169445,False,0.4,False,0.3692217206975456,AdaBoost,AdaBoost,False,0.3710314288894517
5,19,8,119,0.518518519,11.77777778,3,False,False,0.038715877122793764,False,0.0,False,0.11888003315347452,AdaBoost,AdaBoost,False,0.11758708682705193
9,25,0,255,0.342857143,34.85714286,9,False,False,0.4161909958531281,False,0.2,False,0.22999129572124136,AdaBoost,AdaBoost,False,0.2507622476042378
5,17,26,71,0.333333333,6.555555556,3,False,False,0.3749103689344074,False,0.3,False,0.4572956075663409,AdaBoost,AdaBoost,False,0.4563226756377122
19,10,3,38,0.583333333,11.66666667,1,False,False,0.02412956480323301,False,0.1,False,0.1010497369528823,AdaBoost,AdaBoost,False,0.10033725369300182
10,1,0,1,1.0,0.0,1,False,False,0.01414438672466601,False,0.0,False,0.07413576899306483,AdaBoost,AdaBoost,False,0.07395591141811314
3,12,20,54,0.375,4.555555556,1,False,False,0.3656216318378981,False,0.2,False,0.31329906298499194,AdaBoost,AdaBoost,False,0.31362932067904226
7,40,129,252,0.3815789470000001,11.52631579,6,False,False,0.0810472179418564,False,0.0,False,0.03747111199519732,AdaBoost,AdaBoost,False,0.03978729890269571
13,26,0,110,0.26,9.9,3,False,False,0.05305485417468029,False,0.2,False,0.2516910154389273,AdaBoost,AdaBoost,False,0.24525891451526996
2,5,0,34,0.5,10.0,1,False,False,0.02514281061432794,False,0.0,False,0.027361718506511312,AdaBoost,AdaBoost,False,0.027349947634098443
7,79,136,835,0.19375,39.8,10,False,True,0.8740311410143944,False,0.5,False,0.4644946571671176,AdaBoost,RandomForest,False,0.5222602517603475
8,6,15,6,0.444444444,0.0,1,False,False,0.025415451345542784,False,0.1,False,0.06350295787696299,AdaBoost,AdaBoost,False,0.06332940121930297
5,11,1,41,0.75,12.33333333,3,True,False,0.02578600395877452,False,0.0,False,0.17847374917519002,AdaBoost,AdaBoost,False,0.1771924693411562
7,14,6,70,0.8,12.6,4,False,False,0.028259052241226695,False,0.0,False,0.1509991211852185,AdaBoost,AdaBoost,False,0.14949705341571218
1,1,0,1,1.0,0.0,1,False,False,0.014788139746495241,False,0.0,False,0.03643914138676959,AdaBoost,AdaBoost,False,0.03641155253769347
7,26,0,181,0.409090909,15.0,1,False,False,0.3786207768843555,False,0.3,False,0.21254735341515665,AdaBoost,AdaBoost,False,0.21862956289461763
5,15,3,51,0.666666667,16.0,2,False,False,0.02852511212614683,False,0.0,False,0.1575329141328453,AdaBoost,AdaBoost,False,0.15597979174497553
5,7,1,29,0.666666667,8.333333332999999,1,False,False,0.022294584955213973,False,0.0,False,0.2307781559851089,AdaBoost,AdaBoost,False,0.22950480819101693
15,65,76,483,0.311111111,28.25,9,True,False,0.28412626384525524,False,0.4,False,0.4405094551457956,AdaBoost,AdaBoost,False,0.39613847298561844
12,5,0,18,0.4375,3.25,1,False,False,0.0249823654045124,False,0.0,False,0.08297013105486216,AdaBoost,AdaBoost,False,0.08256564811058067
