cbo,rfc,ce,npm,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,19,6,6,0.3666666670000001,False,False,0.06496275988574664,False,0.0,False,0.1730837540826799,AdaBoost,AdaBoost,False,0.17148573186662847
1,17,1,12,0.46153846200000004,False,False,0.033552650421338794,False,0.0,False,0.0548120848426251,AdaBoost,AdaBoost,False,0.05474337006612645
48,12,1,6,0.45833333299999995,False,False,0.018861355996064925,False,0.0,False,0.17509446077612675,AdaBoost,AdaBoost,False,0.17360711300011394
4,4,2,4,1.0,False,False,0.01685597307945489,False,0.0,False,0.216552191682904,AdaBoost,Voting,False,0.027437478220748816
2,8,1,4,0.666666667,False,False,0.023265567365010814,False,0.0,False,0.07388549753023324,AdaBoost,Voting,False,0.04100459607612851
8,14,5,3,0.5,True,False,0.042784891922563316,False,0.0,False,0.08412135733156106,AdaBoost,AdaBoost,False,0.07903750950469177
2,6,1,5,0.46666666700000003,False,False,0.032884785773650844,False,0.0,False,0.16163780730098462,AdaBoost,AdaBoost,False,0.10891168073861407
6,31,6,9,0.355555556,True,False,0.06879778649002855,False,0.0,False,0.13328824794213012,AdaBoost,AdaBoost,False,0.13105578221043515
6,9,3,9,0.425925926,False,False,0.046082547936299255,False,0.2,False,0.497874634263335,AdaBoost,AdaBoost,False,0.49503935070721755
6,19,2,15,0.20952381,False,False,0.05432848098138384,False,0.0,False,0.11734743995489172,AdaBoost,AdaBoost,False,0.11691055102619037
1,34,1,29,0.433333333,False,False,0.025038450561114967,False,0.0,False,0.2319212810383905,AdaBoost,AdaBoost,False,0.23192100248057881
30,155,30,34,0.138314785,True,False,0.4455719403186915,False,0.2,False,0.3317983853663361,AdaBoost,RandomForest,False,0.25537440505630454
4,19,2,10,0.35,False,False,0.04252074979524459,False,0.1,False,0.33793161993359605,AdaBoost,AdaBoost,False,0.33674260722738597
3,9,3,3,0.5,False,False,0.03824341266355283,False,0.1,False,0.20416201773909504,AdaBoost,Voting,False,0.08520663572898582
8,18,1,11,0.287878788,False,False,0.04358531545953683,True,0.6,False,0.28115562213034456,AdaBoost,AdaBoost,False,0.28354349862510025
14,29,9,6,0.44,False,False,0.0878337214540968,False,0.1,False,0.17808078632387522,AdaBoost,AdaBoost,False,0.17565693948574515
3,10,3,3,0.833333333,False,False,0.02352337892371996,False,0.0,False,0.2279483049942337,AdaBoost,Voting,False,0.05648514286953914
29,121,29,31,0.165966387,True,False,0.4825778703353082,False,0.1,False,0.3212971272166447,AdaBoost,AdaBoost,False,0.2301948507401763
6,35,6,13,0.259615385,False,False,0.08585226179918211,False,0.0,False,0.06903351298979257,AdaBoost,AdaBoost,False,0.06783154844152814
