dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
3,0,7,0,1,4,0.36,1,2,7.4,0.6,False,False,0.3745780646865326,False,0.3,False,0.4594773799411477,AdaBoost,AdaBoost,False,0.4591809531501224
1,0,3,4,1,3,0.5,0,0,3.0,0.5,False,False,0.044209745844745116,False,0.1,False,0.20719514349364124,AdaBoost,AdaBoost,False,0.19685401582203782
4,0,26,144,2,13,0.19736842100000002,4,5,20.3,1.0,False,False,0.020240431984902555,False,0.0,False,0.4074611054098181,AdaBoost,AdaBoost,False,0.4074611054098181
2,0,8,3,2,2,0.666666667,1,3,54.0,5.3333,True,False,0.4663709757929678,False,0.3,True,0.5070283247448472,AdaBoost,Voting,False,0.4663709758038708
1,0,25,22,22,6,0.25,0,0,20.875,0.75,True,False,0.4182255502479579,False,0.2,False,0.4597914757730886,AdaBoost,AdaBoost,False,0.45957548552658667
1,0,6,3,5,3,1.0,0,0,0.0,1.0,False,False,0.03664557960621775,False,0.13333333333333333,False,0.2131883266567195,AdaBoost,AdaBoost,False,0.20509869807423697
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False,False,0.0211929133220562,False,0.0,False,0.08989008545766458,AdaBoost,AdaBoost,False,0.08676918368005213
1,0,9,15,2,6,0.333333333,0,0,6.666666667,1.3333,True,False,0.0718585360537397,False,0.3,False,0.205892932563208,AdaBoost,AdaBoost,False,0.18915108033429964
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.05244540653357449,False,0.0,False,0.046081260977028214,AdaBoost,AdaBoost,False,0.04678783128876336
1,0,7,6,0,3,0.375,0,0,4.5,0.75,False,False,0.04990485608039905,False,0.0,False,0.06343756255159133,AdaBoost,AdaBoost,False,0.06251887185522029
1,0,11,45,1,9,0.15,0,0,4.2,0.9,True,False,0.07089324267309212,False,0.0,False,0.12449908950022373,AdaBoost,AdaBoost,False,0.11904655587141373
3,0,10,25,3,7,0.3,2,3,15.4,0.9,False,False,0.03701573627397045,False,0.2,False,0.40248270896369903,AdaBoost,AdaBoost,False,0.40243088077916417
2,0,13,201,2,21,0.17676767699999998,1,1,10.13043478,0.8696,False,False,0.07819068953434538,False,0.3,False,0.27429484427382783,AdaBoost,AdaBoost,False,0.2557347592370542
4,0,18,22,4,7,0.3125,0,0,16.5,0.75,False,False,0.09296931321640456,False,0.2,False,0.44638179100595854,AdaBoost,AdaBoost,False,0.4200258843250866
