wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
28,32,82,7,24,926,0,31.64285714,True,False,0.2199788054811076,False,0.4,False,0.4118937069482039,AdaBoost,AdaBoost,False,0.41189366722573667
6,3,7,1,4,36,0,4.666666667,False,False,0.02106631676030913,False,0.1,True,0.5006681719154763,AdaBoost,AdaBoost,True,0.5006681145706067
4,5,6,4,2,21,1,4.0,False,False,0.0264334849673086,False,0.0,False,0.08417168625316633,AdaBoost,AdaBoost,False,0.08417166938589513
4,9,4,0,4,4,0,0.0,False,False,0.3503452146394008,False,0.3,True,0.6019978773528261,AdaBoost,AdaBoost,True,0.601997665856521
1,8,1,2,1,1,0,0.0,False,False,0.017967176145241025,False,0.0,False,0.1277718001481072,AdaBoost,AdaBoost,False,0.12777179071131012
23,150,67,5,20,653,1,26.86956522,True,False,0.33626448689331384,False,0.3,False,0.04932573420726534,AdaBoost,RandomForest,False,0.29999999999950844
5,8,26,7,4,127,2,23.6,False,False,0.37274847968310426,False,0.1,False,0.34359036310953706,AdaBoost,AdaBoost,False,0.34359096069843265
25,18,73,0,18,666,0,25.32,True,False,0.06520302242330465,False,0.1,False,0.2764839803444409,AdaBoost,AdaBoost,False,0.2764839715874238
7,2,13,1,7,86,0,10.42857143,False,False,0.019781342758495645,False,0.0,False,0.11269402233727148,AdaBoost,AdaBoost,False,0.11269401907962422
21,7,22,2,21,141,2,5.2380952380000005,False,False,0.019844833925022096,False,0.1,False,0.2313940437237993,AdaBoost,AdaBoost,False,0.2313940436854795
2,2,4,1,2,11,0,4.5,False,False,0.0204336068266402,False,0.0,False,0.11358745173730925,AdaBoost,AdaBoost,False,0.11358745042264459
8,10,21,5,7,130,0,15.25,False,False,0.01994017597213044,False,0.0,False,0.04242827682795668,AdaBoost,AdaBoost,False,0.04242815898388348
32,16,81,0,27,504,0,14.34375,False,False,0.06998814741353454,False,0.1,False,0.1893571910682004,AdaBoost,AdaBoost,False,0.18935718011581257
13,4,44,2,9,208,0,14.84615385,False,False,0.04585075427347416,False,0.0,False,0.0369852752182432,AdaBoost,AdaBoost,False,0.036985276473008026
19,8,42,7,3,329,1,16.05263158,True,False,0.08413757112533786,False,0.0,False,0.2146250672527864,AdaBoost,AdaBoost,False,0.21460394332147636
2,6,21,3,1,144,0,71.0,False,False,0.016654357339549914,False,0.0,False,0.03724712029195207,AdaBoost,AdaBoost,False,0.037246531647259426
1,4,1,2,1,1,0,0.0,False,False,0.019489090963501432,False,0.0,False,0.13418675531723312,AdaBoost,AdaBoost,False,0.1341867539701778
25,10,58,4,23,257,1,9.08,False,False,0.03932994583368839,False,0.0,False,0.0691932309495788,AdaBoost,AdaBoost,False,0.06919323078074902
8,12,29,5,8,126,1,14.625,False,False,0.028501093633017425,False,0.1,False,0.08826343460503602,AdaBoost,AdaBoost,False,0.08826290069324923
5,26,11,2,5,41,1,6.8,False,False,0.01635852393033102,False,0.2,False,0.23323040802802605,AdaBoost,AdaBoost,False,0.2332170110052051
3,7,8,0,3,34,0,10.33333333,False,False,0.018942479362498158,False,0.0,False,0.0571624840199092,AdaBoost,AdaBoost,False,0.05716245649871348
4,6,10,5,1,27,1,5.5,False,False,0.03061557904529108,False,0.0,False,0.03467278394881923,AdaBoost,AdaBoost,False,0.03467278239441948
5,6,6,1,5,32,1,5.0,False,False,0.021751571900966257,False,0.2,False,0.2712904252627203,AdaBoost,AdaBoost,False,0.2712902557194958
2,4,3,1,1,8,1,2.5,False,False,0.026663454336550558,False,0.0,False,0.08062566349577813,AdaBoost,AdaBoost,False,0.08062566128793791
1,4,1,1,1,1,0,0.0,False,False,0.01977540769478805,False,0.0,False,0.14030062777108376,AdaBoost,AdaBoost,False,0.1403006263651351
10,27,19,2,10,138,1,12.3,False,False,0.015266367188320728,False,0.0,False,0.2438830439757193,AdaBoost,AdaBoost,False,0.24388267576653888
12,3,25,0,12,67,0,4.583333333,False,False,0.023120897457472724,False,0.2,False,0.2212431612429281,AdaBoost,AdaBoost,False,0.22124316123499
5,14,21,3,5,75,0,13.8,False,False,0.020399188218651703,False,0.0,False,0.12992166164889127,AdaBoost,AdaBoost,False,0.12991833186164609
54,17,137,0,16,1589,1,27.796296299999998,False,True,0.6279824396138205,True,0.6,False,0.4929170096662133,AdaBoost,AdaBoost,False,0.5063552087568473
5,4,9,3,5,61,0,10.2,False,False,0.018062112050576205,False,0.0,False,0.13057141848111628,AdaBoost,AdaBoost,False,0.1305713930307123
37,26,120,26,24,1123,0,29.10810811,True,False,0.4420579231788848,False,0.4,False,0.2424414521796945,AdaBoost,AdaBoost,False,0.2443132213027462
10,9,15,6,8,67,1,5.3,False,False,0.02280065815772403,False,0.0,False,0.022757619245636646,AdaBoost,AdaBoost,False,0.022757619287067876
8,6,32,6,4,221,0,26.375,False,False,0.03384427413224104,False,0.2,False,0.4206680485271773,AdaBoost,AdaBoost,False,0.42065968652807784
2,4,5,2,1,19,1,8.0,False,False,0.02636228559680568,False,0.0,False,0.04245721840045453,AdaBoost,AdaBoost,False,0.04245721728346384
20,8,29,3,20,188,1,8.0,False,False,0.019052347000419374,False,0.4,False,0.17904770544384482,AdaBoost,AdaBoost,False,0.17904770551258756
3,3,4,1,2,16,0,4.0,False,False,0.02076151457801564,False,0.0,False,0.1395788238709245,AdaBoost,AdaBoost,False,0.1395788198457936
