noc,cbo,rfc,lcom,ca,ce,npm,loc,dam,mfa,ic,cbm,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
0,19,18,0,8,15,4,84,0.0,0.5,0,0,3,True,True,0.5648697101501372,False,0.4,True,0.5529992808430673,AdaBoost,AdaBoost,True,0.556714580745825
0,13,41,7,1,12,9,286,0.5,0.72,2,6,6,True,True,0.9551540785098944,True,0.6,True,0.8948931251802817,AdaBoost,Voting,True,0.9519483360139712
0,4,38,0,0,4,9,287,1.0,0.0,0,0,5,False,True,0.5042844285031362,True,0.6,True,0.5274498594553635,AdaBoost,RandomForest,True,0.5773337140992645
0,3,7,6,2,2,1,26,0.0,0.98125,2,3,3,False,True,0.5276484115532852,False,0.4,True,0.530872670974194,RandomForest,Voting,True,0.5262577701123681
2,20,82,160,5,18,8,596,0.833333333,0.768421053,2,8,3,True,True,0.9923048544888528,True,0.9,True,0.8338487842120561,AdaBoost,AdaBoost,True,0.8338488942249581
3,13,6,10,10,3,0,8,0.0,0.0,0,0,1,False,False,0.17119002973992845,False,0.2,False,0.0907951684921139,AdaBoost,Voting,False,0.15634381783982362
0,13,61,0,4,9,0,553,0.333333333,0.0,0,0,4,True,False,0.2421413605017791,False,0.5,True,0.5923099075718844,AdaBoost,Voting,False,0.2957431098013459
0,6,34,34,1,6,7,323,0.7777777779999999,0.444444444,1,2,3,True,True,0.5748740765716912,True,0.9,True,0.751620458008571,AdaBoost,Voting,True,0.7119594700772314
0,8,36,58,1,7,13,191,1.0,0.0,0,0,1,False,True,0.5937670055501099,False,0.5,True,0.5299651072714474,RandomForest,RandomForest,False,0.5254880891894836
0,30,8,28,28,2,8,8,0.0,0.0,0,0,1,False,True,0.9554707353831956,True,0.8,True,0.7069563672853014,AdaBoost,AdaBoost,True,0.7069563686251839
0,3,7,0,2,1,3,125,0.14285714300000002,0.0,0,0,3,False,False,0.09031141464251964,False,0.3,False,0.15592012322249205,AdaBoost,RandomForest,False,0.2973625780707741
0,2,19,0,1,1,8,65,0.0,0.708333333,1,4,1,False,False,0.13013371843491858,False,0.1,False,0.3676063999117786,AdaBoost,RandomForest,False,0.11264517103831029
1,5,7,15,3,3,0,9,0.0,0.0,0,0,1,False,False,0.09608385070950523,False,0.2,False,0.3837702886588065,AdaBoost,Voting,False,0.09967917386971221
2,10,8,21,7,3,0,10,0.0,0.0,0,0,1,False,False,0.1430236999329985,False,0.0,False,0.05510925313982207,AdaBoost,Voting,False,0.14026956979422783
0,10,25,0,2,10,6,91,0.0,0.5,0,0,1,True,False,0.16111791087630578,False,0.4,False,0.3735489224820023,AdaBoost,RandomForest,False,0.39768876070355835
0,2,17,0,0,2,6,90,1.0,0.5,1,1,2,True,True,0.5351932840023382,False,0.2,False,0.4239059783156441,Voting,Voting,True,0.3711353867648158
0,7,5,0,4,5,1,57,0.0,0.0,0,0,1,True,False,0.4382364163878256,False,0.5,True,0.5652080160227356,AdaBoost,RandomForest,False,0.4980162145390182
0,20,64,167,13,11,22,446,1.0,0.333333333,2,6,12,True,True,0.99619863955597,True,1.0,True,0.9081459181307668,AdaBoost,AdaBoost,True,0.9081459181307668
0,2,4,1,1,1,1,13,0.0,0.923076923,1,1,2,True,False,0.12722318687845666,False,0.2,False,0.42708776348387983,AdaBoost,RandomForest,False,0.1950916659350649
0,8,6,0,8,0,0,100,0.0,0.0,0,0,1,False,False,0.10225735119470132,False,0.5,False,0.4196844635908503,AdaBoost,Voting,False,0.1516918967817619
0,79,22,0,79,0,10,145,0.0,0.0,1,1,6,True,True,0.6664008784758818,False,0.4,True,0.6880020116343791,AdaBoost,AdaBoost,True,0.6880020116343791
2,7,16,0,2,5,1,66,1.0,0.0,0,0,1,False,True,0.5011559875390242,False,0.5,True,0.5948632840946457,RandomForest,Voting,True,0.5024555564825903
0,16,22,0,11,6,6,100,1.0,0.6315789470000001,2,2,4,True,True,0.6679456820894104,True,0.7,True,0.7467372447924505,AdaBoost,Voting,True,0.672690140966867
2,4,21,13,2,2,3,185,0.75,0.583333333,1,2,1,True,True,0.5398339878530982,True,0.7,False,0.4680689620492204,AdaBoost,Voting,True,0.5394482699139264
0,36,2,0,36,0,1,5,0.0,1.0,0,0,0,False,True,0.9529401130466476,True,0.7,False,0.4437667863277747,AdaBoost,AdaBoost,False,0.4437667863277762
0,9,33,34,0,9,5,453,1.0,0.885057471,1,5,3,False,True,0.6117780273700768,True,0.8,True,0.7343165807112197,AdaBoost,Voting,True,0.6122667984340872
0,16,6,6,15,3,3,15,0.0,0.0,0,0,1,False,True,0.5115019174507847,True,0.7,True,0.6367059620063696,AdaBoost,Voting,True,0.5691107999952388
0,4,17,5,1,4,5,109,1.0,0.0,0,0,2,True,False,0.4813538338494034,False,0.5,True,0.5136776930515408,AdaBoost,RandomForest,False,0.49778130688096606
2,11,6,10,8,4,2,8,0.0,0.0,0,0,1,False,False,0.1567612950325491,False,0.2,False,0.4153981822916527,AdaBoost,Voting,False,0.16471773952343638
3,57,36,176,52,5,19,193,0.5,0.0,0,0,1,True,True,0.9995477372557896,True,1.0,True,0.9234119454686824,AdaBoost,AdaBoost,True,0.9234119454686824
2,10,47,108,3,8,15,817,0.333333333,0.24,0,0,2,True,True,0.9544884682751772,True,0.9,True,0.7249277867944773,AdaBoost,AdaBoost,True,0.7250054113542899
5,10,6,4,9,1,5,19,1.0,0.0,0,0,1,True,True,0.5421522826323503,True,0.6,False,0.4429884774830838,AdaBoost,Voting,True,0.5004266528912581
0,4,14,4,1,3,2,74,0.0,0.7777777779999999,1,2,1,False,False,0.14371770273974893,False,0.1,False,0.2822673627696076,AdaBoost,RandomForest,False,0.10225215930660997
0,4,10,15,1,3,6,31,0.0,0.615384615,1,3,1,True,False,0.4901442025613334,True,0.7,True,0.5267896404801609,AdaBoost,RandomForest,True,0.6700114849749177
0,9,20,5,2,8,3,191,0.0,0.28571428600000004,0,0,8,False,False,0.488263936573909,False,0.4,False,0.4950813920347765,AdaBoost,RandomForest,False,0.40033595699458796
0,5,6,3,1,4,3,18,0.0,0.5,0,0,1,False,False,0.4374197400693093,False,0.5,False,0.4155012607358515,AdaBoost,RandomForest,False,0.48778022421041445
0,14,2,0,11,3,0,11,0.0,1.0,0,0,0,False,False,0.13190240486529967,False,0.2,False,0.4006213374410772,AdaBoost,Voting,False,0.2540398365219359
1,13,46,0,2,12,7,357,1.0,0.0,0,0,1,True,False,0.2995167166786766,True,0.9,True,0.7358103087429985,AdaBoost,Voting,False,0.4042808975444776
0,30,39,0,28,3,17,432,0.833333333,0.0,0,0,5,False,True,0.9819537366140736,True,0.9,True,0.7735917136545422,AdaBoost,AdaBoost,True,0.7735917136545422
0,3,12,66,3,0,12,12,0.0,0.0,0,0,1,True,False,0.4686834644729253,False,0.3,True,0.6473574328716307,AdaBoost,RandomForest,False,0.3310801865511042
0,5,12,0,4,1,0,95,0.0,0.0,0,0,1,False,False,0.08430913889082405,False,0.3,False,0.3803085036796232,AdaBoost,RandomForest,False,0.2435073369280967
0,8,20,0,2,6,0,389,1.0,0.833333333,1,1,5,True,True,0.5602060887553514,False,0.5,True,0.5458117533446473,AdaBoost,Voting,True,0.5429902287881736
0,31,57,203,25,6,18,565,0.222222222,0.0,0,0,3,True,True,0.9836203250784308,True,1.0,True,0.7191365038061709,AdaBoost,AdaBoost,True,0.7191365038061709
0,19,1,0,18,1,1,1,0.0,0.0,0,0,1,False,False,0.4917610284505526,True,0.8,True,0.7840017320387334,Voting,AdaBoost,True,0.7839656766282925
0,9,51,14,3,6,5,414,0.75,0.0,0,0,4,False,False,0.2093249980945163,True,0.6,True,0.6278257119382026,Voting,Voting,False,0.2345341668788818
0,12,12,1,1,11,6,173,1.0,0.9215686270000001,0,0,6,False,False,0.2304563512698544,True,0.6,False,0.4991383334679729,AdaBoost,RandomForest,True,0.4913733177308797
0,16,103,317,3,16,28,865,0.8888888890000001,0.688679245,1,10,3,True,True,0.9863219241593048,True,1.0,True,0.8655204191677964,AdaBoost,AdaBoost,True,0.8655204191677964
0,2,23,26,0,2,6,155,0.0,0.9137931029999999,0,0,1,True,False,0.11267069327196155,True,0.6,False,0.4073257752510787,RandomForest,RandomForest,True,0.5234447929467383
