loc,mfa,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
25,0.666666667,11.5,1.0,False,False,0.05512555147853481,False,0.1,False,0.2,Voting,Voting,False,0.05512555147853481
176,0.0,14.72727273,2.0,False,False,0.16083576542109262,False,0.2,False,0.2,Voting,Voting,False,0.17340441563889497
262,0.9936170209999999,63.75,1.0,True,True,0.8950795758439244,True,0.9,True,0.9999999999999998,Voting,Voting,True,0.8950795758439244
5,0.0,0.0,0.0,False,False,0.05168850103599635,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05168850103599635
347,0.0,41.625,0.875,True,True,0.9095171462634424,True,0.6,True,0.8,Voting,Voting,True,0.9095171462485026
123,0.0,29.75,3.0,True,False,0.4172001969440508,True,0.8,False,0.4000000000000001,RandomForest,RandomForest,True,0.7996815063845997
512,0.979035639,45.27272727,2.6364,True,True,0.9700473370391288,True,0.9,True,0.8999999999999999,Voting,Voting,True,0.9700473370391288
57,0.0,55.0,0.0,False,True,0.8864098563245433,True,0.6,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.3000000000006601
5,0.0,0.0,0.0,False,False,0.051688501035682836,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.051688501035682836
75,0.0,14.0,2.2,False,False,0.08011891300369371,False,0.1,False,2.2204460492503185e-16,Voting,Voting,False,0.08458990012522957
247,0.0,34.0,2.5714,True,False,0.371492022962348,False,0.5,False,0.29999999999999993,Voting,RandomForest,False,0.49927078524886565
141,0.0,22.16666667,1.1667,True,False,0.115638742269439,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.11546376524784592
210,0.0,33.0,1.1667,False,True,0.5839719431593391,False,0.4,False,0.5,Voting,Voting,True,0.5838807392677652
630,0.0,205.66666669999998,0.6667,True,True,0.9997348020201126,True,0.9,True,0.9999999999999998,Voting,Voting,True,0.9997348020201126
50,0.666666667,24.0,1.5,False,False,0.07690626861394982,False,0.1,False,0.14285714285714285,Voting,Voting,False,0.07690626861394982
155,0.0,24.5,1.1667,False,False,0.15202413016575025,False,0.1,False,0.29999999999999993,Voting,Voting,False,0.15187414048736353
376,0.0,61.66666667,4.5,True,True,0.9179549451117504,True,0.8,True,0.8,Voting,Voting,True,0.9179549451117504
3,0.0,0.0,1.0,False,False,0.04243138917080184,False,0.0,False,4.967053706610929e-09,Voting,Voting,False,0.04243138917080184
515,0.998095238,254.5,1.0,True,True,0.9996457401845792,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9996457401845792
34,0.0,16.0,0.5,False,False,0.07041532838307972,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.07041532838274563
155,0.0,24.5,1.1667,False,False,0.15202413015471142,False,0.2,False,0.16021833815767014,Voting,Voting,False,0.15215643014576802
99,0.695652174,10.875,1.375,False,False,0.08875845607880613,False,0.1,False,1.8339117849875717e-06,Voting,Voting,False,0.08875845607880613
30,0.666666667,14.0,0.5,False,False,0.06339711444028644,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06339711444028644
29,0.666666667,13.5,0.5,False,False,0.06249628812422845,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06249628812422845
68,0.9090909090000001,33.0,1.5,False,False,0.12138895712218024,False,0.4,False,0.14285714285714285,Voting,Voting,False,0.12138895712218024
251,0.0,22.9,2.4,False,True,0.834519696509931,False,0.5,True,0.8,RandomForest,RandomForest,False,0.5004672458506583
174,0.9957356079999999,56.66666667,0.6667,True,False,0.3956926068750814,False,0.5,False,0.5,Voting,Voting,False,0.3956926068750814
