cbo,rfc,lcom,loc,cam,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
10,18,3,106,0.444444444,32.66666667,1,False,False,0.03510017858263132,False,0.1,False,0.12635474240354033,AdaBoost,AdaBoost,False,0.12562470589297306
4,13,0,76,0.5,13.4,1,False,False,0.030343243918265726,False,0.0,False,0.28413630319212796,AdaBoost,AdaBoost,False,0.28413630319212796
1,3,0,7,1.0,6.0,0,False,False,0.014547334488201662,False,0.0,False,0.031579130523616036,AdaBoost,AdaBoost,False,0.031579130523616036
13,20,12,101,0.40625,11.0,1,False,False,0.03694097755486322,False,0.1,False,0.26641514099080044,AdaBoost,AdaBoost,False,0.26641514099080044
5,26,16,185,0.388888889,19.0,2,True,False,0.048858508798516435,False,0.2,False,0.4422573252681656,AdaBoost,AdaBoost,False,0.4422573252681656
7,4,1,16,0.5555555560000001,4.0,1,False,False,0.022555188633383943,False,0.0,False,0.09978256129305206,AdaBoost,AdaBoost,False,0.09947365180241338
4,40,130,345,0.284210526,15.9,3,True,False,0.08025957186140457,False,0.4,False,0.3723140835859624,AdaBoost,AdaBoost,False,0.370561756515615
7,28,20,183,0.3,12.53846154,7,False,False,0.4052285231169445,False,0.4,False,0.3692217206975456,AdaBoost,AdaBoost,False,0.3692217206975456
5,19,8,119,0.518518519,11.77777778,3,False,False,0.038715877122793764,False,0.0,False,0.11888003315347452,AdaBoost,AdaBoost,False,0.11888003315347452
9,25,0,255,0.342857143,34.85714286,9,False,False,0.4161909958531281,False,0.2,False,0.22999129572124136,AdaBoost,AdaBoost,False,0.23036369512150515
5,17,26,71,0.333333333,6.555555556,3,False,False,0.3749103689344074,False,0.3,False,0.4572956075663409,AdaBoost,AdaBoost,False,0.4572956075663409
19,10,3,38,0.583333333,11.66666667,1,False,False,0.02412956480323301,False,0.1,False,0.1010497369528823,AdaBoost,AdaBoost,False,0.1010497369528823
10,1,0,1,1.0,0.0,1,False,False,0.01414438672466601,False,0.0,False,0.07413576899306483,AdaBoost,AdaBoost,False,0.07353585517038083
3,12,20,54,0.375,4.555555556,1,False,False,0.3656216318378981,False,0.2,False,0.31329906298499194,AdaBoost,AdaBoost,False,0.31350835326040355
7,40,129,252,0.3815789470000001,11.52631579,6,False,False,0.0810472179418564,False,0.0,False,0.03747111199519732,AdaBoost,AdaBoost,False,0.03747111199519732
13,26,0,110,0.26,9.9,3,False,False,0.05305485417468029,False,0.2,False,0.2516910154389273,AdaBoost,AdaBoost,False,0.2512937431163988
2,5,0,34,0.5,10.0,1,False,False,0.02514281061432794,False,0.0,False,0.027361718506511312,AdaBoost,AdaBoost,False,0.027357280690726946
7,79,136,835,0.19375,39.8,10,False,True,0.8740311410143944,False,0.5,False,0.4644946571671176,AdaBoost,AdaBoost,False,0.5144054522758846
8,6,15,6,0.444444444,0.0,1,False,False,0.025415451345542784,False,0.1,False,0.06350295787696299,AdaBoost,AdaBoost,False,0.06350295787696299
5,11,1,41,0.75,12.33333333,3,True,False,0.02578600395877452,False,0.0,False,0.17847374917519002,AdaBoost,AdaBoost,False,0.1781683736847572
7,14,6,70,0.8,12.6,4,False,False,0.028259052241226695,False,0.0,False,0.1509991211852185,AdaBoost,AdaBoost,False,0.1509991211852185
1,1,0,1,1.0,0.0,1,False,False,0.014788139746495241,False,0.0,False,0.03643914138676959,AdaBoost,AdaBoost,False,0.03643914138676959
7,26,0,181,0.409090909,15.0,1,False,False,0.3786207768843555,False,0.3,False,0.21254735341515665,AdaBoost,AdaBoost,False,0.21254735341515665
5,15,3,51,0.666666667,16.0,2,False,False,0.02852511212614683,False,0.0,False,0.1575329141328453,AdaBoost,AdaBoost,False,0.1575329141328453
5,7,1,29,0.666666667,8.333333332999999,1,False,False,0.022294584955213973,False,0.0,False,0.2307781559851089,AdaBoost,AdaBoost,False,0.2307781559851089
15,65,76,483,0.311111111,28.25,9,True,False,0.28412626384525524,False,0.4,False,0.4405094551457956,AdaBoost,AdaBoost,False,0.42280413442485987
12,5,0,18,0.4375,3.25,1,False,False,0.0249823654045124,False,0.0,False,0.08297013105486216,AdaBoost,AdaBoost,False,0.08273817999226075
11,65,75,443,0.295238095,28.06666667,5,False,False,0.16834819346764465,True,0.6,True,0.5089876835694463,Voting,AdaBoost,True,0.5148545003978193
3,24,17,309,0.545454545,26.45454545,11,False,False,0.4220134229542067,False,0.2,True,0.5151471353322074,AdaBoost,AdaBoost,True,0.5143305736367869
1,3,1,7,0.75,2.5,1,False,False,0.01911841988432164,False,0.0,False,0.04480970683335541,AdaBoost,AdaBoost,False,0.04480970683335541
9,41,0,204,0.225,12.33333333,2,False,False,0.07482474564449887,False,0.4,False,0.3055776174823736,AdaBoost,AdaBoost,False,0.3041931002513464
11,29,85,108,0.321428571,6.571428571,4,False,False,0.055397074529463,False,0.2,False,0.2295705029800945,AdaBoost,AdaBoost,False,0.2295705029800945
8,101,157,1286,0.183760684,45.62962963,4,True,True,0.9073114020830474,True,0.9,True,0.5971961712880848,AdaBoost,AdaBoost,True,0.6185094217312476
8,23,4,249,0.8,48.2,1,False,False,0.3646094262827971,False,0.2,False,0.4937066694334799,AdaBoost,AdaBoost,False,0.49164111354306894
2,3,3,4,0.666666667,0.0,1,False,False,0.020360197679081243,False,0.0,False,0.017513221324612537,AdaBoost,AdaBoost,False,0.017513221324612537
5,19,6,57,0.625,13.25,2,False,False,0.03227659508786728,False,0.0,False,0.352570015901576,AdaBoost,AdaBoost,False,0.352570015901576
2,11,3,53,0.666666667,7.5,1,False,False,0.025027618832541645,False,0.0,False,0.07519461694986447,AdaBoost,AdaBoost,False,0.07519461694986447
20,106,1313,1133,0.195454545,19.12727273,10,False,True,0.8971997281726178,True,1.0,True,0.7805584557046545,AdaBoost,AdaBoost,True,0.8337941820887924
4,19,3,136,0.666666667,44.33333333,2,False,False,0.03237703346500085,False,0.0,False,0.1257853584984414,AdaBoost,AdaBoost,False,0.1257853584984414
4,22,0,169,0.625,19.875,7,False,False,0.0498539630905443,False,0.4,True,0.5344452182913457,AdaBoost,AdaBoost,True,0.5325068532705425
1,23,39,136,0.348484848,10.81818182,1,False,False,0.04387840473459079,False,0.1,False,0.18595497157875449,AdaBoost,AdaBoost,False,0.18595497157875449
10,29,43,91,0.2,7.9,3,False,False,0.05803842407361859,False,0.0,False,0.13024929365023796,AdaBoost,AdaBoost,False,0.13010487191108472
1,2,0,4,1.0,3.0,0,False,False,0.01421169498552382,False,0.0,False,0.04575117865366338,AdaBoost,AdaBoost,False,0.04556194175165454
