lcom,ce,loc,moa,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1,4,49,0,1,True,False,0.3573029691981209,False,0.5,True,0.7454866022140236,AdaBoost,Voting,False,0.3573029691981209
3,0,3,0,1,False,False,0.02021441685165629,False,0.03333333333333333,False,0.012751192955715834,Voting,Voting,False,0.02021441685165629
78,8,49,0,1,False,False,0.10222521366697968,False,0.1253968253968254,False,0.4904838980828717,Voting,Voting,False,0.10222521366697968
1,4,17,0,1,False,False,0.022932627206399832,False,0.0,False,0.10023849435698584,Voting,Voting,False,0.022932627206399832
253,8,23,0,1,False,False,0.13131953220434464,False,0.0,False,0.022548338038708,Voting,Voting,False,0.13131953220434464
26,0,134,0,1,False,False,0.026317294419692768,False,0.0,False,0.01950824052696875,Voting,Voting,False,0.026317294419692768
0,5,234,1,3,True,False,0.03694387479008576,False,0.0,False,0.07718098065264713,Voting,Voting,False,0.03702434900181088
274,1,459,0,3,False,False,0.3723751876707285,False,0.0,False,0.1606381050442592,Voting,Voting,False,0.36377878752459986
3,7,55,0,2,False,False,0.028104834512361215,False,0.0,False,0.03473383279338325,Voting,Voting,False,0.028104834512361215
78,8,49,0,1,False,False,0.10222521366697968,False,0.1253968253968254,False,0.4904838980828717,Voting,Voting,False,0.10222521366697968
1,1,16,0,1,False,False,0.02099048592127056,False,0.0,False,0.048638629451285866,Voting,Voting,False,0.02099048592127056
8,15,364,0,8,False,False,0.4388059463453397,True,0.7,True,0.7315855636106976,Voting,Voting,False,0.4388059463453397
221,5,333,3,7,False,True,0.6037531995123694,True,0.6,False,0.4750423935836132,AdaBoost,Voting,True,0.5983435924638493
1,2,17,0,1,False,False,0.0216100063852793,False,0.0,False,0.08292724333601763,Voting,Voting,False,0.0216100063852793
126,23,771,5,9,True,False,0.447530921185233,False,0.2,False,0.3304377619903273,Voting,Voting,False,0.4440654882886398
3,9,261,1,4,False,False,0.38246604404052303,False,0.3,False,0.35995048560766635,Voting,Voting,False,0.3777828078864889
1,4,69,0,7,False,False,0.0296305250478702,False,0.025,False,0.2784155729102229,Voting,Voting,False,0.03311351571794314
6,22,413,1,6,True,False,0.2649637430483482,False,0.0,False,0.16721622614645473,Voting,Voting,False,0.26418176291313306
0,2,1,0,1,False,False,0.021090450379312918,False,0.0,False,0.01609478425509609,Voting,Voting,False,0.021090450379312918
1,1,32,0,2,False,False,0.022481054497862283,False,0.0,False,0.05854737488246934,Voting,Voting,False,0.022481054497862283
3,7,55,0,2,False,False,0.028104834512361215,False,0.0,False,0.03473383279338325,Voting,Voting,False,0.028104834512361215
21,3,174,0,19,False,False,0.03429736298913006,False,0.05,False,0.10819975741113806,Voting,Voting,False,0.03429736298913006
10,5,5,0,1,False,False,0.023936868592441363,False,0.0,False,0.15731704862043422,Voting,Voting,False,0.023936868592441363
0,3,78,0,3,False,False,0.026434058628180518,False,0.0,False,0.02009052202009701,Voting,Voting,False,0.026434058628180518
16,2,112,1,2,False,False,0.026628339951815568,False,0.0,False,0.037060882137378376,Voting,Voting,False,0.026628339951815568
9,0,91,5,1,False,False,0.030004227675290582,False,0.0,False,0.048908992651525166,Voting,Voting,False,0.030004227675290582
68,15,365,7,4,False,False,0.3193965242256676,False,0.25,False,0.2277817404415064,Voting,Voting,False,0.3193965242256676
1,11,243,1,4,False,False,0.0518147428967775,False,0.125,False,0.2584172631952928,Voting,Voting,False,0.0518147428967775
6,1,79,5,1,False,False,0.029578171792537463,False,0.0,False,0.07387910222306751,Voting,Voting,False,0.029578171792537463
