wmc,rfc,lcom,ca,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
3,13,3,0,1,False,False,0.04551015807639165,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,15,0,24,2,False,False,0.005510259383261335,False,0.0,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.09980000000000001
7,25,21,1,1,True,False,0.08169882321526352,False,0.0,False,2.309972527147037e-11,AdaBoost,AdaBoost,False,2.309972527147037e-11
5,29,4,1,1,False,False,0.036931430638808264,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
9,73,12,4,17,True,True,0.8893886883522457,False,0.4,False,0.4000000000000001,Voting,Voting,True,0.8805796919619052
6,43,11,2,1,False,False,0.05254024221440856,False,0.1,False,0.14285714285714285,AdaBoost,AdaBoost,False,0.14285714285714285
4,25,6,1,1,False,False,0.04620481682840887,False,0.1,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,26,0,1,1,False,False,0.029928414264847908,False,0.0,False,1.7628389765955177e-11,AdaBoost,AdaBoost,False,1.7628389765955177e-11
16,93,72,2,1,True,True,0.6041595695161518,False,0.5,False,0.5,Voting,Voting,True,0.6041595695161518
2,3,1,1,2,False,False,0.05281570490704155,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
3,23,0,1,1,False,False,0.032550568407264696,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
3,21,3,1,1,False,False,0.04066839473743911,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
5,24,10,2,1,False,False,0.052299211849444006,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
11,18,53,16,2,False,True,0.9615613493959594,True,0.9,False,0.4000000000000001,AdaBoost,AdaBoost,False,0.4000000000000001
4,20,4,16,2,False,False,0.01628677187853525,False,0.2,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
9,30,36,3,1,False,True,0.5713805156403343,False,0.2,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
3,12,0,1,1,False,False,0.033618576779746064,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
5,38,0,2,7,False,False,0.4614021052418989,False,0.1,False,0.179128784747792,AdaBoost,AdaBoost,False,0.179128784747792
14,44,29,5,3,True,True,0.6761696197731343,False,0.5,True,0.6000000000000001,AdaBoost,AdaBoost,True,0.6000000000000001
2,10,1,1,1,False,False,0.03942360050919458,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
5,69,0,1,2,False,False,0.2898916212204061,False,0.2,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
32,44,264,9,1,True,True,0.999999957824119,False,0.5,True,0.6347716820917387,AdaBoost,AdaBoost,True,0.6347716820917387
14,29,21,5,2,False,False,0.3159737990234099,False,0.4,True,0.6516685226452117,AdaBoost,AdaBoost,True,0.6516685226452117
3,23,0,1,2,False,False,0.0419126376658275,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
3,23,0,1,1,False,False,0.03255056840786662,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
10,15,39,7,1,True,False,0.15041881461006618,False,0.1,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
3,29,0,1,1,False,False,0.032239987244756005,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
3,11,3,2,1,False,False,0.03852199845908552,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
6,11,15,6,5,True,False,0.08392732781455148,False,0.3,False,0.2302980775288688,AdaBoost,AdaBoost,False,0.2302980775288688
6,7,3,1,1,False,False,0.03506292565460309,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
6,22,15,2,1,False,False,0.40219768444515824,False,0.3,False,0.1858902206677232,AdaBoost,AdaBoost,False,0.1858902206677232
2,3,1,1,1,False,False,0.04066463739726316,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
12,53,12,7,3,True,False,0.4713497953297739,True,0.8,False,0.5,RandomForest,RandomForest,True,0.8
2,5,1,0,1,False,False,0.04406941864217377,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
7,20,9,5,2,False,False,0.04384134353758735,False,0.4,False,0.179128784747792,AdaBoost,AdaBoost,False,0.179128784747792
3,15,1,2,1,False,False,0.03286578228846337,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
1,2,0,5,0,False,False,0.02348027063946816,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
11,20,29,2,1,False,False,0.1559471743249655,False,0.3,False,9.755099778201686e-09,AdaBoost,AdaBoost,False,9.755099778201686e-09
14,118,77,5,4,True,True,0.9801431569785014,True,0.9,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
6,52,7,2,2,False,False,0.05500580935512176,False,0.2,False,1.3995372465873122e-06,AdaBoost,AdaBoost,False,1.3995372465873122e-06
9,12,30,2,1,False,True,0.5057166640849383,False,0.5,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
5,19,10,1,1,False,False,0.057647959794668864,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,28,6,1,1,False,False,0.04601742227061778,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
2,7,1,1,1,False,False,0.039896984119841335,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
11,37,7,1,7,False,False,0.4985523576416453,False,0.4,False,0.4000000000000001,AdaBoost,AdaBoost,False,0.4000000000000001
