cbo,rfc,lcom,loc,cam,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
10,18,3,106,0.444444444,32.66666667,1,False,False,0.09438335470827396,False,0.0,False,0.1072168464248014,AdaBoost,AdaBoost,False,0.1072168464248014
4,13,0,76,0.5,13.4,1,False,False,0.08028276123791431,False,0.1,False,0.056420670364153214,AdaBoost,AdaBoost,False,0.056420670364153214
1,3,0,7,1.0,6.0,0,False,False,0.040019999363257085,False,0.0,False,0.02676659605811734,AdaBoost,AdaBoost,False,0.02676659605811734
13,20,12,101,0.40625,11.0,1,False,False,0.09599590223449593,False,0.1,False,0.4234023331994573,AdaBoost,AdaBoost,False,0.4234023331994573
5,26,16,185,0.388888889,19.0,2,True,False,0.1257662210175281,False,0.1,False,0.4406870093096809,AdaBoost,AdaBoost,False,0.4406870093096809
7,4,1,16,0.5555555560000001,4.0,1,False,False,0.058275942058882826,False,0.1,False,0.3327402016981349,AdaBoost,AdaBoost,False,0.3327402016981349
4,40,130,345,0.284210526,15.9,3,True,False,0.1982301066582188,False,0.4,False,0.3570385965943232,AdaBoost,AdaBoost,False,0.3570385965943232
7,28,20,183,0.3,12.53846154,7,False,False,0.17541253571754087,False,0.3,False,0.3491362432268251,AdaBoost,AdaBoost,False,0.3491362432268251
5,19,8,119,0.518518519,11.77777778,3,False,False,0.10016264729305864,False,0.1,False,0.1741567149741951,AdaBoost,AdaBoost,False,0.1741567149741951
9,25,0,255,0.342857143,34.85714286,9,False,False,0.2251042453583391,True,0.8,False,0.3464113547411465,AdaBoost,AdaBoost,False,0.3464113547411465
5,17,26,71,0.333333333,6.555555556,3,False,False,0.4381809875594284,True,0.6,True,0.5107727651654113,Voting,AdaBoost,True,0.5107727651654113
19,10,3,38,0.583333333,11.66666667,1,False,False,0.06279971748481993,False,0.0,False,0.09000177501795346,AdaBoost,AdaBoost,False,0.09000177501795346
10,1,0,1,1.0,0.0,1,False,False,0.037774824833655705,False,0.0,False,0.04396207533449277,AdaBoost,AdaBoost,False,0.04396207533449277
3,12,20,54,0.375,4.555555556,1,False,False,0.4163243540521515,False,0.2,False,0.3003448855311893,AdaBoost,AdaBoost,False,0.3003448855311893
7,40,129,252,0.3815789470000001,11.52631579,6,False,False,0.1955123172059301,False,0.1,False,0.02361653671856054,AdaBoost,AdaBoost,False,0.02361653671856054
13,26,0,110,0.26,9.9,3,False,False,0.13236861134096206,False,0.1,False,0.3714837421538249,AdaBoost,AdaBoost,False,0.3714837421538249
2,5,0,34,0.5,10.0,1,False,False,0.06587919309342385,False,0.1,False,0.009954635757147437,AdaBoost,AdaBoost,False,0.009954635757147437
7,79,136,835,0.19375,39.8,10,False,True,0.9583694028282718,True,0.7,True,0.5318702235561544,AdaBoost,AdaBoost,True,0.5318702235561544
8,6,15,6,0.444444444,0.0,1,False,False,0.06476692804075015,False,0.0,False,0.07105177564364892,AdaBoost,AdaBoost,False,0.07105177564364892
5,11,1,41,0.75,12.33333333,3,True,False,0.06912226962898803,False,0.0,False,0.3321594248614589,AdaBoost,AdaBoost,False,0.3321594248614589
7,14,6,70,0.8,12.6,4,False,False,0.07568209010179115,False,0.2,False,0.2863635103609828,AdaBoost,AdaBoost,False,0.2863635103609828
1,1,0,1,1.0,0.0,1,False,False,0.04033258105854128,False,0.0,False,0.020678961331702727,AdaBoost,AdaBoost,False,0.020678961331702727
7,26,0,181,0.409090909,15.0,1,False,False,0.4511362518092696,False,0.2,False,0.3085063002331767,AdaBoost,AdaBoost,False,0.3085063002331767
5,15,3,51,0.666666667,16.0,2,False,False,0.07674707670527434,False,0.0,False,0.10872269482230372,AdaBoost,AdaBoost,False,0.10872269482230372
5,7,1,29,0.666666667,8.333333332999999,1,False,False,0.05899933971203195,False,0.1,False,0.13999995044739694,AdaBoost,AdaBoost,False,0.13999995044739694
15,65,76,483,0.311111111,28.25,9,True,True,0.5351862587965853,False,0.5,False,0.4546293678109494,Voting,AdaBoost,False,0.4546293678109494
