dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
3,0,7,0,1,4,0.36,1,2,7.4,0.6,False,False,0.12273353335502475,False,0.3,False,0.4903582672390029,AdaBoost,AdaBoost,False,0.4801390450316407
1,0,3,4,1,3,0.5,0,0,3.0,0.5,False,False,0.14393810401629134,False,0.0,False,0.16421054714713065,AdaBoost,AdaBoost,False,0.16204105389788812
4,0,26,144,2,13,0.197368421,4,5,20.3,1.0,False,False,0.08137991269571994,False,0.4,False,0.4075448610682185,AdaBoost,AdaBoost,False,0.37927406233180433
2,0,8,3,2,2,0.666666667,1,3,54.0,5.3333,True,True,0.5793444435368414,True,0.7,True,0.5004124250464188,AdaBoost,AdaBoost,True,0.5042648031091522
1,0,25,22,22,6,0.25,0,0,20.875,0.75,True,True,0.6156299597874051,True,0.6,True,0.5058545347849074,AdaBoost,AdaBoost,True,0.5186080725705039
1,0,6,3,5,3,1.0,0,0,0.0,1.0,False,False,0.12575085849611922,False,0.1,False,0.15602796796027146,AdaBoost,AdaBoost,False,0.15476475539656373
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False,False,0.08237149435747744,False,0.0,False,0.06612335652287757,AdaBoost,AdaBoost,False,0.06579627976445794
1,0,9,15,2,6,0.333333333,0,0,6.666666667,1.3333,True,False,0.2077933666203763,False,0.3,False,0.33428726424635524,AdaBoost,AdaBoost,False,0.33109708616558786
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.1512170640145067,False,0.0,False,0.10415315493824072,AdaBoost,AdaBoost,False,0.10411865725402625
1,0,7,6,0,3,0.375,0,0,4.5,0.75,False,False,0.1582092285070061,False,0.0,False,0.17468826097088114,AdaBoost,AdaBoost,False,0.17249422617423293
1,0,11,45,1,9,0.15,0,0,4.2,0.9,True,False,0.1930669652484456,False,0.1,False,0.2873576689036171,AdaBoost,AdaBoost,False,0.28328921481831426
3,0,10,25,3,7,0.3,2,3,15.4,0.9,False,False,0.11389567476351173,False,0.0,False,0.3799637164369076,AdaBoost,AdaBoost,False,0.3700371990635355
