wmc,dit,lcom,ca,ce,npm,mfa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,1,15,2,2,6,0.0,False,False,0.3642095632756676,True,0.9,True,0.7012403968993407,Voting,Voting,False,0.42823736814259206
9,1,28,5,0,9,0.0,False,False,0.0039148856096437095,False,0.1,False,0.22710325635977124,Voting,Voting,False,0.022794821951954626
9,1,28,7,0,9,0.0,False,False,0.008525091895811259,False,0.0,False,0.06452569107656976,Voting,Voting,False,0.010295565322590166
3,1,1,0,7,3,0.0,True,False,0.21472658209255246,False,0.3,False,0.2866894730025582,Voting,Voting,False,0.22574975148913887
6,8,3,0,11,5,0.955357143,True,True,0.9998216089246263,True,0.9142857142857144,True,0.9507961854167888,Voting,Voting,True,0.9898171901616417
9,1,0,0,5,9,0.0,False,True,0.5195562853488082,False,0.4,True,0.6661753629429682,RandomForest,Voting,True,0.516257765096748
6,8,3,0,8,6,0.955357143,True,True,0.9994462385555328,True,0.8,True,0.9498301798553264,Voting,Voting,True,0.9803545923729134
5,8,4,0,10,4,0.963963964,True,True,0.999840823409992,True,1.0,True,0.9167042198933943,Voting,Voting,True,0.9960754530731586
7,1,21,7,3,7,0.0,False,True,0.5131246769168339,False,0.3,False,0.3419045309023041,Voting,Voting,True,0.4870433596354352
24,1,258,8,3,24,0.0,False,False,2.9910048725532483e-20,False,0.0,False,0.01931568215775874,Voting,Voting,False,0.0008779855526253973
7,4,19,0,12,7,0.7142857140000001,True,False,0.34476301629901096,False,0.5,True,0.7237342537358726,AdaBoost,Voting,False,0.5252255103165642
17,1,120,7,0,17,0.0,False,False,4.026882337164388e-09,False,0.0,False,0.052044122557773416,Voting,Voting,False,0.0023567184787781827
3,1,3,0,3,3,0.0,False,False,0.4961489792531666,True,0.9,True,0.9999999999999998,Voting,Voting,False,0.5541501597004825
5,1,6,5,0,5,0.0,True,False,0.4425751408776668,True,0.7,False,0.3926918432471592,RandomForest,Voting,False,0.46197540032864914
7,8,9,0,11,7,0.946902655,True,True,0.9993375463363942,True,1.0,True,0.8449636581138436,Voting,Voting,True,0.9923977891739855
13,1,66,6,0,13,0.0,False,False,4.756317431090757e-06,False,0.0,False,0.136751774251411,Voting,Voting,False,0.006202517216640002
4,1,0,0,7,4,0.0,False,True,0.6257438574017534,True,0.6,True,0.8872464783106448,Voting,Voting,True,0.6354018337180068
2,1,1,0,4,2,0.0,False,True,0.5589227128327935,True,0.5383333333333333,True,0.6236106091091372,Voting,Voting,True,0.5600923431350417
4,8,0,0,13,4,0.972727273,True,True,0.9999480934984399,True,1.0,True,0.8745644704569131,Voting,AdaBoost,True,0.9372562819776765
4,4,6,0,11,4,0.833333333,True,True,0.9904117429475096,True,0.96,True,0.8014888858757225,Voting,Voting,True,0.9792486131433442
3,1,3,2,3,3,0.0,True,False,0.3850897732119983,False,0.33333333333333337,True,0.5035428680337525,AdaBoost,Voting,False,0.38573374799925797
4,8,0,0,7,4,0.972727273,True,True,0.999848219794344,False,0.5,True,0.6092481192308757,Voting,Voting,True,0.9397736779359175
6,1,0,0,5,6,0.0,True,False,0.06214824940734315,False,0.1,False,0.14044123090820326,Voting,Voting,False,0.06881738842131131
3,1,3,5,3,3,0.0,True,True,0.6000613242563994,True,0.8,True,0.7508756613030266,Voting,Voting,True,0.6239592654569239
3,1,3,0,3,3,0.0,True,False,0.12425288571313706,False,0.4,False,0.3246664928938553,Voting,Voting,False,0.15694453074593898
