wmc,rfc,loc,cam,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
3,26,230,0.666666667,75.66666667,False,True,0.8918987237119801,True,0.6,True,0.6516685226452117,Voting,Voting,True,0.8918987237119801
2,3,31,0.75,12.0,False,False,0.06422813453484473,False,0.1,False,1.2166747018599786e-08,Voting,Voting,False,0.06422813453484473
5,9,88,0.8,14.8,True,False,0.08346687482081162,False,0.0,False,9.755099778201686e-09,Voting,Voting,False,0.08346687482081162
6,13,225,0.4166666670000001,36.16666667,False,True,0.5083287116201161,False,0.4,False,0.29999999999999993,Voting,Voting,True,0.5083287116201161
3,7,30,0.5555555560000001,8.666666667000001,True,False,0.4057961433621058,False,0.3,False,0.2195749448936629,Voting,Voting,False,0.4057961433621058
8,52,509,0.291666667,60.75,True,True,0.992584709256764,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.992584709256764
1,1,1,1.0,0.0,False,False,0.0739187913315118,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.0739187913315118
6,26,184,0.433333333,29.5,False,False,0.40826665730111017,True,0.6,False,0.29999999999999993,Voting,Voting,False,0.40826665730111017
2,2,2,0.833333333,0.0,False,False,0.07882564173166158,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.07882564173166158
5,26,430,0.6,85.0,True,True,0.9476715156792334,True,0.8,False,0.5,Voting,Voting,True,0.9476715156792334
2,20,81,0.75,39.5,False,False,0.043698930514807915,False,0.0,False,0.10000000000000002,Voting,Voting,False,0.043698930514807915
7,41,217,0.333333333,29.28571429,False,True,0.9872192238964976,True,0.9,True,0.8,Voting,Voting,True,0.9872192238964976
4,7,48,0.625,8.5,False,False,0.4012030844923695,True,0.8,True,0.8,Voting,Voting,False,0.4012030844923695
