cbo,rfc,loc,moa,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,14,39,2,1,False,False,0.10517717369878833,False,0.1,False,0.12951244322376648,Voting,Voting,False,0.10521558282551197
4,5,36,0,1,False,False,0.07031241893588826,False,0.0,False,0.03961803937179628,Voting,Voting,False,0.06984176174513038
49,89,583,24,5,False,True,0.9964896389113084,False,0.4,False,0.4354899750930117,Voting,Voting,True,0.9916710154452619
0,8,20,0,0,False,False,0.06715240482442451,False,0.0,False,0.07359393227313776,Voting,Voting,False,0.06680113207112744
3,8,73,0,3,False,False,0.0758543823866579,False,0.1,False,0.07678242515142931,Voting,Voting,False,0.07598960018333772
38,91,717,7,15,True,True,0.9802962344374944,False,0.4,False,0.4921223349481907,Voting,Voting,True,0.9757666565024277
0,3,3,0,1,False,False,0.06236877679966385,False,0.0,False,0.003453929315873225,Voting,Voting,False,0.06186423723624869
3,24,114,0,3,False,False,0.1033431161139609,False,0.1,False,0.07538237863465487,Voting,Voting,False,0.10324793213124873
2,7,30,0,3,False,False,0.07434078262958775,False,0.0,False,0.07686419940960018,Voting,Voting,False,0.073939249254645
5,8,27,0,1,False,False,0.0772316813944816,False,0.0,False,0.02379391240643105,Voting,Voting,False,0.07666052443905025
1,25,283,0,2,False,False,0.09036368128546644,False,0.0,False,0.10377842401028488,Voting,Voting,False,0.08990403123094416
12,22,1700,3,1,True,False,0.31372296111915393,False,0.0,False,0.37288615890992544,Voting,Voting,False,0.3121617448431992
1,7,14,0,1,False,False,0.06934413534749938,False,0.0,False,0.012153035497719707,Voting,Voting,False,0.0688060052086401
0,0,0,0,0,False,False,0.056753808006522063,False,0.0,False,0.0012632372576130355,Voting,Voting,False,0.05628952727365955
8,33,177,0,1,False,False,0.1255651182647573,True,0.7,True,0.5568198560960737,Voting,Voting,False,0.12990611964196006
6,9,35,0,1,False,False,0.08040214022201576,False,0.3,False,0.14026022652190542,Voting,Voting,False,0.08177316716118022
