cbo,rfc,ce,npm,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,19,6,6,0.3666666670000001,False,False,0.3347534834298164,False,0.2,False,0.15693241784954096,Voting,Voting,False,0.3347534834298164
1,17,1,12,0.461538462,False,False,0.2170899966874324,False,0.0,False,0.013611264683573907,Voting,Voting,False,0.2170899966874324
48,12,1,6,0.458333333,False,False,0.04494686617462682,False,0.0,False,0.2152092299129436,Voting,Voting,False,0.04494686617462682
4,4,2,4,1.0,False,False,0.06906648967268922,False,0.1,False,0.16152482785337208,Voting,Voting,False,0.06906648967268922
2,8,1,4,0.666666667,False,False,0.09132253700898883,False,0.0,False,0.039435325010171135,Voting,Voting,False,0.09132253700898883
8,14,5,3,0.5,True,False,0.19267529548859527,False,0.1,False,0.10900889824332577,Voting,Voting,False,0.19267529548859527
2,6,1,5,0.466666667,False,False,0.17095742553796414,False,0.0,False,0.17129371773491925,Voting,Voting,False,0.17095742553796414
6,31,6,9,0.355555556,True,False,0.3458918903316115,False,0.2,False,0.1661857686729937,Voting,Voting,False,0.3458918903316115
6,9,3,9,0.425925926,False,True,0.6200641181051887,True,0.8,True,0.5325599842104412,Voting,Voting,True,0.6200641181051887
6,19,2,15,0.20952381,False,False,0.32626798124298034,False,0.1,False,0.2506432508273653,Voting,Voting,False,0.32626798124298034
1,34,1,29,0.433333333,False,False,0.2276463305372145,False,0.0,False,0.07816821370724462,Voting,Voting,False,0.2276463305372145
30,155,30,34,0.138314785,True,True,0.5910030378157051,False,0.3,False,0.1308517056521618,Voting,Voting,True,0.532802430252564
4,19,2,10,0.35,False,True,0.5869369117586235,False,0.3,False,0.3903293432495887,Voting,Voting,True,0.5869369117586235
3,9,3,3,0.5,False,False,0.17605598276670628,False,0.4817460317460318,False,0.3054909154861834,Voting,Voting,False,0.17605598276670628
8,18,1,11,0.287878788,False,False,0.24454900898258644,False,0.1,False,0.14705228749476834,Voting,Voting,False,0.24454900898258644
14,29,9,6,0.44,False,True,0.6916490375789381,False,0.1,False,0.19858946873603706,Voting,Voting,True,0.6916490375789381
3,10,3,3,0.833333333,False,False,0.08940286580245789,False,0.1,False,0.28202836636738016,Voting,Voting,False,0.08940286580245789
29,121,29,31,0.165966387,True,True,0.6481621631943495,False,0.4,False,0.18367763630100145,Voting,Voting,True,0.6481621631943495
6,35,6,13,0.259615385,False,False,0.405637562881575,False,0.2,False,0.062454499742090976,Voting,Voting,False,0.405637562881575
2,2,2,1,1.0,False,False,0.07243478624161044,False,0.0,False,0.10620869487472494,Voting,Voting,False,0.07243478624161044
13,7,0,7,0.464285714,False,False,0.15040348599288098,False,0.0,False,0.4245856864017781,Voting,Voting,False,0.15040348599288098
6,15,1,9,0.361111111,False,False,0.21576638912566026,False,0.0,False,0.12531027451142934,Voting,Voting,False,0.21576638912566026
