cbo,ca,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
4,1,4,True,False,0.18758152453702664,False,0.4666666666666667,True,0.5630962492044491,AdaBoost,Voting,False,0.18758152453702664
7,6,1,True,True,0.9923602392770492,True,1.0,True,0.9529804981798404,Voting,Voting,True,0.9923602392770492
6,0,2,True,False,0.0855288927350021,False,0.5,False,0.2280783219445027,Voting,Voting,False,0.0855288927350021
2,1,1,True,False,0.4548649494323734,True,1.0,True,0.8887301493901171,Voting,Voting,False,0.5994866827516212
6,0,8,True,True,0.6842627697894477,True,1.0,True,0.9220119105695478,Voting,Voting,True,0.6842627697894477
9,6,0,True,True,0.9901216295990392,True,1.0,True,0.9889662715428136,Voting,Voting,True,0.9901216295990392
8,1,13,True,True,0.9770563659289024,True,0.8,True,0.6862400461359842,Voting,Voting,True,0.9770563659289024
3,1,2,True,False,0.2534280182798052,True,0.5650000000000001,True,0.5008738946462176,Voting,Voting,False,0.2534280182798052
3,0,6,True,False,0.16400282729022647,False,0.0,False,0.1546350427896788,Voting,Voting,False,0.16400282729022647
0,0,2,True,False,0.1407564141359198,False,0.1311269123033829,False,0.487686748063928,Voting,Voting,False,0.1407564141359198
4,0,14,True,True,0.6269373060269289,False,0.4,False,0.2451269697423625,Voting,Voting,True,0.6269373060269289
10,8,2,True,True,0.9989413819624804,True,1.0,True,0.9806228081018986,Voting,Voting,True,0.9989413819624804
1,0,4,True,False,0.4523441554368988,True,0.7,True,0.9343840298734448,Voting,Voting,False,0.4523441554368988
3,0,2,True,False,0.1465317852040569,False,0.21027130493761376,False,0.4933736957305164,Voting,Voting,False,0.1465317852040569
8,0,5,True,True,0.6572152727855114,True,0.9,True,0.9215082635778992,Voting,Voting,True,0.6572152727855114
9,0,2,True,True,0.6745112161915738,True,1.0,True,0.8950338701345709,Voting,Voting,True,0.6745112161915738
5,4,3,True,True,0.9758814141500368,True,1.0,True,0.8706111231909912,Voting,Voting,True,0.9758814141500368
3,2,9,True,True,0.9568878264329594,True,1.0,True,0.8764932226152922,Voting,Voting,True,0.9568878264329594
62,52,12,True,True,1.0,True,1.0,True,0.943987189023903,Voting,Voting,True,1.0
4,1,2,True,False,0.4759625614464138,True,0.5316666666666667,True,0.5383331282565101,Voting,Voting,False,0.4759625614464138
4,1,2,False,False,0.4759625614464138,True,0.5316666666666667,True,0.5383331282565101,Voting,Voting,False,0.4759625614464138
6,2,4,True,True,0.7850808029719278,True,1.0,True,0.9075321530850866,Voting,Voting,True,0.7850808029719278
4,3,1,True,True,0.8967505425613337,True,0.98,True,0.8172175545146577,Voting,Voting,True,0.8967505425613337
4,1,3,True,False,0.15642528808697967,False,0.0,False,0.16594215637158774,Voting,Voting,False,0.15642528808697967
2,2,2,True,True,0.5953642318913418,True,1.0,True,0.8671939299602064,Voting,Voting,True,0.5953642318913418
2,1,7,True,True,0.5897795825202686,True,0.9,True,0.9721068071930288,Voting,Voting,True,0.5897795825202686
10,4,13,True,True,0.9963533358053359,True,1.0,True,0.9456934578428244,Voting,Voting,True,0.9963533358053359
3,1,4,True,True,0.5124156333243214,True,1.0,True,0.9384937583179714,Voting,Voting,True,0.5124156333243214
0,0,2,True,False,0.38206678449276427,False,0.22416666666666668,False,0.4947168896547177,Voting,Voting,False,0.38206678449276427
2,1,5,True,True,0.5384946809956979,True,1.0,True,0.9808158773465212,Voting,Voting,True,0.5384946809956979
5,2,1,True,False,0.3946015743312841,True,0.8,True,0.5241662157660573,Voting,Voting,False,0.3946015743312841
0,0,0,True,True,0.5880403967631932,True,0.6716666666666666,True,0.6446966730761396,Voting,Voting,True,0.5880403967631932
6,0,3,True,False,0.27931705360851977,True,0.6433333333333333,True,0.5293950976153201,Voting,Voting,False,0.27931705360851977
2,1,1,True,False,0.4534815583153757,True,0.9,True,0.8506714736955028,Voting,Voting,False,0.4534815583153757
6,3,9,True,True,0.98130611355047,True,1.0,True,0.9652873937177132,Voting,Voting,True,0.98130611355047
0,0,1,False,True,0.5892857179103551,True,0.5716666666666667,True,0.6056956841715542,Voting,Voting,True,0.5892857179103551
3,3,7,True,True,0.9711603570264664,True,0.9,True,0.9253744488818147,Voting,Voting,True,0.9711603570264664
1,1,2,False,False,0.4888062224719529,True,0.9285714285714284,True,0.8643253682753189,Voting,Voting,False,0.4888062224719529
17,16,26,True,True,0.999999978326644,True,1.0,True,0.9356227625338496,Voting,Voting,True,0.999999978326644
3,1,2,False,False,0.4704351993553728,True,1.0,True,0.8708280113693012,Voting,Voting,False,0.4704351993553728
4,4,4,True,True,0.9707191126496688,True,1.0,True,0.9243734624707984,Voting,Voting,True,0.9707191126496688
1,1,2,True,False,0.4888062224719529,True,0.9285714285714284,True,0.8643253682753189,Voting,Voting,False,0.4888062224719529
1,1,11,True,True,0.9101345536000242,True,0.8,True,0.5548019109821412,Voting,Voting,True,0.9101345536000242
8,8,1,True,True,0.9972890597684508,True,1.0,True,0.9419667563700772,Voting,Voting,True,0.9972890597684508
9,3,2,True,True,0.9498539175332421,True,1.0,True,0.8809327969993791,Voting,Voting,True,0.9498539175332421
1,0,2,True,False,0.40481411086758795,True,1.0,True,0.9980053935315326,Voting,Voting,False,0.40481411086758795
3,2,1,True,True,0.5406197203153981,True,0.9,True,0.7568647826573434,Voting,Voting,True,0.5406197203153981
3,0,2,True,False,0.15969547218174165,False,0.22021997176552088,False,0.49206892858745294,Voting,Voting,False,0.15969547218174165
20,16,8,True,True,0.9999995017508346,True,1.0,True,0.9835845886496616,Voting,Voting,True,0.9999995017508346
27,18,19,True,True,0.9999999958184196,True,1.0,True,0.926597816555115,Voting,Voting,True,0.9999999958184196
24,24,4,True,True,0.9999999968831044,True,1.0,True,0.9674483435692708,Voting,Voting,True,0.9999999968831044
6,5,4,True,True,0.9867120648009324,True,1.0,True,0.9673204120149969,Voting,Voting,True,0.9867120648009324
3,1,2,True,False,0.17201698588406558,False,0.1612409812409812,False,0.4887282458753461,Voting,Voting,False,0.17201698588406558
2,2,22,True,True,0.9971322312709068,True,0.9,True,0.7302652863245266,Voting,Voting,True,0.9971322312709068
6,0,2,False,False,0.4561100562505469,True,1.0,True,0.959417767733908,Voting,Voting,False,0.4561100562505469
