cbo,rfc,lcom,npm,lcom3,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,50,33,9,0.916666667,True,True,0.9866378101636152,True,1.0,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
12,77,68,13,0.834090909,True,True,0.9999958512850248,True,1.0,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
3,3,1,1,2.0,False,False,0.08187239233214122,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
2,5,6,4,2.0,False,False,0.03340745395568236,False,0.1,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
8,13,64,11,0.909090909,True,True,0.9999972692016184,True,0.9,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.8999999999999999
5,37,28,8,0.975,True,True,0.9626081047947624,True,0.8,True,0.8,AdaBoost,AdaBoost,True,0.8
4,3,3,3,2.0,False,False,0.3862133794365457,False,0.2,False,0.5,AdaBoost,AdaBoost,False,0.5
6,15,10,4,2.0,True,False,0.4869509403864893,True,0.6,True,0.7,AdaBoost,AdaBoost,True,0.7
2,7,0,3,0.0,False,False,0.033973572919354426,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
5,15,1,1,2.0,False,False,0.14402409346256387,False,0.1,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
6,25,3,1,2.0,True,False,0.4535611204594873,False,0.4,True,0.6000000000000001,AdaBoost,AdaBoost,True,0.6000000000000001
2,11,28,8,2.0,True,False,0.2787059573900324,False,0.2,False,0.5,AdaBoost,AdaBoost,False,0.5
0,2,0,1,2.0,False,False,0.022160977075958824,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
5,43,33,9,0.8888888890000001,True,True,0.9818694694708489,True,1.0,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
4,7,1,1,2.0,False,False,0.09738051244988824,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
8,6,0,5,0.25,False,False,0.08743624813503742,False,0.1,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
22,57,242,25,0.93452381,True,True,1.0,True,1.0,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
6,9,0,1,0.875,False,False,0.19168006595909934,False,0.2,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
1,34,23,7,0.388888889,False,True,0.5992804686142335,False,0.2,False,0.2,AdaBoost,AdaBoost,False,0.2
10,57,146,17,0.907894737,True,True,0.9999999999804402,True,1.0,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
1,34,1,5,0.333333333,False,False,0.007570119189296433,False,0.1,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,26,0,4,0.666666667,False,False,0.024714822041028917,False,0.5,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
1,7,15,5,2.0,False,False,0.10720339579360198,False,0.2,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
27,150,685,26,0.8979591840000001,True,True,1.0,True,1.0,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
0,33,22,6,0.375,False,True,0.5040336703213711,False,0.1,False,0.2,AdaBoost,AdaBoost,False,0.2
3,8,1,1,2.0,False,False,0.07393879453159187,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,23,6,4,1.333333333,True,False,0.03212715608075619,False,0.3,True,0.9999999817498796,AdaBoost,AdaBoost,True,0.9999999817498796
8,19,3,3,2.0,True,False,0.4479649473472496,True,0.7,True,0.7,AdaBoost,AdaBoost,True,0.7
3,1,0,1,2.0,False,False,0.06401045651578961,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
17,73,15,6,2.0,True,True,0.9980007445763348,True,1.0,True,0.9999999999999998,AdaBoost,AdaBoost,True,0.9999999999999998
2,10,0,2,0.0,False,False,0.047037047630413865,False,0.0,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
11,24,15,6,0.791666667,True,True,0.8351589679190269,True,0.8,True,0.8,AdaBoost,AdaBoost,True,0.8
10,15,1,2,2.0,False,False,0.31923560313944466,False,0.4,True,0.6000000000000001,AdaBoost,AdaBoost,True,0.6000000000000001
