wmc,lcom,ce,mfa,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
14,43,11,0.5,0.276923077,True,False,0.4824970891388933,False,0.5,True,0.5497820978990914,AdaBoost,Voting,False,0.4854142409490777
3,3,4,0.972222222,0.533333333,False,False,0.07029601272344724,False,0.0,False,0.04880126858118858,Voting,Voting,False,0.07029601272344724
25,194,5,0.0,0.261904762,False,True,0.8760352277832646,False,0.4,False,0.43837394478777797,Voting,Voting,True,0.8030916806173501
18,149,10,0.6,0.338235294,False,True,0.5443899547128939,False,0.2,False,0.17298562944518373,Voting,Voting,True,0.4824892338349422
16,106,2,0.605263158,0.5,False,False,0.17205977582172868,False,0.2,False,0.3004961863839653,Voting,Voting,False,0.19346584424876812
11,7,6,0.72972973,0.333333333,True,True,0.5206997838400286,False,0.3,False,0.3765247536243181,Voting,Voting,True,0.5206997838400286
8,8,12,0.833333333,0.265625,False,False,0.37590190446708455,False,0.2,False,0.4457369385783803,Voting,Voting,False,0.3465849203892371
3,3,3,0.967741935,0.533333333,False,False,0.059497966236618766,False,0.0,False,0.06148723452407823,Voting,Voting,False,0.059497966236618766
4,0,3,0.0,0.583333333,False,False,0.4819995799697507,True,0.6,True,0.5499789323010659,Voting,Voting,False,0.4819995799697507
3,3,2,0.7142857140000001,0.666666667,False,False,0.052377963615170525,False,0.0,False,0.027908099826030614,Voting,Voting,False,0.052377963615170525
8,0,15,0.833333333,0.28125,True,True,0.8913941869453458,False,0.5,True,0.5440780772702778,Voting,Voting,True,0.8913941869453458
12,66,15,0.0,0.295454545,False,True,0.9684435985418016,False,0.5,False,0.4886279430356319,Voting,Voting,True,0.9684435985418016
13,58,4,0.6333333329999999,0.461538462,False,False,0.13190620813582485,False,0.4,False,0.3750758784467464,Voting,Voting,False,0.13190620813582485
6,15,0,0.8125,0.5,False,False,0.047447133306472766,False,0.1,False,0.10250668017929564,Voting,Voting,False,0.056205944422060644
4,0,3,0.571428571,0.45,True,False,0.4439077625105988,True,0.7,True,0.7767604331106467,Voting,Voting,False,0.4439077625105988
37,0,13,0.0,0.177777778,False,True,0.9884694935763602,True,1.0,True,0.8907112128976811,Voting,Voting,True,0.9721764467965803
9,0,11,0.0,0.377777778,True,True,0.7410418768486808,True,0.9,True,0.6570553908693783,Voting,Voting,True,0.7410418768486808
