rfc,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
49,0,True,True,0.9731916032347168,True,1.0,True,0.9390738788977446,Voting,Voting,True,0.9731916032347168
1,1,True,True,0.5815398859302223,True,1.0,True,0.9994926968650304,Voting,Voting,True,0.5815398859302223
12,7,True,True,0.9999999981584268,True,1.0,True,0.8887769623009832,Voting,Voting,True,0.9999999981584268
16,3,True,True,0.9997996683159583,True,1.0,True,0.9631835107997956,Voting,Voting,True,0.9997996683159583
6,3,True,True,0.9993090859191968,True,1.0,True,0.8949848898433003,Voting,Voting,True,0.9993090859191968
46,3,True,True,0.9999951352435446,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999951352435446
46,5,True,True,0.9999999884921644,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999999884921644
76,31,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,1.0
125,10,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,1.0
61,26,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,1.0
7,3,True,True,0.9993894832916216,True,1.0,True,0.897991517833517,Voting,Voting,True,0.9993894832916216
5,3,True,True,0.9992181261033508,True,1.0,True,0.9512545204073278,Voting,Voting,True,0.9992181261033508
60,5,True,True,0.9999999979706664,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999999979706664
26,14,True,True,1.0,True,1.0,True,0.9484238529107218,Voting,Voting,True,1.0
29,11,True,True,0.9999999999999988,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999999999999988
28,7,True,True,0.9999999997465538,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999999997465538
2,1,True,True,0.5605697899528715,True,0.963859165984166,True,0.521034148296971,Voting,Voting,True,0.5605697899528715
7,3,True,True,0.9993894832916216,True,1.0,True,0.897991517833517,Voting,Voting,True,0.9993894832916216
22,3,True,True,0.9999047427708062,True,1.0,True,0.9539210487041261,Voting,Voting,True,0.9999047427708062
48,7,True,True,0.9999999999787552,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999999999787552
15,3,True,True,0.9997732503407168,True,1.0,True,0.8603176116842497,Voting,Voting,True,0.9997732503407168
3,2,True,True,0.9805573150395996,True,1.0,True,0.9806395971077756,Voting,Voting,True,0.9805573150395996
79,7,True,True,0.9999999999995444,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999999999995444
24,2,True,True,0.9984780213089016,True,1.0,True,0.9160436834911942,Voting,Voting,True,0.9984780213089016
59,9,True,True,0.9999999999999872,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999999999999872
72,19,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,1.0
79,13,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,1.0
22,5,True,True,0.9999997746030672,True,1.0,True,0.9539210487041261,Voting,Voting,True,0.9999997746030672
4,2,True,True,0.9827062960014868,True,1.0,True,0.9616580518399788,Voting,Voting,True,0.9827062960014868
5,0,False,False,0.016007656104582726,False,0.0,False,0.07303748173270841,Voting,Voting,False,0.016007656104582726
428,130,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,1.0
19,13,True,True,1.0,True,1.0,True,0.9614649009339692,Voting,Voting,True,1.0
49,0,True,True,0.9731916032347168,True,1.0,True,0.9390738788977446,Voting,Voting,True,0.9731916032347168
47,22,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,1.0
21,7,True,True,0.9999999993964599,True,1.0,True,0.9565910878588944,Voting,Voting,True,0.9999999993964599
20,9,True,True,0.9999999999983838,True,1.0,True,0.9649011433179812,Voting,Voting,True,0.9999999999983838
66,5,True,True,0.999999999035361,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.999999999035361
44,17,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,1.0
4,2,True,True,0.9827062960014868,True,1.0,True,0.9616580518399788,Voting,Voting,True,0.9827062960014868
7,2,True,True,0.987881527970588,True,1.0,True,0.8963898507995947,Voting,Voting,True,0.987881527970588
21,1,True,True,0.6264099240075915,False,0.4476190476190477,True,0.7882099635787754,Voting,Voting,True,0.6264099240075915
38,5,True,True,0.9999999689797592,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999999689797592
51,27,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,1.0
31,0,True,True,0.8503947903208616,True,0.9,True,0.7133070392613842,Voting,Voting,True,0.8503947903208616
