dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
3,0,7,0,1,4,0.36,1,2,7.4,0.6,False,False,0.12273353335502475,False,0.3,False,0.4903582672390029,AdaBoost,AdaBoost,False,0.4826384372150474
1,0,3,4,1,3,0.5,0,0,3.0,0.5,False,False,0.14393810401629134,False,0.0,False,0.16421054714713065,AdaBoost,AdaBoost,False,0.1626653414918907
4,0,26,144,2,13,0.197368421,4,5,20.3,1.0,False,False,0.08137991269571994,False,0.4,False,0.4075448610682185,AdaBoost,AdaBoost,False,0.4041894268573355
2,0,8,3,2,2,0.666666667,1,3,54.0,5.3333,True,True,0.5793444435368414,True,0.7,True,0.5004124250464188,AdaBoost,AdaBoost,True,0.5031840833222446
1,0,25,22,22,6,0.25,0,0,20.875,0.75,True,True,0.6156299597874051,True,0.6,True,0.5058545347849074,AdaBoost,AdaBoost,True,0.5083313310697726
1,0,6,3,5,3,1.0,0,0,0.0,1.0,False,False,0.12575085849611922,False,0.1,False,0.15602796796027146,AdaBoost,AdaBoost,False,0.15510207613104518
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False,False,0.08237149435747744,False,0.0,False,0.06612335652287757,AdaBoost,AdaBoost,False,0.06582524186252034
1,0,9,15,2,6,0.333333333,0,0,6.666666667,1.3333,True,False,0.2077933666203763,False,0.3,False,0.33428726424635524,AdaBoost,AdaBoost,False,0.3325360015885286
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.1512170640145067,False,0.0,False,0.10415315493824072,AdaBoost,AdaBoost,False,0.10403570983158475
1,0,7,6,0,3,0.375,0,0,4.5,0.75,False,False,0.1582092285070061,False,0.0,False,0.17468826097088114,AdaBoost,AdaBoost,False,0.17319391851275615
1,0,11,45,1,9,0.15,0,0,4.2,0.9,True,False,0.1930669652484456,False,0.1,False,0.2873576689036171,AdaBoost,AdaBoost,False,0.28415821865461655
3,0,10,25,3,7,0.3,2,3,15.4,0.9,False,False,0.11389567476351173,False,0.0,False,0.3799637164369076,AdaBoost,AdaBoost,False,0.37473144897862354
2,0,13,201,2,21,0.17676767699999998,1,1,10.13043478,0.8696,False,False,0.2408784019142457,False,0.3,False,0.4917271838807114,AdaBoost,AdaBoost,False,0.48113364816575593
4,0,18,22,4,7,0.3125,0,0,16.5,0.75,False,False,0.2464064607400935,False,0.0,False,0.29630324149840154,AdaBoost,AdaBoost,False,0.2938828682579546
3,0,3,6,0,8,0.4166666670000001,1,2,7.888888888999999,0.8889,True,False,0.1429003762049025,False,0.2,False,0.3489311979715029,AdaBoost,AdaBoost,False,0.34483512782784387
1,2,8,3,2,2,0.533333333,0,0,31.0,1.6667,False,True,0.568469215794806,False,0.4,False,0.4170972118200884,AdaBoost,AdaBoost,False,0.41855931659124507
4,0,6,5,1,8,0.25,2,2,15.4,1.1,True,False,0.18014914535117896,False,0.4,False,0.32239688314161363,AdaBoost,AdaBoost,False,0.32097020767681256
2,0,7,26,0,1,0.390625,1,1,50.75,3.625,False,False,0.490833139595517,False,0.1,False,0.4221638042113667,AdaBoost,AdaBoost,False,0.420736810165947
1,0,17,6,11,4,0.45,0,0,12.25,2.0,False,False,0.3107060130033649,True,0.6,False,0.3839778093724619,AdaBoost,AdaBoost,False,0.38469967748346584
1,0,3,1,3,2,0.666666667,0,0,7.5,1.0,False,False,0.4898000989597394,True,0.6,False,0.4751909090891847,AdaBoost,AdaBoost,False,0.4764150023675107
1,0,6,61,2,14,0.297619048,0,0,4.428571429,0.9286,False,False,0.21633485177812548,False,0.1,False,0.2411984305578238,AdaBoost,AdaBoost,False,0.23918751854167739
1,0,8,62,2,11,0.229166667,0,0,10.1875,1.3125,False,True,0.5694818504777099,True,0.8,True,0.5951470792763836,AdaBoost,AdaBoost,True,0.596941287168269
4,17,66,6,66,4,0.666666667,0,0,4.0,0.0,False,True,0.6442756590164173,False,0.4,False,0.2715713926446868,AdaBoost,AdaBoost,False,0.285032728036811
1,0,4,1,2,6,0.5,0,0,7.0,1.1667,False,False,0.1884036405826577,False,0.1,False,0.4356259991841568,AdaBoost,AdaBoost,False,0.428961620663877
1,0,3,3,1,3,0.666666667,0,0,41.33333333,4.6667,False,True,0.6103983053563052,False,0.3,False,0.37288725513538656,AdaBoost,AdaBoost,False,0.3752282442796338
2,0,11,25,3,8,0.25,0,0,5.363636364,0.7273,True,False,0.2108842852487298,False,0.3,False,0.3223752998009716,AdaBoost,AdaBoost,False,0.3208426604472034
1,0,2,1,1,2,1.0,0,0,0.0,1.0,False,False,0.11889879762569007,False,0.0,False,0.13351172888622054,AdaBoost,AdaBoost,False,0.1321944673964569
3,0,2,1,1,3,0.666666667,0,0,3.666666667,0.6667,True,False,0.3519154880697494,True,0.5599999999999999,False,0.4995789533843015,RandomForest,AdaBoost,False,0.49778601935322614
2,0,6,3,2,3,0.5555555560000001,0,0,2.333333333,0.6667,True,False,0.16930493101724384,False,0.0,False,0.2283030988089643,AdaBoost,AdaBoost,False,0.22562141583705775
1,0,6,10,3,4,0.45,0,0,11.0,1.6,False,False,0.2256034511558237,False,0.3,False,0.4223737677439976,AdaBoost,AdaBoost,False,0.4192971234549605
1,0,17,528,11,33,0.387205387,0,0,0.0,1.0,True,True,0.8638172633332729,False,0.3,False,0.4071212415509636,Voting,AdaBoost,False,0.42100585044445316
1,0,5,3,2,3,0.7777777779999999,0,0,0.0,1.0,False,False,0.13780142024362338,False,0.0,False,0.0948198179664457,AdaBoost,AdaBoost,False,0.09475227258228666
1,0,32,0,3,3,0.4166666670000001,0,0,27.42857143,0.7143,False,False,0.16974722743340556,False,0.4,False,0.34567795105062393,AdaBoost,AdaBoost,False,0.3424055908398563
2,0,13,0,1,3,0.371428571,1,1,35.25,0.875,True,False,0.13747599011783945,False,0.1,False,0.4029212130851068,AdaBoost,AdaBoost,False,0.39764027863169704
1,0,5,3,0,3,0.533333333,0,0,5.333333333,0.6667,False,False,0.14473968168629844,False,0.0,False,0.20188544437152234,AdaBoost,AdaBoost,False,0.19949910084708405
3,0,14,7,1,5,0.25,0,0,36.63636364,1.8182,False,False,0.26989848764336594,False,0.2,False,0.31329298955543866,AdaBoost,AdaBoost,False,0.31212816714351405
