rfc,moa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
16,0,False,False,0.1667405023334451,False,0.0,False,0.03762728554902677,Voting,Voting,False,0.16536211132570916
8,0,False,False,0.2091456484145948,False,0.0,False,0.4857254383626878,Voting,Voting,False,0.20966420879391512
55,0,True,False,0.20328198449570986,False,0.0,False,0.12597259603822006,Voting,Voting,False,0.2018806782087125
36,0,False,False,0.2664391963646308,False,0.0,False,0.4840094736692007,Voting,Voting,False,0.2663457404254458
29,0,False,False,0.17683830453081034,False,0.0,False,0.4821296604485955,Voting,Voting,False,0.1776377306516778
6,0,False,False,0.16034620440653596,False,0.07024743230625584,False,0.06180946468771435,Voting,Voting,False,0.15945652340434577
13,1,False,False,0.16854227527598514,False,0.0,False,0.11340479915920294,Voting,Voting,False,0.16753828667003715
125,6,False,True,0.8662372675857831,True,1.0,True,0.8265315757866497,Voting,Voting,True,0.8666285126914615
11,0,False,False,0.16339051642732202,False,0.05705128205128205,True,0.5005361419597413,Voting,Voting,False,0.16466182664275153
269,2,False,True,0.6230706418914211,False,0.2,False,0.12221105653009515,Voting,Voting,True,0.6186372817828434
7,0,False,False,0.1609301175637122,False,0.02,False,0.06152912499622985,Voting,Voting,False,0.15981838897973663
15,0,False,False,0.23271313642396066,False,0.0,False,0.0371987502311149,Voting,Voting,False,0.23071256618376637
14,1,False,False,0.16921443794106347,False,0.0,False,0.10594612083726794,Voting,Voting,False,0.16816524568126295
26,0,False,False,0.3076646511085031,False,0.0,False,0.0030387363310645506,Voting,Voting,False,0.3047268585828194
15,0,False,False,0.23271313642396066,False,0.0,False,0.0371987502311149,Voting,Voting,False,0.23071256618376637
8,0,False,False,0.2091456484145948,False,0.0,False,0.4857254383626878,Voting,Voting,False,0.20966420879391512
9,0,False,False,0.1621355554012093,False,0.0,False,0.04888733935175095,Voting,Voting,False,0.16086258223964903
56,3,False,False,0.2485823706341025,False,0.0,False,0.0818400380108542,Voting,Voting,False,0.24647651699496267
36,0,False,False,0.2664391963646308,False,0.0,False,0.4840094736692007,Voting,Voting,False,0.2663457404254458
3,0,False,False,0.15867097098121086,False,0.0,False,0.019051378481689564,Voting,Voting,False,0.1572758350805173
114,5,False,True,0.8135954970447324,True,0.55,False,0.3387521445954595,AdaBoost,Voting,True,0.8100723346019375
5,0,False,False,0.1597749665775853,False,0.0,False,0.4861544335292888,Voting,Voting,False,0.16075584778716978
12,0,False,False,0.16403635782349346,False,0.0,False,0.48306806439807504,Voting,Voting,False,0.1649690494805534
6,0,False,False,0.16034620440653596,False,0.07024743230625584,False,0.06180946468771435,Voting,Voting,False,0.15945652340434577
