cbo,ca,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
4,1,4,True,False,0.18758152453702664,False,0.4666666666666667,True,0.5630962492044491,AdaBoost,Voting,False,0.1938596363830065
7,6,1,True,True,0.9923602392770492,True,1.0,True,0.9529804981798404,Voting,Voting,True,0.9920488801521732
6,0,2,True,False,0.0855288927350021,False,0.5,False,0.2280783219445027,Voting,Voting,False,0.09145308972087876
2,1,1,True,False,0.4548649494323734,True,1.0,True,0.8887301493901171,Voting,Voting,False,0.46528183842176507
6,0,8,True,True,0.6842627697894477,True,1.0,True,0.9220119105695478,Voting,Voting,True,0.6894048518444118
9,6,0,True,True,0.9901216295990392,True,1.0,True,0.9889662715428136,Voting,Voting,True,0.9902199144002864
8,1,13,True,True,0.9770563659289024,True,0.8,True,0.6862400461359842,Voting,Voting,True,0.973186076551817
3,1,2,True,False,0.2534280182798052,True,0.5650000000000001,True,0.5008738946462176,Voting,Voting,False,0.25922558182967553
3,0,6,True,False,0.16400282729022647,False,0.0,False,0.1546350427896788,Voting,Voting,False,0.16218506637085897
0,0,2,True,False,0.1407564141359198,False,0.1311269123033829,False,0.487686748063928,Voting,Voting,False,0.1439761754263507
4,0,14,True,True,0.6269373060269289,False,0.4,False,0.2451269697423625,Voting,Voting,True,0.6220186166084818
10,8,2,True,True,0.9989413819624804,True,1.0,True,0.9806228081018986,Voting,Voting,True,0.9987769193323849
1,0,4,True,False,0.4523441554368988,True,0.7,True,0.9343840298734448,Voting,Voting,False,0.4592054961080391
3,0,2,True,False,0.1465317852040569,False,0.21027130493761376,False,0.4933736957305164,Voting,Voting,False,0.15055713237571428
8,0,5,True,True,0.6572152727855114,True,0.9,True,0.9215082635778992,Voting,Voting,True,0.662018409276236
9,0,2,True,True,0.6745112161915738,True,1.0,True,0.8950338701345709,Voting,Voting,True,0.6802068519040114
5,4,3,True,True,0.9758814141500368,True,1.0,True,0.8706111231909912,Voting,Voting,True,0.9751825153219474
3,2,9,True,True,0.9568878264329594,True,1.0,True,0.8764932226152922,Voting,Voting,True,0.9566504026387774
62,52,12,True,True,1.0,True,1.0,True,0.943987189023903,Voting,Voting,True,0.999450084715432
4,1,2,True,False,0.4759625614464138,True,0.5316666666666667,True,0.5383331282565101,Voting,Voting,False,0.4771729209765053
4,1,2,False,False,0.4759625614464138,True,0.5316666666666667,True,0.5383331282565101,Voting,Voting,False,0.4771729209765053
6,2,4,True,True,0.7850808029719278,True,1.0,True,0.9075321530850866,Voting,Voting,True,0.7874602246193381
4,3,1,True,True,0.8967505425613337,True,0.98,True,0.8172175545146577,Voting,Voting,True,0.8969523893897254
4,1,3,True,False,0.15642528808697967,False,0.0,False,0.16594215637158774,Voting,Voting,False,0.15525314670246795
2,2,2,True,True,0.5953642318913418,True,1.0,True,0.8671939299602064,Voting,Voting,True,0.6000780474661404
2,1,7,True,True,0.5897795825202686,True,0.9,True,0.9721068071930288,Voting,Voting,True,0.594386057527923
10,4,13,True,True,0.9963533358053359,True,1.0,True,0.9456934578428244,Voting,Voting,True,0.9960946213981112
3,1,4,True,True,0.5124156333243214,True,1.0,True,0.9384937583179714,Voting,Voting,True,0.5186607690269964
0,0,2,True,False,0.38206678449276427,False,0.22416666666666668,False,0.4947168896547177,Voting,Voting,False,0.3814705214123114
2,1,5,True,True,0.5384946809956979,True,1.0,True,0.9808158773465212,Voting,Voting,True,0.5446278562011161
5,2,1,True,False,0.3946015743312841,True,0.8,True,0.5241662157660573,Voting,Voting,False,0.3985140771959591
0,0,0,True,True,0.5880403967631932,True,0.6716666666666666,True,0.6446966730761396,Voting,Voting,True,0.5890190035464182
6,0,3,True,False,0.27931705360851977,True,0.6433333333333333,True,0.5293950976153201,Voting,Voting,False,0.28359629206855663
2,1,1,True,False,0.4534815583153757,True,0.9,True,0.8506714736955028,Voting,Voting,False,0.4592405001489898
6,3,9,True,True,0.98130611355047,True,1.0,True,0.9652873937177132,Voting,Voting,True,0.9813617839058987
0,0,1,False,True,0.5892857179103551,True,0.5716666666666667,True,0.6056956841715542,Voting,Voting,True,0.5892410690693802
3,3,7,True,True,0.9711603570264664,True,0.9,True,0.9253744488818147,Voting,Voting,True,0.9703433319118606
1,1,2,False,False,0.4888062224719529,True,0.9285714285714284,True,0.8643253682753189,Voting,Voting,False,0.49438896299714963
17,16,26,True,True,0.999999978326644,True,1.0,True,0.9356227625338496,Voting,Voting,True,0.9996353121541571
3,1,2,False,False,0.4704351993553728,True,1.0,True,0.8708280113693012,Voting,Voting,False,0.47686327585588345
4,4,4,True,True,0.9707191126496688,True,1.0,True,0.9243734624707984,Voting,Voting,True,0.9706864808457285
1,1,2,True,False,0.4888062224719529,True,0.9285714285714284,True,0.8643253682753189,Voting,Voting,False,0.49438896299714963
1,1,11,True,True,0.9101345536000242,True,0.8,True,0.5548019109821412,Voting,Voting,True,0.9094579280037177
8,8,1,True,True,0.9972890597684508,True,1.0,True,0.9419667563700772,Voting,Voting,True,0.9972776853696002
9,3,2,True,True,0.9498539175332421,True,1.0,True,0.8809327969993791,Voting,Voting,True,0.9500546483846755
1,0,2,True,False,0.40481411086758795,True,1.0,True,0.9980053935315326,Voting,Voting,False,0.40792302177791684
3,2,1,True,True,0.5406197203153981,True,0.9,True,0.7568647826573434,Voting,Voting,True,0.5424058945659155
3,0,2,True,False,0.15969547218174165,False,0.22021997176552088,False,0.49206892858745294,Voting,Voting,False,0.16015676776168727
20,16,8,True,True,0.9999995017508346,True,1.0,True,0.9835845886496616,Voting,Voting,True,0.9999937693265596
27,18,19,True,True,0.9999999958184196,True,1.0,True,0.926597816555115,Voting,Voting,True,0.9999719602987726
24,24,4,True,True,0.9999999968831044,True,1.0,True,0.9674483435692708,Voting,Voting,True,0.9999875509782296
6,5,4,True,True,0.9867120648009324,True,1.0,True,0.9673204120149969,Voting,Voting,True,0.9867648674439415
3,1,2,True,False,0.17201698588406558,False,0.1612409812409812,False,0.4887282458753461,Voting,Voting,False,0.17213447252227693
2,2,22,True,True,0.9971322312709068,True,0.9,True,0.7302652863245266,Voting,Voting,True,0.9965719249183672
6,0,2,False,False,0.4561100562505469,True,1.0,True,0.959417767733908,Voting,Voting,False,0.45889205303614494
2,0,2,True,False,0.4112804434581048,True,1.0,True,0.9999997175488426,Voting,Voting,False,0.41434787402202256
4,0,2,True,False,0.42777457875548014,True,0.6684210526315789,True,0.8136161882062698,Voting,Voting,False,0.4290982118773637
3,0,8,True,False,0.23516734661760585,False,0.11428571428571427,False,0.2668904649603213,Voting,Voting,False,0.23462227729702498
25,25,4,True,True,0.9999999986165419,True,1.0,True,0.9674483435692708,Voting,Voting,True,0.9999873447457214
10,1,4,True,True,0.9049647248241784,True,0.9142857142857144,True,0.7141598194332325,Voting,Voting,True,0.904922796337962
1,0,2,True,False,0.40481411086758795,True,1.0,True,0.9980053935315326,Voting,Voting,False,0.40792302177791684
4,1,1,False,False,0.13615456201665244,False,0.014910714285714288,False,0.4721615222496081,Voting,Voting,False,0.1357684291006394
35,35,10,True,True,0.9999999999998964,True,1.0,True,0.9758209352061042,Voting,Voting,True,0.9999887254468109
20,17,6,True,True,0.9999995446326201,True,1.0,True,0.9617074368949204,Voting,Voting,True,0.99973625639286
4,2,4,True,True,0.6642046814217534,True,1.0,True,0.9089585765617696,Voting,Voting,True,0.6673115103048842
12,8,0,True,True,0.9970085620011692,True,1.0,True,0.9518144253659916,Voting,Voting,True,0.9967124729858039
8,2,4,True,True,0.9138226941660772,True,1.0,True,0.9289012268448208,Voting,Voting,True,0.9142941810019506
5,0,3,True,False,0.11120018923204644,False,0.3,False,0.17150565018350486,Voting,Voting,False,0.11241730452052517
19,16,12,True,True,0.9999998157956564,True,1.0,True,0.9267024695390592,Voting,Voting,True,0.9994948983683338
6,5,3,True,True,0.9856379152867524,True,1.0,True,0.9328944784464572,Voting,Voting,True,0.9853386974010135
5,0,6,True,True,0.5324418643599421,True,0.9,True,0.8229801254963311,Voting,Voting,True,0.5359967275946497
9,5,8,True,True,0.996653656304862,True,1.0,True,0.9609202127113748,Voting,Voting,True,0.9964226687017502
9,1,1,True,True,0.6561062153402591,True,0.97,True,0.5787184919997526,Voting,Voting,True,0.6569210902255177
3,1,2,True,False,0.1856969343062385,False,0.3141758241758242,False,0.49045381273143,Voting,Voting,False,0.18831965549146057
27,22,15,True,True,0.9999999993528812,True,1.0,True,0.9216409323116111,Voting,Voting,True,0.9994625151307777
2,0,7,True,True,0.5548792302201394,True,0.86,True,0.6146401560626273,Voting,Voting,True,0.5565929412072657
3,3,13,True,True,0.9956225427611792,True,1.0,True,0.6917716062354021,Voting,Voting,True,0.9935506045169238
9,1,15,True,True,0.9902783288742221,True,1.0,True,0.8477809174541555,Voting,Voting,True,0.9893409586227669
3,2,4,True,True,0.6484374625918821,True,1.0,True,0.9410337915781672,Voting,Voting,True,0.6519383333537491
65,58,48,True,True,1.0,True,1.0,True,0.926452218738348,Voting,Voting,True,0.9995006011300455
15,15,16,True,True,0.9999998583794224,True,1.0,True,0.926452218738348,Voting,Voting,True,0.9994922090206518
2,0,1,True,False,0.4011482575176993,False,0.2,True,0.5928408066768888,AdaBoost,Voting,False,0.4015908615867274
3,1,5,True,False,0.21386595814928674,True,0.8,True,0.8368685850736616,Voting,Voting,False,0.2206252079107631
7,0,15,True,True,0.9787660906124976,True,1.0,True,0.9746517330061499,Voting,Voting,True,0.9788288304337579
5,2,4,True,True,0.6418784334128533,True,0.7,False,0.4954432371283175,Voting,Voting,True,0.6416031568571051
1,0,2,True,False,0.42193755697568464,True,1.0,True,0.9723165762805482,Voting,Voting,False,0.42800759698124013
0,0,2,False,False,0.4524419804069935,True,0.9,True,0.9774004419538336,Voting,Voting,False,0.4575923928951459
8,7,1,True,True,0.9920618184259976,True,1.0,True,0.9353168232575224,Voting,Voting,True,0.991871236862052
6,1,8,True,True,0.6333747100694259,True,0.9,False,0.4786922217439242,Voting,Voting,True,0.634360707230677
5,1,10,True,False,0.3258811496490973,False,0.5,False,0.17200458090378246,Voting,Voting,False,0.3262980792313423
2,0,2,True,False,0.4193690147882732,True,1.0,True,0.996322190324336,Voting,Voting,False,0.42556455238211804
13,6,3,True,True,0.990950543466116,True,1.0,True,0.9376027072974068,Voting,Voting,True,0.9907835381979675
3,1,4,True,False,0.4995950277533099,True,1.0,True,0.9158205538322048,Voting,Voting,False,0.5045367346744389
2,2,3,True,True,0.5882125877736085,True,1.0,True,0.9003287973691256,Voting,Voting,True,0.5921453001456597
3,0,2,True,False,0.15896727905276076,False,0.13610483044085392,False,0.4920434892797647,Voting,Voting,False,0.1603072024575035
3,2,1,True,True,0.5407534470829526,True,0.9,True,0.8160978963316751,Voting,Voting,True,0.544202656004542
16,4,2,True,True,0.9655120907449812,True,1.0,True,0.8895927794196293,Voting,Voting,True,0.9654056763135159
8,2,6,True,True,0.9219895807603202,True,1.0,True,0.9486862447791752,Voting,Voting,True,0.9225869669953165
6,4,11,True,True,0.988875432551915,True,1.0,True,0.9540353331860691,Voting,Voting,True,0.9887972913397614
5,2,3,True,True,0.6166699803156438,True,0.7,True,0.5046360655722282,Voting,Voting,True,0.6166993902111783
36,34,7,True,True,0.9999999999894256,True,1.0,True,0.9636920712831156,Voting,Voting,True,0.9998444740582672
5,1,1,False,False,0.4637057099834669,True,0.8,True,0.8359874279133221,Voting,Voting,False,0.46743963830258844
24,6,11,True,True,0.9985196389335528,True,1.0,True,0.9626785599759268,Voting,Voting,True,0.9983811530501334
1,1,3,True,False,0.4833111923131699,True,1.0,True,0.8826300740254519,Voting,Voting,False,0.4883005957405721
4,1,1,True,False,0.1260004686612604,False,0.0,False,0.14302622253433006,Voting,Voting,False,0.1252914300330715
5,2,14,False,True,0.9999579076760396,True,1.0,True,0.9604159537544124,Voting,Voting,True,0.999703538161792
12,10,10,True,True,0.9999996845318312,True,1.0,True,0.9939389976343141,Voting,Voting,True,0.9999812963823397
4,3,1,True,True,0.9043170336783252,True,1.0,True,0.8961102039607436,Voting,Voting,True,0.9046825730390878
10,6,7,True,True,0.9998881655824898,True,1.0,True,0.9871397722797358,Voting,Voting,True,0.9998449653310284
5,4,8,True,True,0.9995967566903624,True,1.0,True,0.9606203571140046,Voting,Voting,True,0.9993283326881524
17,2,22,True,True,0.9999998652682768,True,1.0,True,0.9939389976343141,Voting,Voting,True,0.9999598211387145
10,0,20,True,True,0.9999959973618828,True,1.0,True,0.992606734049519,Voting,Voting,True,0.9999483426708523
3,1,3,True,True,0.5346810233931041,True,0.93,True,0.7152389631269634,Voting,Voting,True,0.5371190895000055
