wmc,rfc,lcom,ca,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
3,13,3,0,1,False,False,0.056636199865043375,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.052480820103229436
4,15,0,24,2,False,False,0.03975308895271524,False,0.1,False,0.10000000000000002,Voting,Voting,False,0.04317208227270123
7,25,21,1,1,True,False,0.1380682341375463,False,0.0,False,0.2,Voting,Voting,False,0.1363788703515761
5,29,4,1,1,False,False,0.068435436750397,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06843513465366552
9,73,12,4,17,True,True,0.6036048810154956,True,0.8,True,0.6493488003205541,Voting,Voting,True,0.6057261348856449
6,43,11,2,1,False,False,0.10584097445947306,False,0.1,False,0.29999999999999993,Voting,Voting,False,0.10636071556569637
4,25,6,1,1,False,False,0.06181563579573238,False,0.0,False,0.10000000000000002,Voting,Voting,False,0.06181563526179051
4,26,0,1,1,False,False,0.044036937893000776,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.04403685339119153
16,93,72,2,1,True,True,0.6642635947070928,False,0.4,True,0.7,Voting,Voting,True,0.663750738407838
2,3,1,1,2,False,False,0.05654930485728454,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05631941764089171
3,23,0,1,1,False,False,0.037322512432429934,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.037322510099915655
3,21,3,1,1,False,False,0.053202067442401565,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.053202050474616035
5,24,10,2,1,False,False,0.08597167360820808,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.08597167360799783
11,18,53,16,2,False,True,0.6849835019871707,True,0.8,True,0.8,Voting,Voting,True,0.6888258496241189
4,20,4,16,2,False,False,0.05843680549497015,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.0584368050619597
9,30,36,3,1,False,True,0.7844922125510627,False,0.5,True,0.9999999999999998,RandomForest,Voting,True,0.7258555809954289
3,12,0,1,1,False,False,0.04667682786862395,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.04638178591899087
5,38,0,2,7,False,True,0.5910475989694829,False,0.3,False,2.2204460492503185e-16,Voting,Voting,True,0.5910475985252334
