max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1,False,False,0.3089470352775476,False,0.4860740843630003,False,0.4999208270195992,Voting,Voting,False,0.31368016234637563
1,False,False,0.35727674751429794,False,0.4993872765896906,True,0.5007413119943264,Voting,Voting,False,0.35955003549492953
14,True,True,0.9726794117574884,True,1.0,True,0.8813930214245088,Voting,Voting,True,0.9730884158361501
2,False,False,0.26962347772061185,False,0.10136153449233944,False,0.4802145069769861,Voting,Voting,False,0.2667808584217302
1,False,False,0.3674161303007513,False,0.4970490892892802,False,0.4997580550382646,Voting,Voting,False,0.3695544587657095
2,False,False,0.21750459318813234,False,0.07660856687172476,False,0.4844035938399352,Voting,Voting,False,0.21521324272993203
6,False,True,0.5615396218601711,False,0.06666666666666668,False,0.17920208027963205,Voting,Voting,True,0.5550021987669663
1,False,False,0.3671681264474798,False,0.488325779972613,False,0.4998282668762922,Voting,Voting,False,0.36910816925669554
1,False,False,0.3243801566979975,False,0.4177790313165044,False,0.4988482252305088,Voting,Voting,False,0.32597423526169117
2,False,False,0.22446177057773645,False,0.123376088248211,False,0.4884539173910737,Voting,Voting,False,0.2229897249507728
1,False,False,0.31597991370972944,False,0.4641691972504781,True,0.501374345669336,Voting,Voting,False,0.3183285934649272
1,False,False,0.327766191790787,False,0.4644096027359413,False,0.4990976245245144,Voting,Voting,False,0.32992677255263336
2,False,False,0.19861037797584868,False,0.119066431934079,False,0.4940947475564103,Voting,Voting,False,0.19742004313184877
1,False,False,0.3379125213371549,False,0.4978262850916234,False,0.4991671722629306,Voting,Voting,False,0.34045974689434905
3,False,False,0.42452252318489697,True,0.5754761904761905,False,0.4988003702572014,Voting,Voting,False,0.42690081885808556
1,False,False,0.3571176278087666,True,0.5291191350091841,False,0.4987174703919424,Voting,Voting,False,0.35944925866543787
2,False,False,0.2542999055896977,False,0.14813674457637308,False,0.4833385592893063,Voting,Voting,False,0.25263033825414033
3,False,False,0.3806192725115407,False,0.4608333333333334,True,0.5002447975951,Voting,Voting,False,0.3818573685199617
1,False,False,0.33456733758124635,True,0.5048577173644079,False,0.49985940204556,Voting,Voting,False,0.3372728673302998
5,False,True,0.8202253808773249,True,0.7666666666666667,True,0.8196670705722637,Voting,Voting,True,0.8193841949814024
2,False,False,0.19360349612522265,False,0.2458988160961845,False,0.4927315996249804,Voting,Voting,False,0.1943310581602346
1,False,False,0.3476514761573796,False,0.4183055800764864,False,0.4992873132483268,Voting,Voting,False,0.3487543358054659
1,False,False,0.31854397587388106,False,0.4518206304353176,True,0.5010505176350477,Voting,Voting,False,0.32067643286365094
2,False,False,0.2793427292401381,False,0.2671257857209869,False,0.4888979094820671,Voting,Voting,False,0.2791508132114184
0,False,False,0.21395742348251728,False,0.09243552915591476,False,0.06993406334165457,Voting,Voting,False,0.21203579295075758
1,False,False,0.3409335356439646,False,0.4407387756073729,False,0.4991635944871514,Voting,Voting,False,0.3415344752028905
1,True,False,0.3371070573780375,True,0.5303910091909774,False,0.4993138000655364,RandomForest,Voting,False,0.3395179237609543
