cbo,rfc,loc,moa,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,14,39,2,1,False,False,0.10517717369878833,False,0.1,False,0.12951244322376648,Voting,Voting,False,0.10535870801515831
4,5,36,0,1,False,False,0.07031241893588826,False,0.0,False,0.03961803937179628,Voting,Voting,False,0.06926556890915274
49,89,583,24,5,False,True,0.9964896389113084,False,0.4,False,0.4354899750930117,Voting,Voting,True,0.984686006235447
0,8,20,0,0,False,False,0.06715240482442451,False,0.0,False,0.07359393227313776,Voting,Voting,False,0.0665003009559543
3,8,73,0,3,False,False,0.0758543823866579,False,0.1,False,0.07678242515142931,Voting,Voting,False,0.07612040247095653
38,91,717,7,15,True,True,0.9802962344374944,False,0.4,False,0.4921223349481907,Voting,Voting,True,0.9693727637019361
0,3,3,0,1,False,False,0.06236877679966385,False,0.0,False,0.003453929315873225,Voting,Voting,False,0.06113205761846579
3,24,114,0,3,False,False,0.1033431161139609,False,0.1,False,0.07538237863465487,Voting,Voting,False,0.1030356414372974
2,7,30,0,3,False,False,0.07434078262958775,False,0.0,False,0.07686419940960018,Voting,Voting,False,0.07357406871412703
5,8,27,0,1,False,False,0.0772316813944816,False,0.0,False,0.02379391240643105,Voting,Voting,False,0.07589002726761497
1,25,283,0,2,False,False,0.09036368128546644,False,0.0,False,0.10377842401028488,Voting,Voting,False,0.08954388929709957
12,22,1700,3,1,True,False,0.31372296111915393,False,0.0,False,0.37288615890992544,Voting,Voting,False,0.310959134094353
1,7,14,0,1,False,False,0.06934413534749938,False,0.0,False,0.012153035497719707,Voting,Voting,False,0.06804993525347466
0,0,0,0,0,False,False,0.056753808006522063,False,0.0,False,0.0012632372576130355,Voting,Voting,False,0.05561015009543597
8,33,177,0,1,False,False,0.1255651182647573,True,0.7,True,0.5568198560960737,Voting,Voting,False,0.13586148364501335
6,9,35,0,1,False,False,0.08040214022201576,False,0.3,False,0.14026022652190542,Voting,Voting,False,0.0833215112996555
3,15,17,0,1,False,False,0.08608128435688828,False,0.0,False,0.029541775379866006,Voting,Voting,False,0.08461527725485699
0,3,5,0,1,False,False,0.06229347239718275,False,0.0,False,0.004158357046632445,Voting,Voting,False,0.06106513689708515
20,145,1226,1,10,False,True,0.9761696834963072,True,0.9,True,0.666132250986039,Voting,Voting,True,0.9729857095402751
40,207,2594,9,41,True,True,0.9990272277209761,True,1.0,True,0.9444038333668336,Voting,Voting,True,0.9985064195705411
0,2,10,0,0,False,False,0.05902845334008972,False,0.0,False,0.008568557578375137,Voting,Voting,False,0.05790950372302952
4,6,33,0,1,False,False,0.0719901782887307,False,0.0,False,0.0658359251929742,Voting,Voting,False,0.0711641009067236
9,93,995,2,6,False,True,0.7377782727328284,False,0.5,True,0.5395351327598857,RandomForest,Voting,True,0.733324076083396
4,12,40,0,1,False,False,0.08158779756735263,False,0.0,False,0.04085185809973277,Voting,Voting,False,0.0803232923144387
2,31,259,0,5,False,False,0.11361091246140392,False,0.0,False,0.022866675422140683,Voting,Voting,False,0.11157139772035601
8,97,981,3,11,False,True,0.8662570856390758,True,0.9,True,0.5275286013724784,Voting,Voting,True,0.8633218761615916
11,21,108,2,2,True,False,0.1321664859097293,False,0.1,False,0.142764629670839,Voting,Voting,False,0.1319271778148685
0,5,28,1,1,False,False,0.06998998208431143,False,0.0,False,0.02514309904908014,Voting,Voting,False,0.06880894394841033
5,8,32,0,1,False,False,0.07701171135116677,False,0.0,False,0.025490501060346886,Voting,Voting,False,0.07569103525080252
0,3,5,0,1,False,False,0.06229347239718275,False,0.0,False,0.004158357046632445,Voting,Voting,False,0.06106513689708515
3,0,0,0,0,False,False,0.061047735660851074,False,0.1,False,0.02636547451694036,Voting,Voting,False,0.06112507419369015
19,46,350,3,1,False,False,0.24243822965281986,False,0.1,False,0.2902333984898605,Voting,Voting,False,0.2413782210133378
2,5,11,0,1,False,False,0.06804352380094557,False,0.0,False,0.06293449629448479,Voting,Voting,False,0.06726961678882581
0,2,9,0,0,True,False,0.05906447073991336,False,0.0,False,0.003426257039312541,Voting,Voting,False,0.0578947834222809
9,36,181,0,1,False,False,0.13484544889296468,True,0.6,True,0.7182392101116777,Voting,Voting,False,0.14545739820151218
2,7,29,0,1,False,False,0.0703604245838219,False,0.0,False,0.06418470679778218,Voting,Voting,False,0.06955148488581049
2,23,167,1,2,False,False,0.4348520891411705,False,0.4,True,0.5011316435364627,Voting,Voting,False,0.43512569190845685
4,11,24,0,1,False,False,0.08059367800437496,False,0.0,False,0.01818371600405624,Voting,Voting,False,0.07912899394097653
26,98,962,0,10,False,True,0.9030049681060895,False,0.5,True,0.6463860224686161,RandomForest,Voting,True,0.8962224238781834
2,4,31,0,2,False,False,0.0676466170268837,False,0.0,False,0.06046160277494084,Voting,Voting,False,0.06685674747372496
79,37,296,0,5,False,True,0.6133890769069735,False,0.1,False,0.098829621481283,Voting,Voting,True,0.6029432798737714
35,12,77,0,4,False,False,0.25860442280147383,False,0.2,False,0.13919332129398132,Voting,Voting,False,0.25681949976423735
2,9,91,1,5,False,False,0.08607241558932804,False,0.0,False,0.05628898050371906,Voting,Voting,False,0.08486668098072193
2,6,21,1,1,False,False,0.07520852382475808,False,0.0,False,0.028460836932932963,Voting,Voting,False,0.07395345818334965
0,6,8,0,1,False,False,0.066496588020893,False,0.0,False,0.02375395159699361,Voting,Voting,False,0.0653731939416215
14,71,836,6,6,False,True,0.5663379492418692,True,0.7,True,0.5403181300717959,Voting,Voting,True,0.5675075728580145
3,9,59,1,2,False,False,0.08247413645892934,False,0.0,False,0.0287500199327528,Voting,Voting,False,0.08107389939594761
18,5,5,0,1,False,False,0.1020289169343562,False,0.0,False,0.03243676012318698,Voting,Voting,False,0.1002662450721177
4,25,331,0,5,False,False,0.10179951407711578,False,0.0,False,0.016571550152812836,Voting,Voting,False,0.09952401296233646
2,11,56,0,1,False,False,0.07559489753379015,False,0.2,False,0.1659667318899715,Voting,Voting,False,0.07779779515974146
2,20,92,1,2,False,False,0.09936880842890933,False,0.0,False,0.22238821350283147,Voting,Voting,False,0.09950741887463323
7,8,44,0,1,False,False,0.08018767170766096,False,0.2,False,0.4323223007898073,Voting,Voting,False,0.0848870865660647
6,32,378,0,7,False,False,0.12525907272827033,False,0.2,False,0.1838462900575411,Voting,Voting,False,0.12643407591105826
2,11,52,0,1,False,False,0.07576791306587607,False,0.1,False,0.0438803034169316,Voting,Voting,False,0.07571575166226187
5,4,79,0,0,True,False,0.06685461072334846,False,0.1,False,0.18828196204955105,Voting,Voting,False,0.0683881647532094
7,3,8,0,1,False,False,0.07357425276917752,False,0.0,False,0.015542685854771303,Voting,Voting,False,0.07222685633288181
10,210,1160,4,3,True,True,0.9956351591870424,False,0.4,False,0.4542181346222156,Voting,Voting,True,0.984028574679185
0,2,23,0,0,True,False,0.05856254661582424,False,0.0,False,0.05916630923701365,Voting,Voting,False,0.05794510270336733
2,4,9,0,0,False,False,0.06481056430669915,False,0.0,False,0.22710505005866666,Voting,Voting,False,0.06569891169022654
0,35,343,0,6,False,False,0.11633961625339312,False,0.0,False,0.01005870154303164,Voting,Voting,False,0.11382692497248748
6,42,287,0,7,False,False,0.15430608121911235,False,0.1,False,0.1861882866882007,Voting,Voting,False,0.15397045656886846
4,35,204,2,3,False,False,0.14359553629713073,False,0.0,False,0.039958853195395626,Voting,Voting,False,0.14105787482573603
19,34,34,0,1,False,False,0.1696270874873449,False,0.0,False,0.033269152729890616,Voting,Voting,False,0.1664956939629896
4,4,4,0,1,False,False,0.07009263677541765,False,0.0,False,0.00997432792795227,Voting,Voting,False,0.06876200555239831
2,11,37,1,1,False,False,0.08290868561155365,False,0.0,False,0.01131616124780092,Voting,Voting,False,0.08133006967203724
0,2,2,0,1,False,False,0.06101895557949993,False,0.0,False,0.002992828902941452,Voting,Voting,False,0.05980524531057628
17,92,2453,2,10,False,True,0.5164436714133078,False,0.4,True,0.5082456212198769,RandomForest,Voting,True,0.5151235682669394
0,8,20,0,0,False,False,0.06715240482442451,False,0.0,False,0.07359393227313776,Voting,Voting,False,0.0665003009559543
8,13,36,1,1,False,False,0.09884187343357316,False,0.2,False,0.18030329793394576,Voting,Voting,False,0.10071069460876785
1,10,12,0,1,False,False,0.07414711322841873,False,0.0,False,0.014529625707420132,Voting,Voting,False,0.07277819789873033
