rfc,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
49,0,True,True,0.9731916032347168,True,1.0,True,0.9390738788977446,Voting,Voting,True,0.9731483438805627
1,1,True,True,0.5815398859302223,True,1.0,True,0.9994926968650304,Voting,Voting,True,0.5829222613607196
12,7,True,True,0.9999999981584268,True,1.0,True,0.8887769623009832,Voting,Voting,True,0.9997585333182603
16,3,True,True,0.9997996683159583,True,1.0,True,0.9631835107997956,Voting,Voting,True,0.9997206656097503
6,3,True,True,0.9993090859191968,True,1.0,True,0.8949848898433003,Voting,Voting,True,0.9990840044880667
46,3,True,True,0.9999951352435446,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999062086426664
46,5,True,True,0.9999999884921644,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999105663503878
76,31,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100976124214
125,10,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100719120922
61,26,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100720721735
7,3,True,True,0.9993894832916216,True,1.0,True,0.897991517833517,Voting,Voting,True,0.9991705924150095
5,3,True,True,0.9992181261033508,True,1.0,True,0.9512545204073278,Voting,Voting,True,0.999115176329555
60,5,True,True,0.9999999979706664,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999102317998462
26,14,True,True,1.0,True,1.0,True,0.9484238529107218,Voting,Voting,True,0.9998875320214459
29,11,True,True,0.9999999999999988,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999101027198298
28,7,True,True,0.9999999997465538,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999108567370282
2,1,True,True,0.5605697899528715,True,0.963859165984166,True,0.521034148296971,Voting,Voting,True,0.5609453740086798
7,3,True,True,0.9993894832916216,True,1.0,True,0.897991517833517,Voting,Voting,True,0.9991705924150095
22,3,True,True,0.9999047427708062,True,1.0,True,0.9539210487041261,Voting,Voting,True,0.9998054458928265
48,7,True,True,0.9999999999787552,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999106248525218
15,3,True,True,0.9997732503407168,True,1.0,True,0.8603176116842497,Voting,Voting,True,0.9994724698828811
3,2,True,True,0.9805573150395996,True,1.0,True,0.9806395971077756,Voting,Voting,True,0.9805797502020233
79,7,True,True,0.9999999999995444,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100719085239
24,2,True,True,0.9984780213089016,True,1.0,True,0.9160436834911942,Voting,Voting,True,0.9983015238676736
59,9,True,True,0.9999999999999872,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100795794418
72,19,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999102470853176
79,13,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100719091311
22,5,True,True,0.9999997746030672,True,1.0,True,0.9539210487041261,Voting,Voting,True,0.999900130631136
4,2,True,True,0.9827062960014868,True,1.0,True,0.9616580518399788,Voting,Voting,True,0.9826805102223504
5,0,False,False,0.016007656104582726,False,0.0,False,0.07303748173270841,Voting,Voting,False,0.016112670068055016
428,130,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100719089724
19,13,True,True,1.0,True,1.0,True,0.9614649009339692,Voting,Voting,True,0.9999155566673033
49,0,True,True,0.9731916032347168,True,1.0,True,0.9390738788977446,Voting,Voting,True,0.9731483438805627
47,22,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999101082419544
21,7,True,True,0.9999999993964599,True,1.0,True,0.9565910878588944,Voting,Voting,True,0.9999056248302431
20,9,True,True,0.9999999999983838,True,1.0,True,0.9649011433179812,Voting,Voting,True,0.999923814154224
66,5,True,True,0.999999999035361,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999105395813406
44,17,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.999910585110029
4,2,True,True,0.9827062960014868,True,1.0,True,0.9616580518399788,Voting,Voting,True,0.9826805102223504
7,2,True,True,0.987881527970588,True,1.0,True,0.8963898507995947,Voting,Voting,True,0.9876974241175687
21,1,True,True,0.6264099240075915,False,0.4476190476190477,True,0.7882099635787754,Voting,Voting,True,0.6265589523641439
38,5,True,True,0.9999999689797592,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999107807705249
51,27,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100815376266
31,0,True,True,0.8503947903208616,True,0.9,True,0.7133070392613842,Voting,Voting,True,0.850154778263682
83,23,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.999910097564128
6,4,True,True,0.999966329900485,True,1.0,True,0.8949848898433003,Voting,Voting,True,0.9997397269478452
36,14,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100950856499
2,1,True,True,0.5605697899528715,True,0.963859165984166,True,0.521034148296971,Voting,Voting,True,0.5609453740086798
21,11,True,True,0.9999999999999966,True,1.0,True,0.9565910878588944,Voting,Voting,True,0.9999059952311017
15,3,True,True,0.9997732503407168,True,1.0,True,0.8603176116842497,Voting,Voting,True,0.9994724698828811
3,2,True,True,0.9805573150395996,True,1.0,True,0.9806395971077756,Voting,Voting,True,0.9805797502020233
51,23,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999101055589119
1,1,True,True,0.5815398859302223,True,1.0,True,0.9994926968650304,Voting,Voting,True,0.5829222613607196
4,4,True,True,0.999956858529485,True,1.0,True,0.9617798828396872,Voting,Voting,True,0.9998742967311043
8,4,True,True,0.9999737220703194,True,1.0,True,0.8531300471436226,Voting,Voting,True,0.9996563140834277
1,1,True,True,0.5815398859302223,True,1.0,True,0.9994926968650304,Voting,Voting,True,0.5829222613607196
13,1,True,False,0.4893549301692907,False,0.057142857142857134,False,0.11206051479516538,Voting,Voting,False,0.48808330116282433
3,2,True,True,0.9805573150395996,True,1.0,True,0.9806395971077756,Voting,Voting,True,0.9805797502020233
26,8,True,True,0.9999999999842052,True,1.0,True,0.9484238529107218,Voting,Voting,True,0.9998878903890732
3,3,True,True,0.9989988178438832,True,1.0,True,0.9807166217415852,Voting,Voting,True,0.998960195241275
4,2,True,True,0.9827062960014868,True,1.0,True,0.9616580518399788,Voting,Voting,True,0.9826805102223504
3,2,True,True,0.9805573150395996,True,1.0,True,0.9806395971077756,Voting,Voting,True,0.9805797502020233
4,2,True,True,0.9827062960014868,True,1.0,True,0.9616580518399788,Voting,Voting,True,0.9826805102223504
52,13,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999102592882277
31,12,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999113215522036
54,20,True,True,1.0,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999100950357924
49,0,True,True,0.9731916032347168,True,1.0,True,0.9390738788977446,Voting,Voting,True,0.9731483438805627
19,7,True,True,0.9999999992266628,True,1.0,True,0.9614649009339692,Voting,Voting,True,0.999916568388273
15,10,True,True,0.999999999999854,True,1.0,True,0.8603176116842497,Voting,Voting,True,0.999698322956352
2,1,True,True,0.5605697899528715,True,0.963859165984166,True,0.521034148296971,Voting,Voting,True,0.5609453740086798
17,2,True,True,0.9963983777968872,True,1.0,True,0.9033791901434254,Voting,Voting,True,0.9962011233142817
2,1,True,True,0.5605697899528715,True,0.963859165984166,True,0.521034148296971,Voting,Voting,True,0.5609453740086798
15,5,True,True,0.999999463255384,True,1.0,True,0.8603176116842497,Voting,Voting,True,0.9996975211706761
4,3,True,True,0.9991152231507084,True,1.0,True,0.9617798828396872,Voting,Voting,True,0.9990355028774323
3,2,True,True,0.9805573150395996,True,1.0,True,0.9806395971077756,Voting,Voting,True,0.9805797502020233
20,0,True,True,0.5909871106084558,True,0.7730138752678798,True,0.5059394044287605,Voting,Voting,True,0.5910111324673478
11,8,True,True,0.9999999998986128,True,1.0,True,0.9014634786806308,Voting,Voting,True,0.9997858133303958
12,12,True,True,0.9999999999999994,True,1.0,True,0.8887769623009832,Voting,Voting,True,0.9997592173555231
21,12,True,True,1.0,True,1.0,True,0.9565910878588944,Voting,Voting,True,0.9999061471759862
28,4,True,True,0.9999977971057168,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999084186834366
6,3,True,True,0.9993090859191968,True,1.0,True,0.8949848898433003,Voting,Voting,True,0.9990840044880667
6,2,True,True,0.9863478592264044,True,1.0,True,0.8946734591103205,Voting,Voting,True,0.9861654896235162
20,0,True,True,0.5909871106084558,True,0.7730138752678798,True,0.5059394044287605,Voting,Voting,True,0.5910111324673478
4,1,True,True,0.5728875531821634,True,0.8966666666666667,True,0.9622670680024772,Voting,Voting,True,0.5740999159389111
7,2,True,True,0.987881527970588,True,1.0,True,0.8963898507995947,Voting,Voting,True,0.9876974241175687
6,2,True,True,0.9863478592264044,True,1.0,True,0.8946734591103205,Voting,Voting,True,0.9861654896235162
42,10,True,True,0.9999999999999948,True,1.0,True,0.9590466771004684,Voting,Voting,True,0.9999110183635642
3,2,True,True,0.9805573150395996,True,1.0,True,0.9806395971077756,Voting,Voting,True,0.9805797502020233
17,7,True,True,0.9999999990090958,True,1.0,True,0.9623637705197332,Voting,Voting,True,0.9999183027237508
18,7,True,True,0.9999999991246126,True,1.0,True,0.9620088599722824,Voting,Voting,True,0.9999179061808001
49,0,True,True,0.9731916032347168,True,1.0,True,0.9390738788977446,Voting,Voting,True,0.9731483438805627
6,2,True,True,0.9899479797723242,True,1.0,True,0.8966128602904022,Voting,Voting,True,0.9898002163371347
29,6,True,True,0.9999999980517544,True,1.0,True,0.9068777950984483,Voting,Voting,True,0.999845498376585
15,11,True,True,0.9999999999999988,True,1.0,True,0.8656355060399502,Voting,Voting,True,0.9997768598264194
25,8,True,True,0.9999999999947324,True,1.0,True,0.9054038513492824,Voting,Voting,True,0.9998432758426639
3,2,True,True,0.9858558539127786,True,1.0,True,0.9091818688567096,Voting,Voting,True,0.9857384342569965
24,3,True,True,0.9999492116850568,True,1.0,True,0.9034900378645072,Voting,Voting,True,0.9997893183612382
57,11,True,True,1.0,True,1.0,True,0.9068777950984483,Voting,Voting,True,0.9998456215910917
13,4,True,True,0.9999923551076252,True,1.0,True,0.8639309814144402,Voting,Voting,True,0.9997668275513719
15,3,True,True,0.9998530377122528,True,1.0,True,0.8656355060399502,Voting,Voting,True,0.9996309195857558
