cbo,rfc,ce,npm,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
6,19,6,6,0.3666666670000001,False,False,0.06496275988574664,False,0.0,False,0.1730837540826799,AdaBoost
1,17,1,12,0.461538462,False,False,0.033552650421338794,False,0.0,False,0.0548120848426251,AdaBoost
48,12,1,6,0.458333333,False,False,0.018861355996064925,False,0.0,False,0.17509446077612675,AdaBoost
4,4,2,4,1.0,False,False,0.01685597307945489,False,0.0,False,0.216552191682904,AdaBoost
2,8,1,4,0.666666667,False,False,0.023265567365010814,False,0.0,False,0.07388549753023324,AdaBoost
8,14,5,3,0.5,True,False,0.042784891922563316,False,0.0,False,0.08412135733156106,AdaBoost
2,6,1,5,0.466666667,False,False,0.032884785773650844,False,0.0,False,0.16163780730098462,AdaBoost
6,31,6,9,0.355555556,True,False,0.06879778649002855,False,0.0,False,0.13328824794213012,AdaBoost
6,9,3,9,0.425925926,False,False,0.046082547936299255,False,0.2,False,0.497874634263335,AdaBoost
6,19,2,15,0.20952381,False,False,0.05432848098138384,False,0.0,False,0.11734743995489172,AdaBoost
1,34,1,29,0.433333333,False,False,0.025038450561114967,False,0.0,False,0.2319212810383905,AdaBoost
30,155,30,34,0.138314785,True,False,0.4455719403186915,False,0.2,False,0.3317983853663361,AdaBoost
4,19,2,10,0.35,False,False,0.04252074979524459,False,0.1,False,0.33793161993359605,AdaBoost
3,9,3,3,0.5,False,False,0.03824341266355283,False,0.1,False,0.20416201773909504,AdaBoost
8,18,1,11,0.287878788,False,False,0.04358531545953683,True,0.6,False,0.28115562213034456,AdaBoost
14,29,9,6,0.44,False,False,0.0878337214540968,False,0.1,False,0.17808078632387522,AdaBoost
3,10,3,3,0.833333333,False,False,0.02352337892371996,False,0.0,False,0.2279483049942337,AdaBoost
29,121,29,31,0.165966387,True,False,0.4825778703353082,False,0.1,False,0.3212971272166447,AdaBoost
6,35,6,13,0.259615385,False,False,0.08585226179918211,False,0.0,False,0.06903351298979257,AdaBoost
2,2,2,1,1.0,False,False,0.01882770783978273,False,0.0,False,0.050499808694241685,AdaBoost
13,7,0,7,0.464285714,False,False,0.3616900540175461,False,0.3,False,0.33594713118554936,AdaBoost
6,15,1,9,0.361111111,False,False,0.03700865560194396,False,0.2,False,0.1193916905170421,AdaBoost
17,46,17,17,0.211764706,True,True,0.7400139277975382,True,0.6,False,0.4831467184613005,AdaBoost
4,15,0,8,0.34375,False,False,0.0324697039175117,False,0.1,False,0.09382102951051507,AdaBoost
3,7,0,2,0.444444444,False,False,0.023399979788872614,False,0.0,False,0.05072540424401101,AdaBoost
18,41,18,4,0.5,False,True,0.7327422595560437,True,0.7,False,0.4937675491434586,AdaBoost
1,2,0,1,1.0,False,False,0.013477143759939005,False,0.0,False,0.09848399778060137,AdaBoost
8,42,8,13,0.241758242,False,False,0.10675907053790293,False,0.0,False,0.03824920455463896,AdaBoost
3,5,3,3,0.5,True,False,0.2072250597113459,True,0.6,False,0.4956225303167298,RandomForest
2,2,2,1,1.0,False,False,0.01948513132609801,False,0.0,False,0.08108107194335618,AdaBoost
3,1,1,1,1.0,False,False,0.015176828427579015,False,0.0,False,0.1431204374045197,AdaBoost
5,14,2,8,0.40625,False,False,0.03151785491853962,False,0.2,False,0.2382122541861792,AdaBoost
4,2,2,2,0.666666667,False,False,0.02675507195915129,False,0.0,False,0.01019150310843006,AdaBoost
11,27,11,5,0.333333333,False,False,0.4634629168718255,False,0.3,False,0.2631054183171217,AdaBoost
12,23,4,18,0.37037037,False,False,0.05366738241233904,False,0.1,False,0.4107643587212029,AdaBoost
4,1,3,1,1.0,False,False,0.021893134726474098,False,0.0,False,0.029953804150245893,AdaBoost
9,38,3,15,0.242647059,False,False,0.05115088944186732,False,0.0,False,0.12334482720362293,AdaBoost
7,9,3,9,0.28571428600000004,False,False,0.0450535255794807,False,0.3,False,0.15572435828352485,AdaBoost
11,26,11,4,0.5,False,False,0.10232626028552216,False,0.0,False,0.11185957082116024,AdaBoost
5,11,1,3,0.5555555560000001,False,False,0.021009634671726236,False,0.0,False,0.0521239597331924,AdaBoost
4,14,4,4,0.4375,False,False,0.04447587833117417,False,0.0,False,0.13824139112603595,AdaBoost
74,63,3,55,0.113286713,False,False,0.3337382594187339,False,0.0,False,0.08804171238014534,AdaBoost
23,66,23,21,0.16558441599999998,False,True,0.8817227996966728,True,0.7,True,0.5203881829430984,AdaBoost
27,28,3,28,0.228571429,False,False,0.27351010899974043,False,0.0,False,0.2838691150995249,AdaBoost
1,10,1,4,0.4375,False,False,0.030400662376836068,False,0.0,False,0.009719981627230895,AdaBoost
1,41,1,2,0.35,False,False,0.02287828965524978,False,0.1,False,0.12327715645595234,AdaBoost
6,12,3,12,0.333333333,False,False,0.04382391814248557,False,0.4,False,0.4316214355338593,AdaBoost
18,23,3,16,0.1796875,False,False,0.07924199472034102,False,0.2,False,0.25996153167526964,AdaBoost
2,5,2,3,0.5,False,False,0.03829277948604652,False,0.2,False,0.3947480357344144,AdaBoost
1,6,0,2,0.5,False,False,0.028209360038531736,False,0.1,False,0.03526327882437648,AdaBoost
5,2,2,2,1.0,False,False,0.018658295670786387,False,0.0,False,0.0018108064476995921,AdaBoost
4,14,4,4,0.4375,False,False,0.047476360056921615,False,0.0,False,0.07673155360975391,AdaBoost
4,25,0,21,0.210884354,False,False,0.03931731588444067,False,0.1,False,0.17995715444502425,AdaBoost
3,0,1,0,0.0,False,False,0.054857669073221454,False,0.0,False,0.008187747393648106,AdaBoost
13,74,13,23,0.204545455,True,False,0.3639289135752257,False,0.4,False,0.4727872762730632,AdaBoost
19,56,19,11,0.173076923,True,False,0.4591157742857458,True,0.9,False,0.38595440835559597,RandomForest
4,21,2,14,0.476190476,False,False,0.033041168712259365,False,0.1,False,0.22091425756434646,AdaBoost
5,4,1,4,0.45,False,False,0.03169384467425227,False,0.0,False,0.18308347167082492,AdaBoost
1,2,1,1,1.0,False,False,0.01916671044469313,False,0.0,False,0.012675751956902608,AdaBoost
3,5,3,3,0.5,False,False,0.376688791241851,True,1.0,True,0.9726846644083011,Voting
2,2,2,1,1.0,False,False,0.02185578787508491,False,0.0,False,0.006536167615765092,AdaBoost
2,6,0,6,0.916666667,False,False,0.015605278575566503,False,0.1,False,0.036239896016870256,AdaBoost
11,21,11,3,0.833333333,False,False,0.06391967043147012,False,0.2,False,0.06213820358913302,AdaBoost
8,13,6,13,0.326923077,False,False,0.0715229465230975,False,0.3,False,0.4786417276539854,AdaBoost
3,22,3,12,0.27777777800000003,False,False,0.049151927588853374,False,0.2,False,0.0925546078040465,AdaBoost
5,10,5,2,0.75,False,False,0.03833476960092253,False,0.0,False,0.008103326945599659,AdaBoost
2,5,1,2,0.75,False,False,0.02351358527541797,False,0.0,False,0.010576319981757204,AdaBoost
6,3,0,3,0.666666667,False,False,0.01918198116555949,False,0.1,False,0.008881051778527767,AdaBoost
6,24,4,4,0.4166666670000001,False,False,0.04118403728565157,False,0.0,False,0.04160232071952751,AdaBoost
7,3,3,3,0.583333333,False,False,0.03424201803995425,False,0.5,False,0.13155467120945216,AdaBoost
3,6,1,2,0.75,False,False,0.022107688848569826,False,0.0,False,0.03230016736037385,AdaBoost
3,11,3,6,0.541666667,False,False,0.03842482313718471,False,0.0,False,0.02111419162612028,AdaBoost
3,2,1,2,1.0,False,False,0.010309537243324816,False,0.0,False,0.3012537406745776,AdaBoost
6,10,4,10,0.4,True,False,0.05091206617401954,False,0.1,False,0.4564405770964649,AdaBoost
16,21,3,8,0.34375,True,False,0.013346072384191865,False,0.2,False,0.2472585832881356,AdaBoost
1,11,1,6,0.428571429,False,False,0.025279969486476275,False,0.0,False,0.0433983582384098,AdaBoost
25,92,25,27,0.140740741,False,True,0.9177886632514354,True,0.6,True,0.5650773590342741,AdaBoost
8,33,3,26,0.132867133,False,False,0.08646160486580462,False,0.1,False,0.0995682862443096,AdaBoost
26,99,26,22,0.12745098,False,True,0.8855207818256923,False,0.4,False,0.4684333846234876,AdaBoost
22,92,14,17,0.303921569,False,True,0.6744255823924531,True,0.7,True,0.5544277000887555,AdaBoost
6,22,5,3,0.5,False,False,0.024442028156891067,False,0.3,False,0.4521118620124606,AdaBoost
8,33,8,8,0.375,False,False,0.06292996946030441,False,0.2,False,0.1850771232964807,AdaBoost
5,15,1,8,0.34375,False,False,0.016473580473204557,False,0.1,False,0.17230685484821773,AdaBoost
11,35,2,31,0.148387097,False,False,0.11895439447294212,False,0.2,False,0.1495191963481933,AdaBoost
2,20,1,7,0.392857143,False,False,0.017276210653189603,False,0.0,False,0.09258576958424536,AdaBoost
3,5,3,3,0.5,True,False,0.2032949756271886,False,0.2833333333333333,False,0.4999186660072204,AdaBoost
5,10,5,2,0.75,False,False,0.03152374193571655,False,0.0,False,0.045679704589526034,AdaBoost
2,3,2,2,0.75,False,False,0.022524157052858627,False,0.0,False,0.06743993979700333,AdaBoost
4,7,2,7,0.35714285700000004,True,False,0.03257528948935653,False,0.3,False,0.4970975711994397,AdaBoost
2,4,0,4,0.875,False,False,0.01018114526549381,False,0.1,False,0.1307680627042419,AdaBoost
16,114,16,11,0.13968254,True,True,0.6793108285601189,True,0.8,True,0.6565162636663786,AdaBoost
3,24,0,21,0.35714285700000004,False,False,0.03082426907894792,False,0.1,False,0.13052858476740314,AdaBoost
4,3,1,3,1.0,False,False,0.009063013181948056,True,0.6,True,0.5976039993937622,Voting
21,56,21,14,0.3125,False,True,0.8879693697828018,True,0.7,True,0.6198289268142325,AdaBoost
11,65,11,24,0.302222222,False,True,0.7064209928093014,False,0.4,False,0.4307505943457925,AdaBoost
5,10,5,4,0.4375,False,False,0.051551945313783036,False,0.0,False,0.4169423042766765,AdaBoost
12,14,12,2,0.75,False,False,0.08668712017531853,False,0.1,False,0.316631664761145,AdaBoost
7,28,7,9,0.317460317,False,False,0.07933984270856971,False,0.2,False,0.30399196038680604,AdaBoost
3,5,0,5,0.533333333,False,False,0.025626421157815892,False,0.0,False,0.1472725346239381,AdaBoost
1,0,0,0,0.0,False,False,0.052724315347599436,False,0.0,False,0.021884812588061856,AdaBoost
5,24,2,16,0.1796875,False,False,0.05160565449030629,False,0.5,False,0.4952969548766583,AdaBoost
7,16,3,5,0.333333333,False,False,0.041702108284753715,False,0.2,False,0.19632626883237408,AdaBoost
8,6,5,6,0.452380952,False,False,0.05436298622593705,True,0.5599999999999999,True,0.5522966819045843,Voting
11,17,9,4,0.5,False,False,0.07733393188351438,False,0.2,False,0.27382133921075796,AdaBoost
