wmc,npm,loc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
9,9,44,False,False,0.037119412917653714,False,0.0,False,2.2204460492503185e-16,RandomForest
9,9,9,False,False,0.028188249552158807,False,0.0,False,2.2204460492503185e-16,RandomForest
2,1,123,False,False,0.059241052362004276,False,0.1,False,2.2204460492503185e-16,RandomForest
5,5,24,False,False,0.027545805355341287,False,0.0,False,2.2204460492503185e-16,RandomForest
0,0,8,False,False,0.02176312294167477,False,0.0,False,9.363282759014594e-15,RandomForest
7,7,58,False,False,0.03873347635714277,False,0.0,False,0.16016372923310745,RandomForest
12,12,100,False,False,0.08701868728880723,False,0.1,False,2.2204460492503185e-16,RandomForest
0,0,4,False,False,0.020970082694840082,False,0.0,False,2.2204460492503185e-16,RandomForest
16,16,105,False,False,0.3257051447944633,False,0.1,False,4.967053706610929e-09,RandomForest
4,4,18,False,False,0.02556749686482901,False,0.0,False,6.165150358275143e-09,RandomForest
10,10,68,True,False,0.03734988099457903,False,0.2,False,7.450580541412699e-09,RandomForest
8,8,47,False,False,0.036423343541664176,False,0.0,False,2.2204460492503185e-16,RandomForest
15,15,74,False,True,0.5176893352430121,False,0.4,False,0.4000000000000001,RandomForest
0,0,7,False,False,0.02156178139308654,False,0.0,False,2.2204460492503185e-16,RandomForest
3,2,21,False,False,0.0198025672843861,False,0.0,False,2.2204460492503185e-16,RandomForest
2,2,2,False,False,0.02131718367768149,False,0.0,False,2.2204460492503185e-16,RandomForest
4,4,38,False,False,0.030506135643259706,False,0.0,False,2.2204460492503185e-16,RandomForest
3,3,16,False,False,0.02462164601533809,False,0.0,False,3.4219114805440946e-10,RandomForest
18,2,296,False,False,0.35840236232246897,False,0.4,False,0.3483314773547883,RandomForest
4,4,38,False,False,0.030506135643259463,False,0.0,False,2.2204460492503185e-16,RandomForest
2,2,8,False,False,0.022492692659479854,False,0.0,False,2.2204460492503185e-16,RandomForest
