rfc,moa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
16,0,False,False,0.008230879338501416,False,0.0,False,0.025395559884025053,AdaBoost
8,0,False,False,0.008093113156775808,False,0.0,False,0.025395559884025053,AdaBoost
55,0,True,False,0.009202779264647644,False,0.0,False,0.02769931136386909,AdaBoost
36,0,False,False,0.00866237017710013,False,0.0,False,0.025395559884025053,AdaBoost
29,0,False,False,0.008496871060764485,False,0.0,False,0.025395559884025053,AdaBoost
6,0,False,False,0.00806180766748685,False,0.0,False,0.025395559884025053,AdaBoost
13,1,False,False,0.009400728744768529,False,0.0,False,0.015922557844951234,AdaBoost
125,6,False,False,0.4471274126135845,False,0.4,True,0.5677722551217803,AdaBoost
11,0,False,False,0.008142444294396159,False,0.0,False,0.025395559884025053,AdaBoost
269,2,False,False,0.3415160183019612,False,0.2,False,0.15494341593629082,AdaBoost
7,0,False,False,0.008077300756704238,False,0.0,False,0.025395559884025053,AdaBoost
15,0,False,False,0.00821257606656453,False,0.0,False,0.025395559884025053,AdaBoost
14,1,False,False,0.009421296714058669,False,0.0,False,0.015922557844951234,AdaBoost
26,0,False,False,0.008430818103305926,False,0.0,False,0.025395559884025053,AdaBoost
15,0,False,False,0.00821257606656453,False,0.0,False,0.025395559884025053,AdaBoost
8,0,False,False,0.008093113156775808,False,0.0,False,0.025395559884025053,AdaBoost
9,0,False,False,0.008109242556565413,False,0.0,False,0.025395559884025053,AdaBoost
56,3,False,False,0.015039120603493578,False,0.0,False,0.07996683307859304,AdaBoost
36,0,False,False,0.00866237017710013,False,0.0,False,0.025395559884025053,AdaBoost
3,0,False,False,0.00801727101202768,False,0.0,False,0.02234972877275294,AdaBoost
114,5,False,False,0.38220699429466537,False,0.4,False,0.492860819539146,AdaBoost
5,0,False,False,0.008046636441086361,False,0.0,False,0.025395559884025053,AdaBoost
12,0,False,False,0.008159513184763472,False,0.0,False,0.025395559884025053,AdaBoost
6,0,False,False,0.00806180766748685,False,0.0,False,0.025395559884025053,AdaBoost
17,0,False,False,0.008249489445168609,False,0.0,False,0.025395559884025053,AdaBoost
2,1,False,False,0.009196804338052448,False,0.0,False,0.06247050893083955,AdaBoost
6,0,False,False,0.00806180766748685,False,0.0,False,0.025395559884025053,AdaBoost
25,0,False,False,0.008409431613555238,False,0.0,False,0.025395559884025053,AdaBoost
116,0,False,False,0.34635013054225205,False,0.1,False,0.14078528625978715,AdaBoost
4,0,False,False,0.06863785048017737,False,0.2436474714833581,False,0.4925922399318386,AdaBoost
4,2,False,False,0.010836208090412512,False,0.0,False,0.0865470820795213,AdaBoost
22,0,False,False,0.008347141144271996,False,0.0,False,0.025395559884025053,AdaBoost
27,1,False,False,0.00971880073679694,False,0.0,False,0.015922557844951234,AdaBoost
20,1,False,False,0.00955164549888983,False,0.0,False,0.015922557844951234,AdaBoost
156,5,False,False,0.11569969376403955,False,0.0,False,0.06358422621472251,AdaBoost
57,1,False,False,0.010642913935123502,False,0.0,False,0.05031679852288262,AdaBoost
163,5,False,False,0.13630960092593467,False,0.0,False,0.038599485721538464,AdaBoost
73,0,False,False,0.00988010403009535,False,0.0,False,0.03198976715163451,AdaBoost
43,0,False,False,0.008844824305267106,False,0.0,False,0.02638882927379332,AdaBoost
13,0,False,False,0.00817689217425752,False,0.0,False,0.025395559884025053,AdaBoost
63,1,False,False,0.010878597767346608,False,0.0,False,0.06535082749716546,AdaBoost
105,3,False,False,0.01998719702577466,False,0.0,False,0.029620686172438005,AdaBoost
54,0,False,False,0.009170509577940928,False,0.0,False,0.02734738428295657,AdaBoost
60,1,False,False,0.010758110121528351,False,0.1,False,0.1769756617980454,AdaBoost
