wmc,dit,lcom,ca,ce,npm,mfa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
6,1,15,2,2,6,0.0,False,False,0.3803796986988373,True,0.9,True,0.6513315679388467,Voting
9,1,28,5,0,9,0.0,False,False,0.3405090619292843,False,0.0,False,0.22099769015032736,Voting
9,1,28,7,0,9,0.0,False,False,0.018422966400874485,False,0.0,False,0.01810132734097336,Voting
3,1,1,0,7,3,0.0,True,False,0.20678683765213146,False,0.35,False,0.30979137451889266,Voting
6,8,3,0,11,5,0.955357143,True,True,0.9997703372588299,True,1.0,True,0.9547031439566404,Voting
9,1,0,0,5,9,0.0,False,True,0.5685509805662371,False,0.2,True,0.6836432805345437,RandomForest
6,8,3,0,8,6,0.955357143,True,True,0.9995570762065858,True,1.0,True,0.8882062123810391,Voting
5,8,4,0,10,4,0.963963964,True,True,0.9997668964864522,True,1.0,True,0.9081412346212642,Voting
7,1,21,7,3,7,0.0,False,True,0.5313315167191796,False,0.2,False,0.3777658011547185,Voting
24,1,258,8,3,24,0.0,False,False,4.0682713492720014e-19,False,0.0,False,0.03944942648225467,Voting
7,4,19,0,12,7,0.7142857140000001,True,False,0.3578681046051952,True,0.6,True,0.5622075574999098,Voting
17,1,120,7,0,17,0.0,False,False,1.3549773929368774e-09,False,0.0,False,0.06879401219499319,Voting
3,1,3,0,3,3,0.0,False,True,0.5151169685453134,True,1.0,True,0.9999999999999998,Voting
5,1,6,5,0,5,0.0,True,False,0.12341403135474995,True,0.6,False,0.3672834920022037,RandomForest
7,8,9,0,11,7,0.946902655,True,True,0.9990857559696243,True,0.9,True,0.9084902326022074,Voting
13,1,66,6,0,13,0.0,False,False,9.890101504018246e-06,False,0.0,False,0.06666600600879558,Voting
4,1,0,0,7,4,0.0,False,True,0.6401503579025961,True,0.8,True,0.9251049469972976,Voting
2,1,1,0,4,2,0.0,False,False,0.4161051413762505,True,0.76,True,0.5722478847883495,Voting
4,8,0,0,13,4,0.972727273,True,True,0.9999332268223684,True,0.9,True,0.8543950997270795,Voting
4,4,6,0,11,4,0.833333333,True,True,0.9893910431988774,True,1.0,True,0.7476168902999911,Voting
3,1,3,2,3,3,0.0,True,False,0.3860778974849069,False,0.4333333333333334,False,0.4956013804930208,Voting
4,8,0,0,7,4,0.972727273,True,True,0.6664890116954869,True,0.6,True,0.6894248494491491,Voting
6,1,0,0,5,6,0.0,True,False,0.07886843905207334,False,0.1,False,0.19169432279690526,Voting
3,1,3,5,3,3,0.0,True,True,0.6150009146972765,True,0.7,True,0.7528426284968366,Voting
3,1,3,0,3,3,0.0,True,False,0.1455462552324808,False,0.0,False,0.2,Voting
