cbo,rfc,lcom,loc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,11,1,68,False,False,0.11041606658634674,False,0.0,False,2.2204460492503185e-16,Voting
8,28,2,274,True,True,0.7647807422978108,True,0.9,False,0.4000000000000001,Voting
27,118,390,992,True,True,1.0,True,0.8,True,0.8999999999999999,Voting
0,3,1,21,False,False,0.11875458883026956,False,0.0,False,2.2204460492503185e-16,Voting
9,57,28,245,True,True,0.999602029327819,True,1.0,True,0.9999999999999998,Voting
5,55,26,387,True,True,0.9999727185658212,True,1.0,True,0.9999999999999998,Voting
6,51,13,265,True,True,0.6992745551562773,True,0.8,False,0.5,Voting
7,70,40,412,True,True,0.6666661311734272,True,0.9,True,0.7,Voting
7,35,21,148,True,True,0.9994047974267242,True,0.7,True,0.7,Voting
3,23,6,88,False,False,0.12015567720819102,False,0.5,False,0.2,Voting
1,4,3,14,False,False,0.23450371187789645,False,0.0,False,2.2204460492503185e-16,Voting
7,46,18,227,True,True,0.9907044172878589,True,1.0,True,0.9999999999999998,Voting
8,41,0,355,True,True,0.7365586403987661,True,0.7,True,0.9999999999999998,Voting
2,15,0,103,False,False,0.06785027321007371,False,0.1,False,0.10000000000000002,Voting
4,40,21,251,True,True,0.9995790237702956,True,0.7,True,0.8999999999999999,Voting
18,57,0,639,True,True,0.9999972675446664,True,0.7,True,0.8571428571428571,Voting
4,52,18,764,True,True,0.9999999941815232,True,1.0,True,0.7,Voting
6,65,8,432,False,True,0.9902626508182109,True,1.0,True,0.9999999999999998,Voting
