cbo,rfc,ce,npm,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
6,19,6,6,0.3666666670000001,False,False,0.3347534834298164,False,0.2,False,0.15693241784954096,Voting
1,17,1,12,0.46153846200000004,False,False,0.2170899966874324,False,0.0,False,0.013611264683573907,Voting
48,12,1,6,0.45833333299999995,False,False,0.04494686617462682,False,0.0,False,0.2152092299129436,Voting
4,4,2,4,1.0,False,False,0.06906648967268922,False,0.1,False,0.16152482785337208,Voting
2,8,1,4,0.666666667,False,False,0.09132253700898883,False,0.0,False,0.039435325010171135,Voting
8,14,5,3,0.5,True,False,0.19267529548859527,False,0.1,False,0.10900889824332577,Voting
2,6,1,5,0.46666666700000003,False,False,0.17095742553796414,False,0.0,False,0.17129371773491925,Voting
6,31,6,9,0.355555556,True,False,0.3458918903316115,False,0.2,False,0.1661857686729937,Voting
6,9,3,9,0.425925926,False,True,0.6200641181051887,True,0.8,True,0.5325599842104412,Voting
6,19,2,15,0.20952381,False,False,0.32626798124298034,False,0.1,False,0.2506432508273653,Voting
1,34,1,29,0.433333333,False,False,0.2276463305372145,False,0.0,False,0.07816821370724462,Voting
30,155,30,34,0.138314785,True,True,0.5910030378157051,False,0.3,False,0.1308517056521618,Voting
4,19,2,10,0.35,False,True,0.5869369117586235,False,0.3,False,0.3903293432495887,Voting
3,9,3,3,0.5,False,False,0.17605598276670628,False,0.4817460317460318,False,0.3054909154861834,Voting
8,18,1,11,0.287878788,False,False,0.24454900898258644,False,0.1,False,0.14705228749476834,Voting
14,29,9,6,0.44,False,True,0.6916490375789381,False,0.1,False,0.19858946873603706,Voting
3,10,3,3,0.833333333,False,False,0.08940286580245789,False,0.1,False,0.28202836636738016,Voting
29,121,29,31,0.165966387,True,True,0.6481621631943495,False,0.4,False,0.18367763630100145,Voting
6,35,6,13,0.259615385,False,False,0.405637562881575,False,0.2,False,0.062454499742090976,Voting
2,2,2,1,1.0,False,False,0.07243478624161044,False,0.0,False,0.10620869487472494,Voting
13,7,0,7,0.46428571399999996,False,False,0.15040348599288098,False,0.0,False,0.4245856864017781,Voting
6,15,1,9,0.36111111100000004,False,False,0.21576638912566026,False,0.0,False,0.12531027451142934,Voting
17,46,17,17,0.21176470600000002,True,True,0.9772859754577976,True,0.8,True,0.6216084319872711,Voting
4,15,0,8,0.34375,False,False,0.1826893980607272,False,0.1,False,0.10807805971586568,Voting
3,7,0,2,0.444444444,False,False,0.09337620785860523,False,0.0,False,0.17679279784513513,Voting
18,41,18,4,0.5,False,True,0.9435586633046348,False,0.4,False,0.4539471262852544,Voting
1,2,0,1,1.0,False,False,0.04689926767155548,False,0.0,False,0.0716864047024643,Voting
8,42,8,13,0.24175824199999998,False,False,0.4182888559661874,False,0.0,False,0.2704292045268098,Voting
3,5,3,3,0.5,True,False,0.33328241548995674,True,0.6,False,0.4980437582281818,RandomForest
2,2,2,1,1.0,False,False,0.07504288086140116,False,0.0,False,0.053968238923393766,Voting
3,1,1,1,1.0,False,False,0.05797179724793824,False,0.0,False,0.13844208960003668,Voting
5,14,2,8,0.40625,False,False,0.16776813262435644,False,0.1,False,0.3704443551984412,Voting
4,2,2,2,0.666666667,False,False,0.11072805017021972,False,0.0,False,0.03715146600855375,Voting
11,27,11,5,0.333333333,False,False,0.4475273453106679,False,0.2,False,0.3235339671809103,Voting
12,23,4,18,0.37037037,False,False,0.3238345767127907,True,0.7,True,0.5286715195128943,Voting
4,1,3,1,1.0,False,False,0.09066472544478373,False,0.1,False,0.1333418046175913,Voting
9,38,3,15,0.242647059,False,False,0.2707362458663917,False,0.3,False,0.23369814234775085,Voting
7,9,3,9,0.28571428600000004,False,False,0.2557803451224611,False,0.5,False,0.2362301904456308,Voting
11,26,11,4,0.5,False,False,0.3643893521464341,False,0.0,False,0.049128327521270415,Voting
5,11,1,3,0.5555555560000001,False,False,0.0827876367189498,False,0.0,False,0.09589518691929216,Voting
4,14,4,4,0.4375,False,False,0.17889717593287394,False,0.0,False,0.11514187207706895,Voting
74,63,3,55,0.11328671300000001,False,False,0.34722607258839844,False,0.0,False,0.07534696287067615,Voting
23,66,23,21,0.16558441599999998,False,True,0.990979178091739,True,1.0,False,0.4801380155159225,AdaBoost
27,28,3,28,0.228571429,False,False,0.41525351095472063,False,0.3,False,0.29817904912477605,Voting
1,10,1,4,0.4375,False,False,0.12371254470004388,False,0.0,False,0.020653025520746708,Voting
1,41,1,2,0.35,False,False,0.075843681381298,False,0.0,False,0.13365456472828874,Voting
6,12,3,12,0.333333333,False,False,0.2637858492014841,True,0.6,False,0.33123140210633395,Voting
18,23,3,16,0.1796875,False,False,0.34412398979122044,True,0.7,False,0.3141122161147909,Voting
2,5,2,3,0.5,False,False,0.18163748868364635,False,0.2,False,0.37477893518922784,Voting
