dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
3,0,7,0,1,4,0.36,1,2,7.4,0.6,False,False,0.12273353335502475,False,0.3,False,0.4903582672390029,AdaBoost
1,0,3,4,1,3,0.5,0,0,3.0,0.5,False,False,0.14393810401629134,False,0.0,False,0.16421054714713065,AdaBoost
4,0,26,144,2,13,0.19736842100000002,4,5,20.3,1.0,False,False,0.08137991269571994,False,0.4,False,0.4075448610682185,AdaBoost
2,0,8,3,2,2,0.666666667,1,3,54.0,5.3333,True,True,0.5793444435368414,True,0.7,True,0.5004124250464188,AdaBoost
1,0,25,22,22,6,0.25,0,0,20.875,0.75,True,True,0.6156299597874051,True,0.6,True,0.5058545347849074,AdaBoost
1,0,6,3,5,3,1.0,0,0,0.0,1.0,False,False,0.12575085849611922,False,0.1,False,0.15602796796027146,AdaBoost
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False,False,0.08237149435747744,False,0.0,False,0.06612335652287757,AdaBoost
1,0,9,15,2,6,0.333333333,0,0,6.666666667,1.3333,True,False,0.2077933666203763,False,0.3,False,0.33428726424635524,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.1512170640145067,False,0.0,False,0.10415315493824072,AdaBoost
1,0,7,6,0,3,0.375,0,0,4.5,0.75,False,False,0.1582092285070061,False,0.0,False,0.17468826097088114,AdaBoost
1,0,11,45,1,9,0.15,0,0,4.2,0.9,True,False,0.1930669652484456,False,0.1,False,0.2873576689036171,AdaBoost
3,0,10,25,3,7,0.3,2,3,15.4,0.9,False,False,0.11389567476351173,False,0.0,False,0.3799637164369076,AdaBoost
2,0,13,201,2,21,0.17676767699999998,1,1,10.13043478,0.8696,False,False,0.2408784019142457,False,0.3,False,0.4917271838807114,AdaBoost
4,0,18,22,4,7,0.3125,0,0,16.5,0.75,False,False,0.2464064607400935,False,0.0,False,0.29630324149840154,AdaBoost
3,0,3,6,0,8,0.4166666670000001,1,2,7.888888888999999,0.8889,True,False,0.1429003762049025,False,0.2,False,0.3489311979715029,AdaBoost
1,2,8,3,2,2,0.533333333,0,0,31.0,1.6667,False,True,0.568469215794806,False,0.4,False,0.4170972118200884,AdaBoost
4,0,6,5,1,8,0.25,2,2,15.4,1.1,True,False,0.18014914535117896,False,0.4,False,0.32239688314161363,AdaBoost
2,0,7,26,0,1,0.390625,1,1,50.75,3.625,False,False,0.490833139595517,False,0.1,False,0.4221638042113667,AdaBoost
1,0,17,6,11,4,0.45,0,0,12.25,2.0,False,False,0.3107060130033649,True,0.6,False,0.3839778093724619,AdaBoost
1,0,3,1,3,2,0.666666667,0,0,7.5,1.0,False,False,0.4898000989597394,True,0.6,False,0.4751909090891847,AdaBoost
1,0,6,61,2,14,0.297619048,0,0,4.428571429,0.9286,False,False,0.21633485177812548,False,0.1,False,0.2411984305578238,AdaBoost
1,0,8,62,2,11,0.229166667,0,0,10.1875,1.3125,False,True,0.5694818504777099,True,0.8,True,0.5951470792763836,AdaBoost
4,17,66,6,66,4,0.666666667,0,0,4.0,0.0,False,True,0.6442756590164173,False,0.4,False,0.2715713926446868,AdaBoost
1,0,4,1,2,6,0.5,0,0,7.0,1.1667,False,False,0.1884036405826577,False,0.1,False,0.4356259991841568,AdaBoost
1,0,3,3,1,3,0.666666667,0,0,41.33333333,4.6667,False,True,0.6103983053563052,False,0.3,False,0.37288725513538656,AdaBoost
2,0,11,25,3,8,0.25,0,0,5.3636363639999995,0.7273,True,False,0.2108842852487298,False,0.3,False,0.3223752998009716,AdaBoost
1,0,2,1,1,2,1.0,0,0,0.0,1.0,False,False,0.11889879762569007,False,0.0,False,0.13351172888622054,AdaBoost
3,0,2,1,1,3,0.666666667,0,0,3.666666667,0.6667,True,False,0.3519154880697494,True,0.5599999999999999,False,0.4995789533843015,RandomForest
2,0,6,3,2,3,0.5555555560000001,0,0,2.333333333,0.6667,True,False,0.16930493101724384,False,0.0,False,0.2283030988089643,AdaBoost
