wmc,npm,loc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
9,9,44,False,False,0.15103053710432232,False,0.0,False,0.10000000000000002,Voting
9,9,9,False,False,0.08920732022865185,False,0.0,False,2.2204460492503185e-16,Voting
2,1,123,False,False,0.08711994220786083,False,0.1,False,4.740966867476307e-07,Voting
5,5,24,False,False,0.07546304632817856,False,0.0,False,0.004931243889516421,Voting
0,0,8,False,False,0.03251288484056928,False,0.0,False,0.02012002527287632,Voting
7,7,58,False,False,0.13583921501800042,False,0.1,False,0.29190222125917,Voting
12,12,100,False,False,0.4614864215919292,False,0.3,True,0.9999999999999998,Voting
0,0,4,False,False,0.030376739466399138,False,0.0,False,2.2204460492503185e-16,Voting
16,16,105,False,True,0.9421855774587174,True,0.6,True,0.8315264337392437,Voting
4,4,18,False,False,0.06637842884164054,False,0.0,False,2.2204460492503185e-16,Voting
10,10,68,True,False,0.4819569959256384,False,0.5,True,0.5505102572168219,AdaBoost
8,8,47,False,False,0.116707100442644,False,0.0,False,1.7628389884097995e-11,Voting
15,15,74,False,True,0.8630176670327764,True,0.6,True,0.8,Voting
0,0,7,False,False,0.03820342066037611,False,0.0,False,2.2204460492503185e-16,Voting
3,2,21,False,False,0.03229557884341688,False,0.0,False,1.7260727488048018e-14,Voting
2,2,2,False,False,0.0331505731634094,False,0.0,False,0.0029950730481624194,Voting
4,4,38,False,False,0.06613206868731537,False,0.0,False,2.282364685996517e-11,Voting
3,3,16,False,False,0.049494731440802964,False,0.0,False,7.579023117155675e-14,Voting
18,2,296,False,False,0.3815657496397467,False,0.5,True,0.8,Voting
4,4,38,False,False,0.07958084991095858,False,0.0,False,0.023960264582510937,Voting
2,2,8,False,False,0.03952124608090039,False,0.0,False,2.2204460492503185e-16,Voting
1,1,4,False,False,0.032906895701928715,False,0.0,False,2.2204460492503185e-16,Voting
7,7,58,False,False,0.13016475279374348,False,0.0,False,0.10447098060438886,Voting
1,1,4,False,False,0.038643213631685394,False,0.0,False,0.010611244637948,Voting
11,11,54,False,False,0.22257843064341087,False,0.2,True,0.5264037750776956,Voting
14,14,209,False,True,0.6581765235307838,True,0.6,False,0.5,AdaBoost
0,0,6,False,False,0.03412176010678178,False,0.0,False,2.2204460492503185e-16,Voting
2,2,10,False,False,0.04374631364524334,False,0.0,False,2.2204460492503185e-16,Voting
3,3,14,False,False,0.04869511604615915,False,0.0,False,7.440070496315436e-06,Voting
1,1,4,False,False,0.030365232666487094,False,0.0,False,2.2204460492503185e-16,Voting
4,4,30,False,False,0.07377937022103905,False,0.0,False,0.015339519105690529,Voting
7,7,39,False,False,0.13063155311760702,False,0.0,False,0.03706543588735246,Voting
21,21,181,True,True,0.9893614165119397,True,1.0,True,0.9999999999999998,Voting
1,1,4,False,False,0.03565002124605176,False,0.0,False,0.03108848122428727,Voting
8,8,88,False,True,0.5135823309123505,True,0.9,False,0.35365077265466804,AdaBoost
8,8,47,False,False,0.12301583729222787,False,0.0,False,2.2204460492503185e-16,Voting
6,6,34,False,False,0.10457358747182817,False,0.0,False,2.2204460492503185e-16,Voting
25,25,201,False,True,0.9964722466417276,True,1.0,True,0.9999999999999998,Voting
4,4,28,False,False,0.05457046056577125,False,0.0,False,2.6286293900382926e-08,Voting
9,9,51,False,False,0.1770620283137533,False,0.0,False,0.05331588257584422,Voting
6,6,83,False,False,0.12290505089454308,False,0.1,True,0.5977468278814134,Voting
0,0,4,False,False,0.032268972348115765,False,0.0,False,9.373324083407122e-14,Voting
11,11,95,False,True,0.6825951594841504,True,1.0,True,0.6000000000000001,Voting
7,7,42,False,False,0.1111807678924614,False,0.0,False,2.2204460492503185e-16,Voting
2,2,10,False,False,0.040191223042113464,False,0.0,False,2.2204460492503185e-16,Voting
0,0,4,False,False,0.04234562712072985,False,0.0,False,2.2204460492503185e-16,Voting
0,0,4,False,False,0.0263079809446779,False,0.0,False,2.2204460492503185e-16,Voting
4,4,39,False,False,0.06517442275441776,False,0.0,False,2.2204460492503185e-16,Voting
29,29,348,True,True,0.6663744484826601,False,0.4,False,0.3549723794374982,Voting
5,5,44,False,False,0.10228671965350282,False,0.0,False,2.2204460492503185e-16,Voting
4,4,23,False,False,0.054409713451980944,False,0.0,False,2.2204460492503185e-16,Voting
19,19,162,True,True,0.9781656146162958,True,1.0,True,0.9999999999999998,Voting
4,4,23,False,False,0.06653864654711117,False,0.0,False,0.004101956362791021,Voting
8,8,47,False,False,0.10799074235471012,False,0.0,False,2.2204460492503185e-16,Voting
9,9,55,False,False,0.14042646908725218,False,0.1,False,0.003900941112573565,Voting
7,7,67,True,False,0.08799041169251885,False,0.0,False,2.2204460492503185e-16,Voting
9,9,68,False,True,0.5324433935382463,True,1.0,True,0.9999999999408457,Voting
4,4,38,False,False,0.08951686976809413,False,0.0,False,0.01745567163108673,Voting
3,3,111,False,False,0.18702468314974466,False,0.2,False,2.2204460492503185e-16,Voting
14,14,126,False,True,0.9281672070516062,True,1.0,True,0.9999999999823715,Voting
2,2,2,False,False,0.037421762899110006,False,0.0,False,1.4732893144241102e-05,Voting
5,3,45,False,False,0.031025120787948158,False,0.0,False,0.00015154513148849346,Voting
0,0,3,False,False,0.02679762247140272,False,0.0,False,2.2204460492503185e-16,Voting
4,4,22,False,False,0.056675131581370164,False,0.0,False,0.007682504783721961,Voting
