cbo,ca,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
4,1,4,True,False,0.18758152453702664,False,0.4666666666666667,True,0.5630962492044491,AdaBoost
7,6,1,True,True,0.9923602392770492,True,1.0,True,0.9529804981798404,Voting
6,0,2,True,False,0.0855288927350021,False,0.5,False,0.2280783219445027,Voting
2,1,1,True,False,0.4548649494323734,True,1.0,True,0.8887301493901171,Voting
6,0,8,True,True,0.6842627697894477,True,1.0,True,0.9220119105695478,Voting
9,6,0,True,True,0.9901216295990392,True,1.0,True,0.9889662715428136,Voting
8,1,13,True,True,0.9770563659289024,True,0.8,True,0.6862400461359842,Voting
3,1,2,True,False,0.2534280182798052,True,0.5650000000000001,True,0.5008738946462176,Voting
3,0,6,True,False,0.16400282729022647,False,0.0,False,0.1546350427896788,Voting
0,0,2,True,False,0.1407564141359198,False,0.1311269123033829,False,0.487686748063928,Voting
4,0,14,True,True,0.6269373060269289,False,0.4,False,0.2451269697423625,Voting
10,8,2,True,True,0.9989413819624804,True,1.0,True,0.9806228081018986,Voting
1,0,4,True,False,0.4523441554368988,True,0.7,True,0.9343840298734449,Voting
3,0,2,True,False,0.1465317852040569,False,0.21027130493761376,False,0.4933736957305164,Voting
8,0,5,True,True,0.6572152727855114,True,0.9,True,0.9215082635778992,Voting
9,0,2,True,True,0.6745112161915738,True,1.0,True,0.8950338701345709,Voting
5,4,3,True,True,0.9758814141500368,True,1.0,True,0.8706111231909912,Voting
3,2,9,True,True,0.9568878264329594,True,1.0,True,0.8764932226152922,Voting
62,52,12,True,True,1.0,True,1.0,True,0.943987189023903,Voting
4,1,2,True,False,0.4759625614464138,True,0.5316666666666667,True,0.5383331282565101,Voting
4,1,2,False,False,0.4759625614464138,True,0.5316666666666667,True,0.5383331282565101,Voting
6,2,4,True,True,0.7850808029719278,True,1.0,True,0.9075321530850866,Voting
4,3,1,True,True,0.8967505425613337,True,0.98,True,0.8172175545146577,Voting
4,1,3,True,False,0.15642528808697967,False,0.0,False,0.16594215637158774,Voting
2,2,2,True,True,0.5953642318913418,True,1.0,True,0.8671939299602064,Voting
2,1,7,True,True,0.5897795825202686,True,0.9,True,0.9721068071930288,Voting
10,4,13,True,True,0.996353335805336,True,1.0,True,0.9456934578428244,Voting
3,1,4,True,True,0.5124156333243214,True,1.0,True,0.9384937583179714,Voting
0,0,2,True,False,0.38206678449276427,False,0.22416666666666668,False,0.4947168896547177,Voting
