noc,cbo,rfc,lcom,ca,ce,npm,loc,dam,mfa,ic,cbm,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
0,19,18,0,8,15,4,84,0.0,0.5,0,0,3,True,False,0.2473663418382345,True,0.7,True,0.5839124698224103,AdaBoost
0,13,41,7,1,12,9,286,0.5,0.72,2,6,6,True,True,0.952303685521034,True,0.6,True,0.7761149918401476,AdaBoost
0,4,38,0,0,4,9,287,1.0,0.0,0,0,5,False,False,0.11498512689317092,True,0.7,False,0.4995630761876697,AdaBoost
0,3,7,6,2,2,1,26,0.0,0.98125,2,3,3,False,True,0.5035267767026018,True,0.9,False,0.4873719781336993,AdaBoost
2,20,82,160,5,18,8,596,0.833333333,0.768421053,2,8,3,True,True,0.9892604211183164,True,1.0,True,0.9170535243364526,AdaBoost
3,13,6,10,10,3,0,8,0.0,0.0,0,0,1,False,False,0.15696088764589658,False,0.3,False,0.2304788008859565,AdaBoost
0,13,61,0,4,9,0,553,0.333333333,0.0,0,0,4,True,False,0.16077327916909268,False,0.5,True,0.6371654341050652,AdaBoost
0,6,34,34,1,6,7,323,0.7777777779999999,0.444444444,1,2,3,True,True,0.5375705546167221,True,0.6,True,0.6372762836289269,AdaBoost
0,8,36,58,1,7,13,191,1.0,0.0,0,0,1,False,True,0.5476148383540583,True,0.9,True,0.5555913580038073,AdaBoost
0,30,8,28,28,2,8,8,0.0,0.0,0,0,1,False,True,0.9102230859670856,True,0.7,True,0.6137005812181887,AdaBoost
0,3,7,0,2,1,3,125,0.14285714300000002,0.0,0,0,3,False,False,0.06397471772436995,False,0.0,False,0.14060361003223032,AdaBoost
0,2,19,0,1,1,8,65,0.0,0.708333333,1,4,1,False,False,0.09298054236725224,False,0.2,False,0.3355957531584677,AdaBoost
1,5,7,15,3,3,0,9,0.0,0.0,0,0,1,False,False,0.07804287968449121,False,0.2,False,0.15988187684345226,AdaBoost
2,10,8,21,7,3,0,10,0.0,0.0,0,0,1,False,False,0.12100468436473928,False,0.0,False,0.039662827567610866,AdaBoost
0,10,25,0,2,10,6,91,0.0,0.5,0,0,1,True,False,0.14603815833129774,False,0.5,False,0.4812783826113338,AdaBoost
0,2,17,0,0,2,6,90,1.0,0.5,1,1,2,True,False,0.4896496500486583,False,0.3,False,0.3673464152236299,AdaBoost
0,7,5,0,4,5,1,57,0.0,0.0,0,0,1,True,False,0.42135451555218667,False,0.4,True,0.6872970939130076,AdaBoost
0,20,64,167,13,11,22,446,1.0,0.333333333,2,6,12,True,True,0.9927629569727756,True,1.0,True,0.8455978703193165,AdaBoost
0,2,4,1,1,1,1,13,0.0,0.923076923,1,1,2,True,False,0.09775104601573284,False,0.3,False,0.4427487765722227,AdaBoost
0,8,6,0,8,0,0,100,0.0,0.0,0,0,1,False,False,0.06413456930604351,False,0.4,False,0.4408265642594618,AdaBoost
0,79,22,0,79,0,10,145,0.0,0.0,1,1,6,True,True,0.9981163980681648,True,0.8,True,0.574954966493555,AdaBoost
2,7,16,0,2,5,1,66,1.0,0.0,0,0,1,False,False,0.14045344867356407,False,0.5,True,0.6144339042603499,AdaBoost
0,16,22,0,11,6,6,100,1.0,0.6315789470000001,2,2,4,True,True,0.6448334438843647,True,1.0,True,0.6792715483110142,AdaBoost
