dit,rfc,lcom,ca,npm,lcom3,loc,dam,cbm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,60,90,1,38,0.838141026,786,0.9375,6,True,True,0.9620495065313348,True,1.0,True,0.7251768647498679,RandomForest
1,36,164,31,18,0.842105263,141,1.0,0,False,False,0.07348396454030666,False,0.4,False,0.4886385230523973,RandomForest
1,52,86,4,16,0.673913043,451,0.833333333,0,True,False,0.1870040717401448,True,0.8,True,0.512855618929481,RandomForest
2,28,72,1,14,0.933333333,254,0.333333333,6,True,True,0.8398747144758962,True,0.9,True,0.6944476392408534,RandomForest
2,20,4,2,7,0.8,148,0.6,2,True,True,0.586667714268951,True,0.6,True,0.5604407707205872,RandomForest
2,21,49,2,9,0.85,106,0.5,6,True,True,0.7935211733958866,True,1.0,True,0.9692668357201212,RandomForest
3,4,1,5,3,2.0,24,0.0,0,False,False,0.14968387017435295,False,0.2,False,0.3406567837721237,RandomForest
2,59,20,2,4,0.8214285709999999,267,1.0,1,False,True,0.6312933131537103,False,0.2,True,0.5012251682828417,RandomForest
1,24,6,2,11,0.787878788,156,0.0,0,True,False,0.4804258164257289,False,0.2,True,0.5537673766314472,AdaBoost
2,37,0,7,6,0.35714285700000004,278,1.0,1,True,True,0.5393755980853431,False,0.1,False,0.3413931573171083,Voting
1,30,88,1,14,0.683333333,250,0.0,0,True,False,0.16671808379717404,False,0.1,False,0.1740124800064707,RandomForest
2,51,89,3,22,0.721088435,417,0.857142857,2,True,True,0.8075477777644321,False,0.5,True,0.5507092966567756,RandomForest
2,40,258,4,23,0.7583333329999999,390,0.8,6,True,True,0.9098345976490436,True,1.0,True,0.9467843994740476,RandomForest
2,85,611,1,60,0.953972257,1390,0.5,6,True,True,0.9822261930480553,True,1.0,True,0.6502016048632043,RandomForest
2,32,79,4,13,0.7857142859999999,251,0.666666667,6,True,True,0.8353133135736023,True,1.0,True,0.9342270107489048,RandomForest
2,37,0,1,18,0.684210526,321,0.833333333,6,True,True,0.8783084361689287,True,0.9,True,0.7869462247404155,RandomForest
1,0,0,0,0,2.0,4,0.0,0,False,False,0.04171670107186907,False,0.0,False,0.13457464321509086,RandomForest
2,20,0,2,10,0.0,53,1.0,2,True,False,0.2131156234319671,False,0.1,False,0.1857617984982095,RandomForest
2,22,54,2,10,0.818181818,117,0.5,6,True,True,0.8021584951424243,True,1.0,True,0.9638603268224462,RandomForest
1,244,0,6,79,0.9259510870000001,1441,0.4375,0,True,True,0.6609528112574928,True,0.7,True,0.8080586986998409,RandomForest
1,1,0,6,1,2.0,1,0.0,0,False,False,0.04043350334464756,False,0.0,False,0.11481985175652992,RandomForest
3,126,130,3,10,1.047117794,1170,0.019047619,7,True,True,0.9952258765094264,True,0.9,True,0.7422404935979657,RandomForest
1,183,89,4,45,0.878216123,1831,0.727272727,0,True,True,0.9691414011752064,True,1.0,True,0.8540873004417472,RandomForest
2,52,479,2,35,0.8986486490000001,536,0.9375,6,True,True,0.9312965942259286,True,1.0,True,0.7504028989506695,RandomForest
2,42,209,3,24,0.846153846,372,0.9,6,True,True,0.9064716489900188,True,1.0,True,0.9766588342025446,RandomForest
2,19,0,2,6,0.8214285709999999,324,1.0,2,False,True,0.5417282977428536,False,0.0,True,0.510660917281735,RandomForest
1,4,6,4,4,2.0,4,0.0,0,False,False,0.045052244744192636,False,0.0,False,0.17400500724805407,RandomForest
2,22,46,4,10,0.818181818,127,0.5,6,True,True,0.7996965214806296,True,1.0,True,0.8221448310891599,RandomForest
2,11,6,4,4,2.0,61,0.0,0,True,False,0.0960335775633247,False,0.2,False,0.3403386321785123,RandomForest
2,61,312,1,42,0.860465116,933,0.944444444,6,True,True,0.9587644270060464,True,0.9,True,0.612435169060348,RandomForest
1,13,0,2,4,0.5,107,1.0,0,False,False,0.07239009012339763,False,0.4,False,0.3288061914007654,RandomForest
2,22,54,2,10,0.818181818,117,0.5,6,True,True,0.8021584951424243,True,1.0,True,0.9638603268224462,RandomForest
2,38,21,2,18,0.685185185,284,0.833333333,2,True,True,0.6948339414082754,False,0.2,False,0.4406476349713707,Voting
2,25,43,2,9,0.8,182,0.0,6,True,True,0.782453655557174,True,0.9,True,0.8556810115797104,RandomForest
1,23,105,155,12,2.0,84,0.0,0,True,False,0.01245137404187728,False,0.3,False,0.4541300708739557,RandomForest
2,27,46,1,11,0.7777777779999999,201,0.333333333,6,True,True,0.8241660664464681,True,0.9,True,0.8343784695341465,RandomForest
1,24,53,1,6,1.033333333,241,1.0,0,False,False,0.39726676543161976,True,0.7,False,0.4995419043636748,RandomForest
2,22,46,2,10,0.818181818,128,0.5,6,True,True,0.8025826706629987,True,1.0,True,0.9639937596460256,RandomForest
1,13,42,15,12,0.818181818,62,0.0,0,False,False,0.11597111425923523,False,0.2,False,0.2789519366747509,RandomForest
1,44,0,5,20,0.976666667,153,0.133333333,0,True,False,0.20470274730537155,False,0.3,True,0.5001692273899069,AdaBoost
1,4,6,6,4,2.0,4,0.0,0,False,False,0.047435005864460096,False,0.0,False,0.11304768030727633,RandomForest
1,25,7,2,4,0.75,230,1.0,0,True,False,0.0575554456482667,False,0.4,False,0.4382635568515005,RandomForest
3,2,0,3,1,2.0,13,0.0,0,False,False,0.14748374393832778,False,0.0,False,0.1435892584254538,RandomForest
1,18,0,1,4,0.222222222,129,1.0,1,False,False,0.0812146536169366,False,0.3,False,0.2333071842748233,RandomForest
2,24,46,1,10,0.818181818,141,0.5,6,True,True,0.7846314055462317,True,1.0,True,0.9550116129108084,RandomForest
