wmc,rfc,lcom,ca,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
3,13,3,0,1,False,False,0.056636199865043375,False,0.0,False,2.2204460492503185e-16,Voting
4,15,0,24,2,False,False,0.03975308895271524,False,0.1,False,0.10000000000000002,Voting
7,25,21,1,1,True,False,0.1380682341375463,False,0.0,False,0.2,Voting
5,29,4,1,1,False,False,0.068435436750397,False,0.0,False,2.2204460492503185e-16,Voting
9,73,12,4,17,True,True,0.6036048810154956,True,0.8,True,0.6493488003205541,Voting
6,43,11,2,1,False,False,0.10584097445947306,False,0.1,False,0.29999999999999993,Voting
4,25,6,1,1,False,False,0.06181563579573238,False,0.0,False,0.10000000000000002,Voting
4,26,0,1,1,False,False,0.044036937893000776,False,0.0,False,2.2204460492503185e-16,Voting
16,93,72,2,1,True,True,0.6642635947070928,False,0.4,True,0.7,Voting
2,3,1,1,2,False,False,0.05654930485728454,False,0.0,False,2.2204460492503185e-16,Voting
3,23,0,1,1,False,False,0.037322512432429934,False,0.0,False,2.2204460492503185e-16,Voting
3,21,3,1,1,False,False,0.053202067442401565,False,0.0,False,2.2204460492503185e-16,Voting
5,24,10,2,1,False,False,0.08597167360820808,False,0.0,False,2.2204460492503185e-16,Voting
11,18,53,16,2,False,True,0.6849835019871707,True,0.8,True,0.8,Voting
4,20,4,16,2,False,False,0.05843680549497015,False,0.0,False,2.2204460492503185e-16,Voting
9,30,36,3,1,False,True,0.7844922125510627,False,0.5,True,0.9999999999999998,RandomForest
3,12,0,1,1,False,False,0.04667682786862395,False,0.0,False,2.2204460492503185e-16,Voting
5,38,0,2,7,False,True,0.5910475989694829,False,0.3,False,2.2204460492503185e-16,Voting
14,44,29,5,3,True,True,0.9044673823201236,True,1.0,True,0.75,Voting
2,10,1,1,1,False,False,0.03926885350419879,False,0.0,False,2.2204460492503185e-16,Voting
5,69,0,1,2,False,False,0.4054252668682798,False,0.0,False,0.10000000000000002,Voting
32,44,264,9,1,True,True,0.9999999999954025,True,0.8,True,0.9999999950329462,Voting
14,29,21,5,2,False,True,0.8202369211752393,True,0.9,True,0.6000000000000001,Voting
3,23,0,1,2,False,False,0.0572468405282591,False,0.0,False,1.3250176703571454e-07,Voting
3,23,0,1,1,False,False,0.03981610398905429,False,0.0,False,2.2204460492503185e-16,Voting
10,15,39,7,1,True,False,0.3343834401824793,False,0.2,False,0.10000000000000002,Voting
3,29,0,1,1,False,False,0.048666911024950715,False,0.0,False,2.2204460492503185e-16,Voting
3,11,3,2,1,False,False,0.054532037618086136,False,0.0,False,2.2204460492503185e-16,Voting
6,11,15,6,5,True,False,0.1366997476399449,False,0.1,False,0.2,Voting
6,7,3,1,1,False,False,0.05880926793308916,False,0.1,False,2.2204460492503185e-16,Voting
6,22,15,2,1,False,False,0.4502943674228936,False,0.4,True,0.8999999999999999,Voting
2,3,1,1,1,False,False,0.04572159683632352,False,0.0,False,2.2204460492503185e-16,Voting
12,53,12,7,3,True,True,0.6054317009578051,True,0.8,True,0.8,Voting
2,5,1,0,1,False,False,0.051713481272429744,False,0.0,False,2.2204460492503185e-16,Voting
7,20,9,5,2,False,False,0.0908505192601744,False,0.4,False,0.2,Voting
3,15,1,2,1,False,False,0.046669686606315014,False,0.0,False,4.967053706610929e-09,Voting
1,2,0,5,0,False,False,0.02565045807306605,False,0.1,False,0.29999999999999993,Voting
11,20,29,2,1,False,False,0.3652382535757031,False,0.5,False,0.5,Voting
14,118,77,5,4,True,True,0.9991996413812392,True,1.0,True,0.9999999999999998,Voting
6,52,7,2,2,False,False,0.11777119057358065,False,0.2,False,0.2,Voting
9,12,30,2,1,False,True,0.5525227651450652,True,0.9,False,0.5,AdaBoost
5,19,10,1,1,False,False,0.09600745317620857,False,0.1,False,2.2204460492503185e-16,Voting
4,28,6,1,1,False,False,0.07085994860125643,False,0.0,False,2.2204460492503185e-16,Voting
2,7,1,1,1,False,False,0.05007212591443153,False,0.0,False,2.2204460492503185e-16,Voting
11,37,7,1,7,False,True,0.6386574209947559,False,0.1,False,0.4000000000000001,Voting
