wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
15,18,52,3,15,271,4,0,16.53333333,13,True,True,0.6435643600982491,False,0.1,False,0.3404000411509391,Voting
3,2,8,1,1,60,0,0,15.0,0,False,False,0.07665038260587276,False,0.3,False,0.3380383146518601,Voting
15,23,33,18,5,229,0,0,14.06666667,4,True,False,0.15817499217924558,False,0.0,False,0.20109087996478395,Voting
2,6,5,2,4,14,0,0,6.0,1,False,False,0.06482346888157549,False,0.0,False,0.10908377585314716,Voting
2,11,2,8,3,2,0,0,0.0,1,True,False,0.07266136567662496,False,0.0,False,0.045316552721861934,Voting
4,8,29,0,8,141,0,0,34.0,6,False,False,0.13500192488184495,False,0.1,False,0.4486407725084184,Voting
4,7,19,1,7,78,1,1,18.25,5,True,True,0.5090656888368739,True,0.8,True,0.5672890748052224,Voting
51,4,71,1,3,481,0,0,8.274509804,3,False,True,0.6753325993688236,False,0.5,True,0.5096672768826829,RandomForest
14,14,46,5,9,544,0,0,37.28571429,8,False,True,0.8784715981082409,True,0.9,True,0.7082526532026979,Voting
4,4,31,4,0,179,0,0,42.75,4,False,True,0.5327904367980403,False,0.4,False,0.4688245148079611,Voting
2,16,30,2,14,373,0,0,185.5,25,False,True,0.6674400725413485,False,0.5,True,0.5822221352103659,RandomForest
17,23,77,4,19,673,6,0,37.76470588,30,False,True,0.9994535630995192,True,0.8,True,0.93012499272466,Voting
3,10,25,0,10,139,0,0,45.33333333,10,False,False,0.09184043203885682,False,0.1,False,0.2266103533495978,Voting
10,33,10,30,5,10,0,0,0.0,1,False,False,0.4123059819583767,False,0.4,False,0.3933833664108131,Voting
20,31,107,3,29,844,1,0,40.6,39,True,True,0.6632628278255913,True,0.9,True,0.9673805987548516,Voting
15,12,73,0,12,609,0,3,39.4,9,False,True,0.9953386430223204,True,0.9,True,0.5743619079508154,Voting
3,8,24,0,8,114,0,0,37.0,7,False,False,0.1020880297233137,False,0.1,False,0.2384048059300293,Voting
17,14,58,2,12,444,2,0,24.64705882,12,True,True,0.9651552917122622,True,0.9,True,0.6001717104564904,Voting
3,11,25,0,11,156,0,0,51.0,12,False,False,0.4180474155034295,False,0.0,False,0.14974409427981564,Voting
3,7,15,0,7,46,0,0,14.33333333,3,False,False,0.07875671330156239,False,0.0,False,0.06419543703472938,Voting
2,5,30,3,3,183,0,5,90.5,9,True,True,0.9389071129271096,True,1.0,True,0.6994827558809881,Voting
5,20,51,4,16,319,1,3,62.6,23,True,True,0.6438071019245637,True,0.6,True,0.7770789731356705,Voting
12,10,12,7,3,12,0,0,0.0,1,False,False,0.026523591639555057,False,0.0,False,0.11900466970641713,Voting
10,14,35,7,7,176,0,0,16.5,3,True,False,0.4954289156373452,False,0.3,False,0.4370662693688797,Voting
8,21,64,1,21,570,1,2,69.75,4,False,True,0.99422753250358,True,1.0,True,0.9120050872364004,Voting
3,4,3,2,2,3,0,0,0.0,1,False,False,0.05604880726809791,False,0.0,False,0.054081212789392964,Voting
9,38,102,1,37,620,0,0,67.77777778,6,True,True,0.9928656059666584,True,0.8,True,0.775348799795816,Voting
11,18,71,3,16,542,1,3,47.63636364,16,True,True,0.9944113224335056,True,0.7,False,0.43744643903190417,Voting
3,5,8,0,5,21,0,0,5.666666667,1,False,False,0.06863735225897273,False,0.0,False,0.12943232244606045,Voting
12,12,37,5,7,319,0,0,24.75,7,True,True,0.563968303209777,True,0.7,True,0.5498172362288967,Voting
26,17,31,13,4,193,1,0,5.961538462,4,False,True,0.5282851117719961,False,0.5,False,0.4988166789474473,Voting
4,7,16,1,6,76,0,0,17.75,5,True,False,0.0896776018616588,False,0.4,True,0.6096385499011164,AdaBoost
3,13,28,0,13,142,0,0,46.33333333,9,False,False,0.16177265420952636,False,0.0,False,0.35149215179461113,Voting
