wmc,lcom,ce,mfa,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
14,43,11,0.5,0.276923077,True,False,0.4824970891388933,False,0.5,True,0.5497820978990914,AdaBoost
3,3,4,0.9722222220000001,0.533333333,False,False,0.07029601272344724,False,0.0,False,0.04880126858118858,Voting
25,194,5,0.0,0.261904762,False,True,0.8760352277832646,False,0.4,False,0.438373944787778,Voting
18,149,10,0.6,0.33823529399999996,False,True,0.5443899547128939,False,0.2,False,0.17298562944518373,Voting
16,106,2,0.605263158,0.5,False,False,0.17205977582172868,False,0.2,False,0.3004961863839653,Voting
11,7,6,0.72972973,0.333333333,True,True,0.5206997838400286,False,0.3,False,0.3765247536243181,Voting
8,8,12,0.833333333,0.265625,False,False,0.37590190446708455,False,0.2,False,0.4457369385783803,Voting
3,3,3,0.967741935,0.533333333,False,False,0.059497966236618766,False,0.0,False,0.06148723452407823,Voting
4,0,3,0.0,0.583333333,False,False,0.4819995799697507,True,0.6,True,0.5499789323010659,Voting
3,3,2,0.7142857140000001,0.666666667,False,False,0.052377963615170525,False,0.0,False,0.027908099826030618,Voting
8,0,15,0.833333333,0.28125,True,True,0.8913941869453458,False,0.5,True,0.5440780772702778,Voting
12,66,15,0.0,0.295454545,False,True,0.9684435985418016,False,0.5,False,0.4886279430356319,Voting
13,58,4,0.6333333329999999,0.46153846200000004,False,False,0.13190620813582485,False,0.4,False,0.3750758784467464,Voting
6,15,0,0.8125,0.5,False,False,0.047447133306472766,False,0.1,False,0.10250668017929564,Voting
4,0,3,0.571428571,0.45,True,False,0.4439077625105988,True,0.7,True,0.7767604331106467,Voting
37,0,13,0.0,0.177777778,False,True,0.9884694935763602,True,1.0,True,0.8907112128976811,Voting
9,0,11,0.0,0.37777777799999995,True,True,0.7410418768486808,True,0.9,True,0.6570553908693783,Voting
1,0,0,0.0,1.0,False,False,0.044880205390399774,False,0.0,False,0.09074705506423733,Voting
5,10,9,0.9090909090000001,0.4,True,True,0.5270020595893811,True,1.0,True,0.8533328536873764,Voting
6,15,9,0.882352941,0.333333333,False,False,0.21529564352874309,False,0.4,False,0.09964031264498507,Voting
153,8092,61,0.0,0.145559211,True,True,0.6666682071683532,True,1.0,True,0.9190936435269621,Voting
12,42,2,0.0,0.36111111100000004,True,False,0.1998966748509373,True,0.9,False,0.4261360356039097,RandomForest
9,8,4,0.75,0.333333333,False,False,0.4690536374437535,False,0.4,False,0.3817742436214674,Voting
5,10,9,0.692307692,0.44,True,True,0.5238493120492749,True,0.8,True,0.7879321546515952,Voting
4,0,1,0.9285714290000001,0.666666667,False,False,0.04602853987887407,False,0.0,False,0.03661965380453385,Voting
4,6,5,0.9375,0.39285714299999996,True,False,0.1233165961135532,False,0.3,True,0.5194420827733325,AdaBoost
89,492,4,0.0,0.33901515200000004,True,False,0.4615516553111572,False,0.2,False,0.39383317279492336,Voting
5,0,4,0.0,0.433333333,True,True,0.5125858996843274,False,0.4,True,0.5993558423709775,Voting
3,3,6,0.9722222220000001,0.533333333,False,False,0.10832053672386308,False,0.0,False,0.04905426418966076,Voting
7,0,18,0.857142857,0.387755102,True,True,0.8638044788174196,False,0.4,True,0.5779221055482375,Voting
