cbo,rfc,lcom,loc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,11,1,68,False,False,0.08310244866699902,False,0.0,False,2.2204460492503185e-16,Voting
8,28,2,274,True,True,0.5827544813551621,True,0.6,True,0.8999999999999999,Voting
27,118,390,992,True,True,1.0,True,0.6,True,0.8999999999999999,Voting
0,3,1,21,False,False,0.112881297259411,False,0.0,False,2.2204460492503185e-16,Voting
9,57,28,245,True,True,0.9997709558382594,True,1.0,True,0.9999999999999998,Voting
5,55,26,387,True,True,0.9999951830581294,True,0.8,True,0.9999999999999998,Voting
6,51,13,265,True,True,0.6967885160732393,True,0.6,False,0.4000000000000001,Voting
7,70,40,412,True,True,0.6666666636366213,True,0.7,True,0.7,Voting
7,35,21,148,True,True,0.9998762986734296,False,0.5,False,0.5,Voting
3,23,6,88,False,False,0.10034040663582232,False,0.0,False,0.2,Voting
1,4,3,14,False,False,0.2498932121095939,False,0.0,False,2.2204460492503185e-16,Voting
7,46,18,227,True,True,0.9838413954379268,True,0.9,True,0.9999999999999998,Voting
8,41,0,355,True,True,0.7643630134344915,True,0.9,True,0.6000000000000001,Voting
2,15,0,103,False,False,0.03986017879298272,False,0.0,False,2.2204460492503185e-16,Voting
4,40,21,251,True,True,0.9998980302666368,True,0.9,True,0.8999999999999999,Voting
18,57,0,639,True,True,0.9999997348626444,True,0.9,True,0.8,Voting
4,52,18,764,True,True,0.6666666666664011,True,0.7,True,0.8,Voting
6,65,8,432,False,True,0.9578100378669993,True,1.0,True,0.9999999999999998,Voting
