cbo,rfc,lcom,loc,cam,amc,max_cc,bug
10,18,3,106,0.444444444,32.66666667,1,False
4,13,0,76,0.5,13.4,1,False
1,3,0,7,1.0,6.0,0,False
13,20,12,101,0.40625,11.0,1,False
5,26,16,185,0.38888888899999996,19.0,2,True
7,4,1,16,0.5555555560000001,4.0,1,False
4,40,130,345,0.284210526,15.9,3,True
7,28,20,183,0.3,12.53846154,7,False
5,19,8,119,0.518518519,11.77777778,3,False
9,25,0,255,0.342857143,34.85714286,9,False
5,17,26,71,0.333333333,6.555555556,3,False
19,10,3,38,0.583333333,11.66666667,1,False
10,1,0,1,1.0,0.0,1,False
3,12,20,54,0.375,4.555555556,1,False
7,40,129,252,0.3815789470000001,11.52631579,6,False
13,26,0,110,0.26,9.9,3,False
2,5,0,34,0.5,10.0,1,False
7,79,136,835,0.19375,39.8,10,False
8,6,15,6,0.444444444,0.0,1,False
5,11,1,41,0.75,12.33333333,3,True
7,14,6,70,0.8,12.6,4,False
1,1,0,1,1.0,0.0,1,False
7,26,0,181,0.409090909,15.0,1,False
5,15,3,51,0.666666667,16.0,2,False
5,7,1,29,0.666666667,8.333333332999999,1,False
15,65,76,483,0.311111111,28.25,9,True
12,5,0,18,0.4375,3.25,1,False
11,65,75,443,0.295238095,28.06666667,5,False
3,24,17,309,0.545454545,26.45454545,11,False
1,3,1,7,0.75,2.5,1,False
9,41,0,204,0.225,12.33333333,2,False
11,29,85,108,0.321428571,6.571428571,4,False
8,101,157,1286,0.18376068399999998,45.62962963,4,True
8,23,4,249,0.8,48.2,1,False
2,3,3,4,0.666666667,0.0,1,False
5,19,6,57,0.625,13.25,2,False
2,11,3,53,0.666666667,7.5,1,False
20,106,1313,1133,0.195454545,19.12727273,10,False
4,19,3,136,0.666666667,44.33333333,2,False
4,22,0,169,0.625,19.875,7,False
1,23,39,136,0.34848484799999996,10.81818182,1,False
10,29,43,91,0.2,7.9,3,False
1,2,0,4,1.0,3.0,0,False
12,22,3,72,1.0,22.66666667,1,False
32,36,36,281,0.25,29.55555556,11,False
24,8,3,43,0.7142857140000001,4.714285714,1,False
4,19,30,130,0.666666667,13.33333333,4,False
61,144,1603,2303,0.213709677,35.01587302,35,True
20,13,7,56,0.433333333,8.0,1,False
6,2,1,2,0.666666667,0.0,1,False
5,47,159,365,0.3619047620000001,14.81818182,9,False
9,34,118,137,0.270588235,6.470588235,2,True
15,99,18,804,0.27777777800000003,65.08333333,18,True
3,30,27,245,0.283333333,22.8,2,False
9,20,1,128,0.625,63.0,9,True
25,120,451,920,0.146825397,19.86046512,15,True
37,44,183,271,0.198863636,11.22727273,3,False
15,67,295,586,0.17320261399999998,15.91176471,5,True
3,4,1,19,1.0,8.0,1,False
3,6,3,16,0.333333333,4.333333333,1,False
3,16,2,76,0.5,17.5,3,False
8,26,0,76,0.287878788,5.818181817999999,1,False
7,20,4,187,0.5,45.0,9,True
51,169,1200,1842,0.15584415599999998,31.60714286,14,True
8,16,0,105,0.583333333,19.4,9,False
3,41,10,241,0.36,47.2,7,False
3,26,0,218,0.47619047600000003,29.57142857,5,False
6,35,130,207,0.352941176,10.76470588,3,True
6,33,0,157,0.533333333,37.5,2,False
6,26,0,141,0.46666666700000003,26.8,1,False
11,54,10,345,0.314814815,36.55555556,1,True
1,10,0,67,0.666666667,20.33333333,1,False
3,10,0,52,0.375,7.333333333,2,False
7,15,0,77,0.4375,18.0,5,False
2,6,0,19,0.625,3.5,1,False
4,32,34,145,0.481481481,14.88888889,1,False
11,31,0,329,0.25,39.25,19,False
14,83,47,566,0.244897959,36.2,4,False
3,1,0,1,1.0,0.0,1,False
8,67,90,878,0.29375,50.17647059,11,False
7,50,270,250,0.162037037,9.375,5,False
8,20,0,106,0.625,24.75,5,False
11,53,229,405,0.138047138,13.74074074,6,True
8,32,15,166,0.3,15.3,3,False
4,1,0,1,1.0,0.0,1,False
15,36,3,249,0.26666666699999997,23.5,7,False
12,41,19,240,0.290909091,20.27272727,4,False
3,22,44,156,0.261904762,11.41666667,4,False
14,58,0,303,0.226190476,24.0,3,True
3,8,1,33,1.0,15.5,1,False
10,77,41,725,0.25,46.8,2,True
4,38,0,258,0.444444444,35.28571429,1,False
6,4,6,4,0.5,0.0,1,False
5,8,4,42,0.583333333,9.0,2,False
9,55,162,361,0.19375,15.95238095,6,False
3,12,0,55,0.625,12.25,4,False
9,21,145,143,0.230263158,5.684210526,1,True
