dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug
3,0,7,0,1,4,0.36,1,2,7.4,0.6,False
1,0,3,4,1,3,0.5,0,0,3.0,0.5,False
4,0,26,144,2,13,0.19736842100000002,4,5,20.3,1.0,False
2,0,8,3,2,2,0.666666667,1,3,54.0,5.3333,True
1,0,25,22,22,6,0.25,0,0,20.875,0.75,True
1,0,6,3,5,3,1.0,0,0,0.0,1.0,False
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False
1,0,9,15,2,6,0.333333333,0,0,6.666666667,1.3333,True
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False
1,0,7,6,0,3,0.375,0,0,4.5,0.75,False
1,0,11,45,1,9,0.15,0,0,4.2,0.9,True
3,0,10,25,3,7,0.3,2,3,15.4,0.9,False
2,0,13,201,2,21,0.17676767699999998,1,1,10.13043478,0.8696,False
4,0,18,22,4,7,0.3125,0,0,16.5,0.75,False
3,0,3,6,0,8,0.4166666670000001,1,2,7.888888888999999,0.8889,True
1,2,8,3,2,2,0.533333333,0,0,31.0,1.6667,False
4,0,6,5,1,8,0.25,2,2,15.4,1.1,True
2,0,7,26,0,1,0.390625,1,1,50.75,3.625,False
1,0,17,6,11,4,0.45,0,0,12.25,2.0,False
1,0,3,1,3,2,0.666666667,0,0,7.5,1.0,False
1,0,6,61,2,14,0.297619048,0,0,4.428571429,0.9286,False
1,0,8,62,2,11,0.229166667,0,0,10.1875,1.3125,False
4,17,66,6,66,4,0.666666667,0,0,4.0,0.0,False
1,0,4,1,2,6,0.5,0,0,7.0,1.1667,False
1,0,3,3,1,3,0.666666667,0,0,41.33333333,4.6667,False
2,0,11,25,3,8,0.25,0,0,5.3636363639999995,0.7273,True
1,0,2,1,1,2,1.0,0,0,0.0,1.0,False
3,0,2,1,1,3,0.666666667,0,0,3.666666667,0.6667,True
2,0,6,3,2,3,0.5555555560000001,0,0,2.333333333,0.6667,True
1,0,6,10,3,4,0.45,0,0,11.0,1.6,False
1,0,17,528,11,33,0.387205387,0,0,0.0,1.0,True
1,0,5,3,2,3,0.7777777779999999,0,0,0.0,1.0,False
1,0,32,0,3,3,0.4166666670000001,0,0,27.42857143,0.7143,False
2,0,13,0,1,3,0.37142857100000004,1,1,35.25,0.875,True
