wmc,cbo,rfc,ce,npm,loc,moa,amc,bug
28,32,82,7,24,926,0,31.64285714,True
6,3,7,1,4,36,0,4.666666667,False
4,5,6,4,2,21,1,4.0,False
4,9,4,0,4,4,0,0.0,False
1,8,1,2,1,1,0,0.0,False
23,150,67,5,20,653,1,26.86956522,True
5,8,26,7,4,127,2,23.6,False
25,18,73,0,18,666,0,25.32,True
7,2,13,1,7,86,0,10.42857143,False
21,7,22,2,21,141,2,5.2380952380000005,False
2,2,4,1,2,11,0,4.5,False
8,10,21,5,7,130,0,15.25,False
32,16,81,0,27,504,0,14.34375,False
13,4,44,2,9,208,0,14.84615385,False
19,8,42,7,3,329,1,16.05263158,True
2,6,21,3,1,144,0,71.0,False
1,4,1,2,1,1,0,0.0,False
25,10,58,4,23,257,1,9.08,False
8,12,29,5,8,126,1,14.625,False
5,26,11,2,5,41,1,6.8,False
3,7,8,0,3,34,0,10.33333333,False
4,6,10,5,1,27,1,5.5,False
5,6,6,1,5,32,1,5.0,False
2,4,3,1,1,8,1,2.5,False
1,4,1,1,1,1,0,0.0,False
10,27,19,2,10,138,1,12.3,False
12,3,25,0,12,67,0,4.583333333,False
5,14,21,3,5,75,0,13.8,False
54,17,137,0,16,1589,1,27.796296299999998,False
5,4,9,3,5,61,0,10.2,False
37,26,120,26,24,1123,0,29.10810811,True
10,9,15,6,8,67,1,5.3,False
8,6,32,6,4,221,0,26.375,False
2,4,5,2,1,19,1,8.0,False
20,8,29,3,20,188,1,8.0,False
3,3,4,1,2,16,0,4.0,False
3,9,23,8,2,125,2,39.66666667,False
8,32,104,29,3,955,2,118.0,True
8,16,52,0,5,336,1,40.625,False
7,5,20,4,5,110,0,14.0,False
3,16,38,0,1,159,0,52.0,False
5,6,24,0,5,88,0,16.2,False
9,20,71,20,5,476,0,51.88888889,False
16,27,123,23,2,1851,0,114.6875,False
4,5,22,2,3,100,0,24.0,False
23,10,74,9,14,608,0,25.08695652,False
7,7,34,6,2,288,1,39.85714286,False
10,10,38,0,9,207,0,19.3,False
3,4,19,3,3,57,0,17.66666667,False
1,5,1,2,1,1,0,0.0,False
11,4,25,1,7,215,0,18.0,False
4,2,6,1,3,23,1,4.5,False
11,2,15,0,11,95,0,7.272727272999999,False
18,23,83,5,15,638,0,34.33333333,False
11,7,27,0,10,85,0,6.6363636360000005,False
4,4,13,0,3,41,1,9.0,False
12,7,29,5,11,171,1,12.75,False
5,6,15,3,5,48,0,8.6,False
35,16,103,0,28,824,1,22.11428571,True
11,6,19,2,11,67,1,4.909090909,False
74,40,190,30,72,1443,8,18.17567568,True
9,19,39,13,5,178,1,18.55555556,True
13,28,37,6,6,172,1,12.0,False
5,3,13,2,5,48,0,8.4,False
4,11,17,3,2,77,1,18.0,False
9,83,9,3,9,9,0,0.0,False
7,3,22,0,7,68,0,8.714285713999999,False
15,9,40,7,12,286,1,17.86666667,False
27,33,78,13,24,394,5,13.37037037,False
31,97,31,16,31,33,0,0.0,False
9,17,28,8,7,127,1,12.88888889,False
37,19,107,0,30,659,0,16.40540541,False
2,3,16,1,1,98,0,48.0,False
15,13,64,0,14,411,0,26.0,True
2,30,65,29,2,412,3,203.5,False
8,6,22,1,6,145,0,16.375,False
5,6,14,4,4,60,2,10.2,False
7,10,63,8,5,1034,0,146.71428569999995,False
14,2,19,1,7,97,0,5.5,False
20,4,30,2,18,183,0,7.95,False
5,13,30,10,3,149,1,28.6,False
13,14,35,4,13,204,2,14.53846154,False
12,7,63,0,5,939,0,76.33333333,False
2,2,18,1,2,99,0,47.5,False
5,7,26,6,3,158,0,30.2,False
6,27,6,2,6,6,0,0.0,False
4,4,5,1,2,17,1,3.0,False
11,7,12,2,11,74,1,5.272727273,False
12,19,12,6,12,12,0,0.0,False
1,7,1,1,1,1,0,0.0,False
6,21,6,5,6,6,0,0.0,False
2,15,34,14,2,326,2,161.0,False
5,10,44,7,5,305,2,59.4,True
4,5,8,0,4,20,0,4.0,False
5,6,17,2,4,112,0,21.4,False
8,3,35,1,4,303,0,36.5,True
8,2,13,0,6,69,0,7.375,False
5,2,22,1,5,97,0,18.2,False
5,3,6,3,5,24,2,3.4,False
3,2,6,0,1,21,0,5.666666667,False
4,12,5,1,4,24,1,4.5,False
4,3,11,2,4,48,0,11.0,False
3,3,7,0,3,17,0,4.666666667,False
8,8,8,5,8,8,0,0.0,False
6,1,7,0,6,34,0,4.333333333,False
3,8,20,6,3,155,0,50.0,False
3,5,9,4,3,40,2,11.33333333,False
1,4,2,3,1,9,0,7.0,False
47,15,108,0,45,896,0,17.63829787,False
22,16,59,15,22,354,2,14.86363636,False
10,17,62,0,5,491,1,47.1,True
2,3,3,2,2,14,1,5.0,False
5,7,8,3,4,34,0,5.6,False
2,6,5,3,2,12,0,5.0,False
11,4,21,0,11,68,0,5.0,False
59,31,148,31,57,895,1,14.15254237,False
25,10,49,0,25,304,0,10.72,False
