cbo,ca,npm,bug
4,1,4,True
7,6,1,True
6,0,2,True
2,1,1,True
6,0,8,True
9,6,0,True
8,1,13,True
3,1,2,True
3,0,6,True
0,0,2,True
4,0,14,True
10,8,2,True
1,0,4,True
3,0,2,True
8,0,5,True
9,0,2,True
5,4,3,True
3,2,9,True
62,52,12,True
4,1,2,True
4,1,2,False
6,2,4,True
4,3,1,True
4,1,3,True
2,2,2,True
2,1,7,True
10,4,13,True
3,1,4,True
0,0,2,True
2,1,5,True
5,2,1,True
0,0,0,True
6,0,3,True
2,1,1,True
6,3,9,True
0,0,1,False
3,3,7,True
1,1,2,False
17,16,26,True
3,1,2,False
4,4,4,True
1,1,2,True
1,1,11,True
8,8,1,True
9,3,2,True
1,0,2,True
3,2,1,True
3,0,2,True
20,16,8,True
27,18,19,True
24,24,4,True
6,5,4,True
3,1,2,True
2,2,22,True
6,0,2,False
2,0,2,True
4,0,2,True
3,0,8,True
25,25,4,True
10,1,4,True
1,0,2,True
4,1,1,False
35,35,10,True
20,17,6,True
4,2,4,True
12,8,0,True
8,2,4,True
5,0,3,True
19,16,12,True
6,5,3,True
5,0,6,True
9,5,8,True
9,1,1,True
3,1,2,True
27,22,15,True
2,0,7,True
3,3,13,True
9,1,15,True
3,2,4,True
65,58,48,True
15,15,16,True
2,0,1,True
3,1,5,True
7,0,15,True
5,2,4,True
1,0,2,True
0,0,2,False
8,7,1,True
6,1,8,True
5,1,10,True
2,0,2,True
13,6,3,True
3,1,4,True
2,2,3,True
3,0,2,True
3,2,1,True
16,4,2,True
8,2,6,True
6,4,11,True
5,2,3,True
36,34,7,True
5,1,1,False
24,6,11,True
1,1,3,True
4,1,1,True
5,2,14,False
12,10,10,True
4,3,1,True
10,6,7,True
5,4,8,True
17,2,22,True
10,0,20,True
3,1,3,True
2,1,0,True
35,19,9,True
2,0,2,True
2,0,4,True
5,4,7,True
5,1,11,True
4,2,1,False
11,1,6,True
6,5,8,True
3,0,2,True
3,0,2,True
5,0,2,True
2,1,3,True
4,2,4,True
1,1,5,True
11,7,6,True
16,12,13,True
1,1,5,True
7,0,2,True
2,0,2,True
0,0,8,True
1,1,3,True
3,2,4,True
3,3,1,True
4,3,3,True
2,1,8,True
1,0,2,True
2,2,1,True
5,0,6,True
2,2,4,True
19,15,15,True
9,1,7,True
8,8,1,True
17,13,14,True
5,3,2,True
6,0,17,True
4,4,1,True
1,1,3,True
12,2,10,True
17,16,16,True
3,1,4,True
3,0,7,False
1,1,2,True
5,4,2,True
11,1,12,True
4,1,1,False
5,1,1,True
2,2,2,True
5,0,2,True
3,1,1,False
2,2,0,True
8,8,1,True
3,0,2,True
3,1,3,True
14,12,5,True
43,43,9,True
3,0,2,False
12,7,4,True
4,2,4,True
8,1,6,True
0,0,3,True
9,1,5,True
4,1,6,True
7,0,2,True
9,3,14,True
4,2,1,True
6,0,11,True
55,40,22,True
2,1,1,True
21,11,11,True
4,0,2,True
2,0,2,True
12,1,10,True
32,29,12,True
7,6,2,True
5,1,1,True
8,6,3,True
0,0,2,True
10,9,1,True
8,3,16,True
14,10,3,True
3,0,2,True
5,0,2,True
3,0,2,False
5,0,11,True
1,1,3,True
10,0,2,True
6,0,6,True
7,1,11,True
7,0,2,True
5,1,4,False
2,1,4,True
