noc,cbo,rfc,lcom,ca,ce,npm,loc,dam,mfa,ic,cbm,max_cc,bug
0,19,18,0,8,15,4,84,0.0,0.5,0,0,3,True
0,13,41,7,1,12,9,286,0.5,0.72,2,6,6,True
0,4,38,0,0,4,9,287,1.0,0.0,0,0,5,False
0,3,7,6,2,2,1,26,0.0,0.98125,2,3,3,False
2,20,82,160,5,18,8,596,0.833333333,0.768421053,2,8,3,True
3,13,6,10,10,3,0,8,0.0,0.0,0,0,1,False
0,13,61,0,4,9,0,553,0.333333333,0.0,0,0,4,True
0,6,34,34,1,6,7,323,0.7777777779999999,0.444444444,1,2,3,True
0,8,36,58,1,7,13,191,1.0,0.0,0,0,1,False
0,30,8,28,28,2,8,8,0.0,0.0,0,0,1,False
0,3,7,0,2,1,3,125,0.14285714300000002,0.0,0,0,3,False
0,2,19,0,1,1,8,65,0.0,0.708333333,1,4,1,False
1,5,7,15,3,3,0,9,0.0,0.0,0,0,1,False
2,10,8,21,7,3,0,10,0.0,0.0,0,0,1,False
0,10,25,0,2,10,6,91,0.0,0.5,0,0,1,True
0,2,17,0,0,2,6,90,1.0,0.5,1,1,2,True
0,7,5,0,4,5,1,57,0.0,0.0,0,0,1,True
0,20,64,167,13,11,22,446,1.0,0.333333333,2,6,12,True
0,2,4,1,1,1,1,13,0.0,0.923076923,1,1,2,True
0,8,6,0,8,0,0,100,0.0,0.0,0,0,1,False
0,79,22,0,79,0,10,145,0.0,0.0,1,1,6,True
2,7,16,0,2,5,1,66,1.0,0.0,0,0,1,False
0,16,22,0,11,6,6,100,1.0,0.6315789470000001,2,2,4,True
2,4,21,13,2,2,3,185,0.75,0.583333333,1,2,1,True
0,36,2,0,36,0,1,5,0.0,1.0,0,0,0,False
0,9,33,34,0,9,5,453,1.0,0.885057471,1,5,3,False
0,16,6,6,15,3,3,15,0.0,0.0,0,0,1,False
0,4,17,5,1,4,5,109,1.0,0.0,0,0,2,True
2,11,6,10,8,4,2,8,0.0,0.0,0,0,1,False
3,57,36,176,52,5,19,193,0.5,0.0,0,0,1,True
2,10,47,108,3,8,15,817,0.333333333,0.24,0,0,2,True
5,10,6,4,9,1,5,19,1.0,0.0,0,0,1,True
0,4,14,4,1,3,2,74,0.0,0.7777777779999999,1,2,1,False
0,4,10,15,1,3,6,31,0.0,0.615384615,1,3,1,True
0,9,20,5,2,8,3,191,0.0,0.28571428600000004,0,0,8,False
0,5,6,3,1,4,3,18,0.0,0.5,0,0,1,False
0,14,2,0,11,3,0,11,0.0,1.0,0,0,0,False
1,13,46,0,2,12,7,357,1.0,0.0,0,0,1,True
0,30,39,0,28,3,17,432,0.833333333,0.0,0,0,5,False
0,3,12,66,3,0,12,12,0.0,0.0,0,0,1,True
0,5,12,0,4,1,0,95,0.0,0.0,0,0,1,False
0,8,20,0,2,6,0,389,1.0,0.833333333,1,1,5,True
0,31,57,203,25,6,18,565,0.222222222,0.0,0,0,3,True
0,19,1,0,18,1,1,1,0.0,0.0,0,0,1,False
0,9,51,14,3,6,5,414,0.75,0.0,0,0,4,False
0,12,12,1,1,11,6,173,1.0,0.9215686270000001,0,0,6,False
0,16,103,317,3,16,28,865,0.8888888890000001,0.688679245,1,10,3,True
0,2,23,26,0,2,6,155,0.0,0.9137931029999999,0,0,1,True
