cbo,rfc,lcom,npm,lcom3,bug
6,50,33,9,0.916666667,True
12,77,68,13,0.834090909,True
3,3,1,1,2.0,False
2,5,6,4,2.0,False
8,13,64,11,0.9090909090000001,True
5,37,28,8,0.975,True
4,3,3,3,2.0,False
6,15,10,4,2.0,True
2,7,0,3,0.0,False
5,15,1,1,2.0,False
6,25,3,1,2.0,True
2,11,28,8,2.0,True
0,2,0,1,2.0,False
5,43,33,9,0.8888888890000001,True
4,7,1,1,2.0,False
8,6,0,5,0.25,False
22,57,242,25,0.93452381,True
6,9,0,1,0.875,False
1,34,23,7,0.38888888899999996,False
10,57,146,17,0.907894737,True
1,34,1,5,0.333333333,False
4,26,0,4,0.666666667,False
1,7,15,5,2.0,False
27,150,685,26,0.8979591840000001,True
0,33,22,6,0.375,False
3,8,1,1,2.0,False
4,23,6,4,1.333333333,True
8,19,3,3,2.0,True
3,1,0,1,2.0,False
17,73,15,6,2.0,True
2,10,0,2,0.0,False
11,24,15,6,0.791666667,True
10,15,1,2,2.0,False
