dit,rfc,lcom,ca,npm,lcom3,loc,dam,cbm,bug
2,60,90,1,38,0.838141026,786,0.9375,6,True
1,36,164,31,18,0.842105263,141,1.0,0,False
1,52,86,4,16,0.673913043,451,0.833333333,0,True
2,28,72,1,14,0.933333333,254,0.333333333,6,True
2,20,4,2,7,0.8,148,0.6,2,True
2,21,49,2,9,0.85,106,0.5,6,True
3,4,1,5,3,2.0,24,0.0,0,False
2,59,20,2,4,0.8214285709999999,267,1.0,1,False
1,24,6,2,11,0.787878788,156,0.0,0,True
2,37,0,7,6,0.35714285700000004,278,1.0,1,True
1,30,88,1,14,0.683333333,250,0.0,0,True
2,51,89,3,22,0.721088435,417,0.857142857,2,True
2,40,258,4,23,0.7583333329999999,390,0.8,6,True
2,85,611,1,60,0.953972257,1390,0.5,6,True
2,32,79,4,13,0.7857142859999999,251,0.666666667,6,True
2,37,0,1,18,0.684210526,321,0.833333333,6,True
1,0,0,0,0,2.0,4,0.0,0,False
2,20,0,2,10,0.0,53,1.0,2,True
2,22,54,2,10,0.818181818,117,0.5,6,True
1,244,0,6,79,0.9259510870000001,1441,0.4375,0,True
1,1,0,6,1,2.0,1,0.0,0,False
3,126,130,3,10,1.047117794,1170,0.019047619,7,True
1,183,89,4,45,0.878216123,1831,0.727272727,0,True
2,52,479,2,35,0.8986486490000001,536,0.9375,6,True
2,42,209,3,24,0.846153846,372,0.9,6,True
2,19,0,2,6,0.8214285709999999,324,1.0,2,False
1,4,6,4,4,2.0,4,0.0,0,False
2,22,46,4,10,0.818181818,127,0.5,6,True
2,11,6,4,4,2.0,61,0.0,0,True
2,61,312,1,42,0.860465116,933,0.944444444,6,True
1,13,0,2,4,0.5,107,1.0,0,False
2,22,54,2,10,0.818181818,117,0.5,6,True
2,38,21,2,18,0.685185185,284,0.833333333,2,True
2,25,43,2,9,0.8,182,0.0,6,True
1,23,105,155,12,2.0,84,0.0,0,True
2,27,46,1,11,0.7777777779999999,201,0.333333333,6,True
1,24,53,1,6,1.033333333,241,1.0,0,False
2,22,46,2,10,0.818181818,128,0.5,6,True
1,13,42,15,12,0.818181818,62,0.0,0,False
1,44,0,5,20,0.976666667,153,0.133333333,0,True
1,4,6,6,4,2.0,4,0.0,0,False
1,25,7,2,4,0.75,230,1.0,0,True
3,2,0,3,1,2.0,13,0.0,0,False
1,18,0,1,4,0.222222222,129,1.0,1,False
2,24,46,1,10,0.818181818,141,0.5,6,True
2,13,36,2,9,1.125,62,0.0,0,True
2,23,6,3,12,0.672727273,154,0.0,1,True
2,20,0,0,4,0.5,138,1.0,1,False
2,33,43,1,15,0.833333333,258,0.666666667,5,False
1,27,15,1,5,2.0,264,0.0,0,False
1,30,0,4,4,0.333333333,212,0.0,0,False
3,8,10,1,4,1.25,26,0.0,2,True
1,30,88,1,14,0.683333333,250,0.0,0,False
3,181,0,0,85,0.5,2890,0.5,20,True
1,12,3,11,10,0.333333333,69,1.0,0,False
2,28,111,2,16,0.776470588,231,0.8,6,True
1,17,78,2,16,0.533333333,172,1.0,0,False
2,26,57,3,12,0.7692307690000001,195,0.666666667,6,True
2,41,258,7,23,0.7583333329999999,389,0.8,6,True
1,26,4,3,2,0.833333333,193,1.0,0,True
2,41,4,1,8,0.875,302,0.5,5,True
1,4,0,1,2,0.0,14,0.0,0,False
2,16,55,2,11,1.1,96,0.333333333,0,True
1,28,15,5,3,2.0,191,0.0,0,True
2,34,87,3,12,0.8714285709999999,230,0.8,5,True
2,41,66,4,15,0.85,319,0.4,6,True
2,8,21,1,7,1.166666667,32,0.5,2,True
2,44,106,4,15,0.760416667,483,0.5,6,True
2,19,5,2,8,0.740740741,223,1.0,2,False
1,20,1,1,2,2.0,175,0.0,0,False
2,22,46,2,10,0.818181818,128,0.0,6,True
1,0,0,2,0,2.0,10,0.0,0,False
3,17,0,2,6,0.8888888890000001,120,0.333333333,5,True
1,43,28,0,6,0.6875,416,1.0,0,True
1,22,0,1,5,0.166666667,88,1.0,0,True
2,14,9,5,5,0.5,48,1.0,0,False
1,78,0,2,38,0.923684211,234,0.0,0,False
1,36,1,2,2,2.0,137,0.0,0,False
2,18,54,4,8,0.924242424,222,1.0,2,False
2,55,281,0,31,0.940909091,567,0.545454545,5,False
1,0,0,1,0,2.0,5,0.0,0,False
2,22,66,2,11,0.805555556,140,0.666666667,6,True
2,26,69,4,12,0.7435897440000001,188,0.666666667,6,True
2,32,74,5,13,0.75,224,0.75,6,True
1,22,0,1,0,0.333333333,163,1.0,0,False
1,21,9,2,11,0.25,92,1.0,0,False
2,32,114,1,18,0.7894736840000001,357,0.833333333,6,True
2,42,0,1,22,0.818181818,423,0.636363636,6,True
2,35,169,5,20,0.946778711,316,0.352941176,6,True
1,6,0,1,5,0.583333333,43,1.0,0,False
1,17,0,1,7,0.5,234,1.0,0,True
3,9,10,1,5,1.25,28,0.0,3,True
1,6,6,4,1,2.0,15,0.0,0,False
3,50,155,6,28,0.975369458,622,0.23809523800000001,6,True
1,1,0,9,1,2.0,1,0.0,0,False
2,18,45,3,8,1.111111111,79,0.0,6,True
2,57,196,1,34,0.90931677,744,0.565217391,6,True
2,25,77,3,11,0.8615384620000001,212,0.8,5,True
1,37,66,15,10,1.0909090909999999,494,1.0,0,True
2,22,54,2,10,0.981818182,120,0.2,6,True
2,17,36,1,7,1.125,72,0.0,6,True
2,27,6,5,9,0.875,180,0.333333333,5,False
2,37,219,2,21,0.8506493509999999,345,0.857142857,5,True
2,26,69,4,12,0.7435897440000001,187,0.666666667,6,True
2,53,100,2,28,0.75,556,0.8888888890000001,2,True
1,4,6,1,4,2.0,4,0.0,0,True
1,0,0,0,0,2.0,7,0.0,0,False
2,48,38,3,17,0.822916667,419,0.666666667,5,False
2,13,36,2,9,1.125,58,0.0,0,True
1,20,0,10,9,0.25,294,1.0,1,False
1,22,3,1,6,0.75,111,1.0,0,False
2,47,175,1,20,0.6309523810000001,475,0.0,5,True
2,39,106,2,25,0.7537878790000001,487,0.9090909090000001,0,True
1,42,325,10,22,1.04,693,0.0,0,False
1,12,8,0,7,0.8214285709999999,129,0.083333333,0,True
3,6,0,3,5,2.0,37,0.0,0,False
2,48,6,1,2,0.916666667,439,0.666666667,1,True
1,56,15,50,6,1.2,923,1.0,0,True
2,51,228,6,20,0.770833333,419,0.833333333,6,True
1,5,3,3,2,2.0,43,0.0,0,False
2,18,39,2,9,0.851851852,78,0.333333333,2,True
1,10,0,5,3,0.25,78,1.0,0,True
1,21,9,2,11,0.25,92,1.0,0,False
2,33,32,7,11,1.0340909090000001,320,0.125,5,True
1,0,0,0,0,2.0,4,0.0,0,False
2,22,46,2,10,0.818181818,127,0.5,6,True
1,8,1,0,2,2.0,27,0.0,0,False
2,11,4,1,2,0.833333333,108,1.0,1,False
2,13,36,2,9,1.125,64,0.0,0,True
1,46,123,1,4,0.659090909,668,1.0,0,True
3,7,4,4,5,0.5,29,1.0,0,True
4,7,4,5,5,0.5,29,1.0,0,True
2,40,142,3,18,0.798245614,342,0.833333333,6,True
2,23,46,2,10,0.818181818,122,0.5,6,True
1,4,3,1,3,2.0,7,0.0,0,False
2,39,49,3,13,0.75,369,0.5,6,True
2,25,87,2,13,0.8035714290000001,143,0.75,6,True
2,21,43,2,9,0.85,117,0.5,6,True
2,31,138,2,18,0.8270676690000001,306,0.857142857,6,True
2,36,11,1,2,0.8,173,1.0,1,False
1,15,4,6,2,0.333333333,55,1.0,0,False
1,45,36,1,5,2.0,3581,0.0,0,False
2,117,3214,5,93,0.9811945590000001,1478,0.483146067,6,True
2,13,36,2,9,1.125,60,0.333333333,0,True
2,13,36,2,9,1.125,62,0.0,0,True
2,37,88,1,18,0.763157895,348,0.833333333,6,True
5,8,6,1,4,2.0,20,0.0,0,True
2,16,10,4,5,2.0,50,0.0,0,False
2,4,0,8,2,1.125,22,0.0,0,True
2,33,65,2,12,0.7435897440000001,229,0.666666667,6,True
1,19,84,11,16,0.994047619,152,0.0,0,False
1,35,60,63,8,0.333333333,618,0.666666667,0,False
2,14,45,2,10,1.111111111,59,0.333333333,0,True
2,17,25,2,8,0.8,126,0.5,5,True
1,56,9,4,5,0.7222222220000001,743,1.0,0,True
3,14,41,5,11,0.916666667,66,0.0,0,False
2,34,41,1,12,0.711538462,225,0.0,5,True
2,32,52,4,11,0.933333333,1216,0.4,6,True
2,30,54,4,14,0.7,388,0.0,1,False
2,2,0,1,1,2.0,4,0.0,0,False
2,27,57,1,12,0.7692307690000001,195,0.666666667,6,True
5,8,6,0,4,2.0,20,0.0,0,True
3,10,3,6,1,2.0,27,0.0,1,False
2,67,22,1,22,0.5,961,0.0,5,True
2,12,10,1,5,2.0,32,0.0,0,False
1,16,1,1,2,2.0,231,0.0,0,False
1,21,0,2,4,0.5,149,1.0,0,False
2,41,38,1,22,0.75,429,0.875,6,True
2,21,49,3,9,0.85,106,0.5,6,True
