lcom,ce,loc,moa,max_cc,bug
1,4,49,0,1,True
3,0,3,0,1,False
78,8,49,0,1,False
1,4,17,0,1,False
253,8,23,0,1,False
26,0,134,0,1,False
0,5,234,1,3,True
274,1,459,0,3,False
3,7,55,0,2,False
78,8,49,0,1,False
1,1,16,0,1,False
8,15,364,0,8,False
221,5,333,3,7,False
1,2,17,0,1,False
126,23,771,5,9,True
3,9,261,1,4,False
1,4,69,0,7,False
6,22,413,1,6,True
0,2,1,0,1,False
1,1,32,0,2,False
3,7,55,0,2,False
21,3,174,0,19,False
10,5,5,0,1,False
0,3,78,0,3,False
16,2,112,1,2,False
9,0,91,5,1,False
68,15,365,7,4,False
1,11,243,1,4,False
6,1,79,5,1,False
21,1,109,1,7,False
0,0,7,0,0,False
1,0,2,0,1,False
91,7,54,0,1,False
0,4,254,1,3,True
55,5,11,0,1,False
11,5,39,2,1,False
78,8,49,0,1,False
1,4,17,0,1,False
16,15,354,5,4,False
1,4,17,0,1,False
10,16,495,3,3,False
1,0,45,0,4,False
182,31,495,4,2,False
8,0,26,0,1,False
0,14,402,0,17,False
1,4,29,0,1,False
1,3,26,1,0,False
78,8,49,0,1,False
0,0,23,0,1,False
3,7,54,0,2,False
78,9,57,0,1,False
88,20,367,6,5,False
10,0,75,0,2,True
78,8,49,0,1,False
0,0,77,0,0,False
3,1,16,0,0,False
21,7,73,0,2,False
260,4,443,3,8,False
3,7,67,0,3,False
4,9,223,0,5,False
3,7,63,0,2,False
55,5,11,0,1,False
0,0,38,0,0,True
31,0,64,0,1,False
11,1,129,6,3,True
95,5,235,3,7,False
78,8,49,0,1,False
3,6,46,0,1,False
9,13,366,4,4,False
51,17,350,1,3,True
492,6,441,2,7,True
0,0,164,0,13,True
276,13,189,0,1,False
0,5,68,1,3,False
1,4,30,0,2,False
11,1,141,7,3,False
3,7,52,0,2,False
1,4,76,0,5,False
10,1,5,0,1,False
78,9,81,0,1,True
2,7,91,1,1,False
3,7,103,0,5,False
6,3,4,0,1,False
1,8,59,0,1,False
0,5,94,0,1,False
15,2,6,0,1,False
10,2,5,0,1,False
0,0,22,0,1,False
11,1,81,2,3,False
0,1,1,0,1,False
3,0,90,0,6,False
66,12,110,0,1,True
36,10,77,0,1,False
3,7,55,0,2,False
457,6,454,2,7,False
4,0,90,0,1,False
0,0,32,0,0,False
6,0,104,0,5,False
91,8,86,0,1,False
40,0,119,0,7,False
78,9,81,0,1,True
18,7,253,0,5,False
0,7,168,1,3,False
3,0,35,0,1,False
6,3,22,0,1,False
13,13,226,1,1,False
7,17,216,0,5,False
36,1,342,0,4,False
383,34,684,8,6,True
2,10,262,1,6,True
21,11,80,0,1,False
55,2,11,0,1,True
11,6,169,0,5,False
20,21,252,5,5,False
78,8,49,0,1,False
1,3,91,0,5,False
6,5,38,0,1,False
3,1,16,0,0,False
0,10,234,2,4,False
76,2,171,2,7,False
2,0,99,0,5,False
6,0,17,0,1,False
1,2,2,0,1,False
2,12,179,3,4,False
37,1,109,1,7,False
18,19,360,0,6,False
78,8,49,0,1,False
1,4,17,0,1,False
1,3,11,0,1,False
0,1,1,0,1,False
7,12,302,1,2,False
0,1,1,0,1,False
61,8,214,0,5,False
0,0,140,0,2,False
91,7,54,0,1,False
14,1,46,1,1,False
88,2,163,2,7,False
21,2,7,0,1,False
78,8,49,0,1,False
1,4,17,0,1,False
3,6,48,0,1,False
0,0,13,0,0,True
115,31,798,8,13,True
0,4,43,0,1,False
24,1,343,1,22,False
28,1,8,0,1,False
0,0,11,0,0,False
78,9,57,0,1,False
28,10,83,0,3,True
21,2,7,0,1,False
6,1,4,0,1,False
15,8,83,0,2,False
1,1,15,0,1,False
26,5,200,2,3,False
37,10,447,2,9,False
15,9,60,0,1,False
0,15,178,3,9,False
3,6,21,0,1,False
2,10,153,1,3,False
51,1,169,0,7,False
10,1,89,0,3,False
2,10,118,1,1,False
13,20,274,1,2,False
78,8,49,0,1,True
0,0,23,0,1,False
83,1,129,1,7,False
13,21,157,0,4,False
1,4,81,0,2,False
0,20,274,1,5,True
10,1,56,0,1,False
270,5,509,3,4,False
1,4,17,0,1,False
4,10,223,0,3,False
17,0,150,0,3,False
1,4,17,0,1,False
36,9,207,0,7,False
28,2,8,0,1,False
3,7,63,0,3,False
1,7,110,0,1,False
0,23,291,1,5,True
147,14,596,3,8,True
1,4,17,0,1,False
3,7,93,0,4,False
4,4,128,2,2,False
10,1,5,0,1,False
41,13,221,6,5,False
253,8,23,0,1,False
4,8,300,2,5,True
1,7,46,0,1,False
344,11,564,1,5,True
0,3,75,1,4,False
15,0,385,0,47,False
10,8,135,0,1,False
11,1,105,4,3,False
78,9,65,0,1,False
2,11,247,1,8,True
4,17,221,1,4,False
118,3,264,1,7,False
6,6,148,3,3,False
1,7,35,0,1,False
1,4,49,0,1,True
3,7,103,0,6,False
253,10,23,0,1,False
3,2,3,0,1,False
6,1,4,0,1,False
1,1,2,0,1,False
167,25,464,7,4,True
11,1,105,4,3,False
28,2,8,0,1,False
63,1,152,1,7,False
73,16,309,7,7,False
2,13,163,1,1,False
3,7,52,0,2,False
6,0,4,0,1,False
11,1,117,5,3,False
36,1,122,1,7,False
31,7,285,0,7,False
126,19,264,8,4,False
1,8,56,0,1,False
117,8,221,0,7,False
0,4,115,0,4,False
8,8,220,1,4,False
3,1,3,0,1,True
9,1,79,1,1,False
6,1,91,6,1,False
7,1,41,1,1,False
1,1,9,0,1,False
3,7,72,0,3,False
2,10,202,1,7,True
0,0,45,0,3,False
0,0,35,0,1,False
0,0,28,0,1,False
69,0,213,0,7,False
180,1,418,0,7,False
6,4,205,0,1,False
6,6,28,0,1,True
282,3,348,3,7,True
91,7,53,0,1,False
0,0,1,0,1,False
9,0,155,0,3,False
108,36,368,6,3,False
20,1,99,1,7,False
78,9,81,0,1,False
36,10,80,0,1,False
15,7,46,0,1,False
4,3,119,0,2,False
1,3,11,0,1,False
1,1,187,1,3,False
253,7,23,0,1,False
0,0,1,0,1,False
0,4,115,0,4,False
21,2,7,0,1,False
1,1,2,0,1,False
0,1,30,0,1,False
15,2,6,0,1,False
1,4,11,0,1,False
0,0,45,0,3,False
1,1,9,0,1,False
7,1,41,1,1,False
9,0,155,0,3,False
108,36,368,6,3,True
21,2,7,0,1,False
