cbm,max_cc,bug
0,5,False
11,3,True
0,0,False
0,3,False
0,4,False
4,4,False
0,2,False
0,2,False
0,4,False
10,3,True
9,2,True
9,3,True
4,2,False
4,7,True
4,2,False
4,2,False
2,5,False
0,2,False
10,3,False
0,2,False
0,1,False
5,2,False
0,5,False
0,2,False
4,4,False
4,4,False
0,6,False
0,3,False
5,5,False
0,5,True
0,6,False
1,2,False
0,1,False
0,1,False
4,4,False
0,1,False
0,1,False
0,2,False
0,2,False
0,1,False
1,7,False
0,1,False
0,8,False
4,4,False
4,5,False
0,2,False
0,2,False
1,7,False
9,2,True
2,2,False
0,3,True
0,3,False
0,4,False
0,0,False
0,6,False
4,2,False
0,4,False
0,10,False
0,2,False
0,3,False
0,16,True
0,3,False
0,4,False
0,10,False
0,4,False
0,0,False
2,1,False
10,2,True
0,4,True
0,4,False
0,2,False
4,2,False
0,4,False
0,6,False
11,3,True
0,6,False
0,2,False
0,4,False
0,5,False
0,1,False
0,4,False
0,2,False
0,0,False
0,20,True
0,0,False
0,2,False
0,2,False
4,2,True
0,4,False
0,7,False
0,3,False
4,2,False
0,2,False
0,4,False
0,6,False
4,2,False
0,2,False
0,2,False
1,7,False
0,1,False
4,2,False
0,0,False
4,4,False
4,2,True
0,7,False
0,7,False
9,2,True
0,5,False
9,2,True
0,0,False
0,2,False
6,4,False
0,8,False
4,13,False
4,2,False
0,4,False
0,1,False
0,2,False
0,16,False
0,1,False
9,2,False
9,2,True
0,1,False
1,2,False
0,3,False
0,7,False
0,4,False
4,4,True
2,2,True
0,1,False
1,7,False
4,4,False
4,4,False
5,3,False
0,3,False
2,5,False
4,4,False
0,2,False
0,6,False
1,7,True
0,5,False
4,4,False
0,3,False
0,6,False
0,4,True
0,2,False
0,1,False
2,2,False
9,2,True
2,4,False
4,4,False
0,1,False
0,7,False
5,8,False
4,8,False
0,1,False
0,1,False
1,7,False
9,2,True
0,3,False
0,4,False
0,3,False
1,7,True
0,2,True
0,3,False
1,7,False
0,6,False
0,3,False
0,2,False
4,2,False
0,2,False
0,3,False
1,7,True
4,3,False
0,1,False
0,13,False
