wmc,rfc,lcom,ca,max_cc,bug
3,13,3,0,1,False
4,15,0,24,2,False
7,25,21,1,1,True
5,29,4,1,1,False
9,73,12,4,17,True
6,43,11,2,1,False
4,25,6,1,1,False
4,26,0,1,1,False
16,93,72,2,1,True
2,3,1,1,2,False
3,23,0,1,1,False
3,21,3,1,1,False
5,24,10,2,1,False
11,18,53,16,2,False
4,20,4,16,2,False
9,30,36,3,1,False
3,12,0,1,1,False
5,38,0,2,7,False
14,44,29,5,3,True
2,10,1,1,1,False
5,69,0,1,2,False
32,44,264,9,1,True
14,29,21,5,2,False
3,23,0,1,2,False
3,23,0,1,1,False
10,15,39,7,1,True
3,29,0,1,1,False
3,11,3,2,1,False
6,11,15,6,5,True
6,7,3,1,1,False
6,22,15,2,1,False
2,3,1,1,1,False
12,53,12,7,3,True
2,5,1,0,1,False
7,20,9,5,2,False
3,15,1,2,1,False
1,2,0,5,0,False
11,20,29,2,1,False
14,118,77,5,4,True
6,52,7,2,2,False
9,12,30,2,1,False
5,19,10,1,1,False
4,28,6,1,1,False
2,7,1,1,1,False
11,37,7,1,7,False
