dit,rfc,lcom3,bug
1,10,2.0,False
1,1,2.0,False
5,67,0.7613636359999999,False
1,2,2.0,False
1,22,0.833333333,False
1,2,2.0,False
5,60,0.841666667,False
1,50,1.05,True
6,25,0.0,True
6,48,0.7857142859999999,True
1,16,2.0,False
1,2,2.0,False
3,2,2.0,False
5,60,0.571428571,False
2,7,0.916666667,False
1,3,2.0,False
1,53,0.844827586,True
1,30,0.0,False
3,2,2.0,False
1,5,2.0,False
1,46,0.5,False
3,2,2.0,False
1,57,0.8222222220000001,False
1,23,1.333333333,False
5,109,0.763736264,False
1,32,2.0,False
1,25,0.675,False
3,2,2.0,False
1,10,0.666666667,False
5,67,0.775119617,False
1,2,2.0,False
1,27,0.75,True
2,8,0.931818182,False
1,22,2.0,False
1,9,2.0,False
1,12,0.8,False
1,53,0.64,True
5,80,0.847619048,True
5,61,0.675,True
2,26,0.7,True
1,3,2.0,False
2,30,0.7333333329999999,False
1,7,2.0,False
1,74,0.816666667,False
1,40,0.962566845,False
