wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug
15,18,52,3,15,271,4,0,16.53333333,13,True
3,2,8,1,1,60,0,0,15.0,0,False
15,23,33,18,5,229,0,0,14.06666667,4,True
2,6,5,2,4,14,0,0,6.0,1,False
2,11,2,8,3,2,0,0,0.0,1,True
4,8,29,0,8,141,0,0,34.0,6,False
4,7,19,1,7,78,1,1,18.25,5,True
51,4,71,1,3,481,0,0,8.274509804,3,False
14,14,46,5,9,544,0,0,37.28571429,8,False
4,4,31,4,0,179,0,0,42.75,4,False
2,16,30,2,14,373,0,0,185.5,25,False
17,23,77,4,19,673,6,0,37.76470588,30,False
3,10,25,0,10,139,0,0,45.33333333,10,False
10,33,10,30,5,10,0,0,0.0,1,False
20,31,107,3,29,844,1,0,40.6,39,True
15,12,73,0,12,609,0,3,39.4,9,False
3,8,24,0,8,114,0,0,37.0,7,False
17,14,58,2,12,444,2,0,24.64705882,12,True
3,11,25,0,11,156,0,0,51.0,12,False
3,7,15,0,7,46,0,0,14.33333333,3,False
2,5,30,3,3,183,0,5,90.5,9,True
5,20,51,4,16,319,1,3,62.6,23,True
12,10,12,7,3,12,0,0,0.0,1,False
10,14,35,7,7,176,0,0,16.5,3,True
8,21,64,1,21,570,1,2,69.75,4,False
3,4,3,2,2,3,0,0,0.0,1,False
9,38,102,1,37,620,0,0,67.77777778,6,True
11,18,71,3,16,542,1,3,47.63636364,16,True
3,5,8,0,5,21,0,0,5.666666667,1,False
12,12,37,5,7,319,0,0,24.75,7,True
26,17,31,13,4,193,1,0,5.961538462,4,False
4,7,16,1,6,76,0,0,17.75,5,True
3,13,28,0,13,142,0,0,46.33333333,9,False
23,18,70,2,17,537,0,0,21.95652174,5,False
5,14,67,1,13,695,0,0,137.8,50,False
43,18,44,18,0,274,0,0,4.88372093,1,False
15,28,84,0,28,507,0,0,32.73333333,19,True
6,71,45,50,21,219,0,5,35.16666667,8,True
3,7,15,0,7,46,0,0,14.33333333,3,False
5,13,26,7,6,151,0,0,28.8,5,True
6,12,22,2,10,194,0,0,31.0,9,False
16,34,52,24,12,428,0,4,25.3125,29,True
1,2,1,2,0,1,0,0,0.0,1,False
4,6,16,0,6,97,0,0,21.5,7,False
28,31,106,2,29,828,3,0,28.10714286,17,True
4,10,29,0,10,133,0,0,32.0,6,False
3,6,6,2,5,18,0,0,5.0,1,False
7,8,17,3,5,151,0,0,19.57142857,5,False
1,10,1,9,1,1,0,0,0.0,1,False
