cbo,rfc,loc,moa,max_cc,bug
6,14,39,2,1,False
4,5,36,0,1,False
49,89,583,24,5,False
0,8,20,0,0,False
3,8,73,0,3,False
38,91,717,7,15,True
0,3,3,0,1,False
3,24,114,0,3,False
2,7,30,0,3,False
5,8,27,0,1,False
1,25,283,0,2,False
12,22,1700,3,1,True
1,7,14,0,1,False
0,0,0,0,0,False
8,33,177,0,1,False
6,9,35,0,1,False
3,15,17,0,1,False
0,3,5,0,1,False
20,145,1226,1,10,False
40,207,2594,9,41,True
0,2,10,0,0,False
4,6,33,0,1,False
9,93,995,2,6,False
4,12,40,0,1,False
2,31,259,0,5,False
8,97,981,3,11,False
11,21,108,2,2,True
0,5,28,1,1,False
5,8,32,0,1,False
0,3,5,0,1,False
3,0,0,0,0,False
19,46,350,3,1,False
2,5,11,0,1,False
0,2,9,0,0,True
9,36,181,0,1,False
2,7,29,0,1,False
2,23,167,1,2,False
4,11,24,0,1,False
26,98,962,0,10,False
2,4,31,0,2,False
79,37,296,0,5,False
35,12,77,0,4,False
2,9,91,1,5,False
2,6,21,1,1,False
0,6,8,0,1,False
14,71,836,6,6,False
3,9,59,1,2,False
18,5,5,0,1,False
4,25,331,0,5,False
2,11,56,0,1,False
2,20,92,1,2,False
7,8,44,0,1,False
6,32,378,0,7,False
2,11,52,0,1,False
5,4,79,0,0,True
7,3,8,0,1,False
10,210,1160,4,3,True
0,2,23,0,0,True
2,4,9,0,0,False
0,35,343,0,6,False
6,42,287,0,7,False
4,35,204,2,3,False
19,34,34,0,1,False
4,4,4,0,1,False
2,11,37,1,1,False
0,2,2,0,1,False
17,92,2453,2,10,False
0,8,20,0,0,False
8,13,36,1,1,False
1,10,12,0,1,False
0,6,22,0,1,False
14,69,348,2,3,False
2,13,58,0,1,False
19,143,1833,4,19,True
12,25,265,1,5,False
19,96,897,3,9,False
4,2,4,0,0,False
3,3,8,0,1,False
1,13,221,2,7,False
0,8,20,0,0,False
26,166,2361,7,11,True
2,22,161,1,8,False
4,37,203,0,1,False
0,24,24,0,1,False
4,10,45,0,1,False
4,45,379,0,1,False
0,8,31,0,1,False
0,17,98,3,12,False
5,12,259,0,1,False
4,4,13,0,1,False
4,23,166,0,1,False
14,144,2014,3,31,False
2,34,263,0,1,False
4,67,655,1,4,False
19,76,640,1,5,True
23,9,183,2,6,False
3,15,84,0,4,False
16,65,408,1,10,False
12,26,142,0,1,True
15,89,826,5,10,True
20,1,1,0,1,False
14,45,263,1,3,True
34,174,1902,8,9,False
2,18,1355,1,15,False
16,46,283,0,1,False
0,7,23,1,1,False
9,20,169,1,5,False
3,32,249,0,1,False
9,13,100,0,5,False
8,6,24,1,2,False
66,34,40,0,1,False
5,10,38,0,1,False
5,5,24,0,1,False
8,3,5,0,1,False
12,9,65,0,1,False
6,23,132,4,2,False
3,27,139,0,1,False
2,5,11,0,1,False
10,61,488,1,3,False
3,1,171,0,0,False
5,15,101,1,1,False
1,2,4,0,0,False
4,27,169,3,3,False
3,4,9,0,1,False
5,16,78,0,1,False
3,27,237,0,6,False
0,29,48,0,1,False
2,6,31,0,3,False
16,163,1551,2,13,False
0,4,22,0,1,False
12,158,1383,3,18,False
26,128,1066,2,22,True
4,27,245,1,3,False
6,4,4,0,1,False
5,36,349,1,8,False
17,59,585,5,11,True
0,20,223,1,5,False
5,5,24,0,1,False
2,4,20,0,0,False
2,7,17,0,0,False
0,2,2,0,1,False
4,9,63,0,1,False
18,83,845,2,8,True
3,13,106,0,6,True
7,17,79,2,3,False
5,52,307,1,1,False
5,19,268,1,4,False
3,21,152,1,2,False
1,4,4,0,1,False
0,35,111,1,2,False
12,8,8,0,1,False
40,133,3133,0,4,False
2,21,304,0,7,False
6,11,166,0,2,False
0,2,2,0,1,False
1,78,560,1,8,True
4,29,149,0,6,False
4,23,165,0,1,False
33,50,376,3,2,False
3,30,368,0,15,False
0,15,66,0,2,False
41,210,2793,8,44,True
40,14,65,1,1,False
63,511,7956,12,17,True
2,4,21,0,1,False
0,23,78,1,1,False
2,28,173,1,2,True
0,1,1,0,1,False
3,21,205,1,3,False
2,14,77,0,1,False
3,59,518,14,3,False
5,18,104,0,4,False
19,114,811,0,5,True
48,180,2215,8,4,False
8,37,336,0,4,False
2,46,490,0,20,False
31,142,1303,8,8,False
3,25,466,0,1,False
18,14,14,0,1,False
2,37,259,0,12,False
2,74,772,1,6,False
6,13,34,1,1,False
7,60,522,1,11,False
30,118,1756,0,11,False
1,1,1,0,1,False
1,63,223,0,2,False
3,63,912,0,3,False
0,21,60,0,1,False
30,5,5,0,1,False
0,2,4,0,1,False
12,35,245,2,1,True
2,10,39,0,1,False
2,7,17,0,0,False
13,55,724,2,11,False
3,15,108,0,2,False
2,9,91,1,5,False
3,20,146,0,3,False
3,2,2,0,1,False
3,15,135,0,1,False
5,5,24,0,1,False
5,15,102,2,6,False
26,113,2141,0,19,False
10,194,3271,3,16,True
5,21,129,0,1,False
2,16,103,0,1,False
12,81,675,5,3,False
0,2,14,0,0,False
0,43,289,0,6,False
51,29,401,2,7,False
2,34,115,1,1,False
3,10,59,0,1,False
2,28,257,1,1,False
4,6,25,0,1,False
1,0,0,0,0,False
1,11,308,0,28,False
4,2,2,0,1,False
5,44,434,0,28,False
8,121,398,2,1,False
0,2,2,0,1,False
4,5,19,0,0,False
20,133,1008,2,4,False
19,44,410,0,1,False
4,20,93,0,1,False
0,1,1,0,1,False
9,13,105,0,2,False
3,10,43,0,1,False
6,19,87,0,1,False
4,19,57,0,1,False
22,41,378,1,5,False
2,7,33,4,1,False
8,19,149,1,4,False
0,4,6,0,1,False
0,51,574,0,4,True
10,31,174,1,3,False
2,5,18,1,1,False
1,11,67,0,3,False
2,30,581,1,6,False
1,22,47,0,1,False
11,7,79,1,1,False
2,5,11,0,1,False
0,2,5,0,0,False
2,13,296,1,5,False
29,110,879,2,3,False
8,60,555,1,2,False
14,176,4485,1,32,True
4,23,166,0,1,False
1,6,10,0,1,False
2,56,307,0,8,False
3,7,25,0,1,False
16,89,918,1,5,False
1,15,17,0,1,False
5,13,81,1,7,False
0,2,7,0,0,False
6,20,157,3,1,False
0,8,31,0,1,False
2,5,11,0,1,False
25,88,674,1,10,False
9,2,2,0,1,False
11,39,594,3,14,True
2,14,47,0,1,False
4,7,17,0,1,False
4,10,56,1,1,False
4,18,104,1,4,False
3,30,206,1,1,False
0,2,5,0,0,False
2,25,212,0,3,False
3,26,221,1,3,False
11,38,351,1,3,False
1,17,160,0,1,False
1,10,54,0,1,False
53,104,1169,3,13,False
2,13,58,0,1,False
1,22,184,0,14,False
8,0,57,0,0,False
3,13,101,0,10,False
0,7,33,0,1,False
5,31,125,0,1,False
4,119,1190,0,1,True
5,50,375,1,16,False
0,17,58,0,1,False
5,31,189,0,5,False
9,33,212,1,3,False
4,8,21,0,1,False
11,85,865,0,12,False
2,11,43,1,3,False
3,15,64,0,1,False
1,13,2144,0,1,False
4,69,170,0,1,False
1,56,329,0,1,False
39,175,1350,0,4,False
8,16,88,1,1,False
0,8,20,0,1,False
5,54,3880,1,95,False
1,11,19,0,1,False
2,5,16,1,1,False
4,12,12,0,1,False
2,13,58,0,1,False
6,6,16,0,1,False
8,29,433,4,2,True
6,27,90,0,3,False
3,11,60,0,2,False
3,11,342,0,2,False
6,17,150,0,1,False
6,35,209,3,3,False
0,47,384,0,4,False
2,1,298,0,0,False
14,16,144,0,4,False
0,5,5,0,1,False
0,24,257,0,3,False
0,8,76,1,2,False
2,8,33,1,1,False
0,2,41,0,0,False
6,15,390,0,1,False
2,16,56,1,1,False
11,35,484,1,34,False
16,1,1,0,1,False
14,76,2884,6,39,False
10,56,514,1,19,False
0,6,36,0,1,False
0,16,63,0,2,False
4,24,161,0,1,False
0,11,34,1,1,False
7,71,1068,2,14,False
2,3,3,0,1,False
0,63,185,1,2,False
11,55,786,0,6,False
0,53,1126,0,6,False
13,32,210,1,5,False
0,8,31,0,1,False
14,77,702,0,25,False
11,102,1083,0,16,False
6,9,101,2,1,False
2,45,265,1,2,False
9,18,507,0,3,False
