Project,VV,RF,AdaBoost
ant-1.7.csv,0.819537216,0.799961504,0.82613355
arc.csv,0.753981034,0.713544462,0.728216139
camel-1.6.csv,0.696233468,0.69083217,0.715826008
e-learning.csv,0.857627119,0.8,0.761016949
intercafe.csv,0.891304348,0.815217391,0.739130435
ivy-2.0.csv,0.785416667,0.805128205,0.793790064
jedit-4.3.csv,0.833396333,0.742487242,0.763655264
kalkulator.csv,0.825396825,0.80952381,0.849206349
log4j-1.2.csv,0.74239418,0.65244709,0.643518519
lucene-2.4.csv,0.766926756,0.765848046,0.805220956
nieruchomosci.csv,0.882352941,0.870588235,0.861764706
pbeans2.csv,0.638461538,0.679487179,0.625641026
pdftranslator.csv,0.907407407,0.972222222,0.992592593
poi-2.5.csv,0.843624912,0.880798211,0.877766659
prop-6.csv,0.736417202,0.700145393,0.686447811
redaktor.csv,0.744966443,0.680338056,0.671638081
serapion.csv,0.882716049,0.816358025,0.859567901
skarbonka.csv,0.75617284,0.733024691,0.74691358
sklebagd.csv,0.854166667,0.90625,0.807291667
synapse-1.2.csv,0.800205198,0.779582763,0.79630643
systemdata.csv,0.740079365,0.615079365,0.557539683
szybkafucha.csv,0.772727273,0.769480519,0.694805195
termoproject.csv,0.867374005,0.847480106,0.811671088
tomcat.csv,0.802367927,0.779204151,0.765685019
velocity-1.6.csv,0.796145356,0.756155544,0.766513839
workflow.csv,0.468421053,0.469736842,0.442105263
wspomaganiepi.csv,0.930555556,0.840277778,0.854166667
xalan-2.7.csv,0.943865155,0.848096781,0.893045151
xerces-1.4.csv,0.911012775,0.919309864,0.901283586
zuzel.csv,0.889423077,0.879807692,0.889423077
