Project	VV	RF	AB
ant-1.7.csv	0.810287783	0.789432341	0.825956676
arc.csv	0.735909823	0.699677939	0.780282698
camel-1.6.csv	0.70354473	0.673293354	0.70750842
e-learning.csv	0.854237288	0.940677966	0.916949153
intercafe.csv	0.902173913	0.831521739	0.75
ivy-2.0.csv	0.776442308	0.745032051	0.817387821
jedit-4.3.csv	0.823757324	0.775751276	0.829049329
kalkulator.csv	0.849206349	0.920634921	0.746031746
log4j-1.2.csv	0.699404762	0.620866402	0.654431217
lucene-2.4.csv	0.753730538	0.779781381	0.792743878
nieruchomosci.csv	0.905882353	0.897058824	0.873529412
pbeans2.csv	0.553846154	0.697435897	0.607692308
pdftranslator.csv	0.911111111	0.97962963	0.961111111
poi-2.5.csv	0.840622793	0.894204733	0.883476572
prop-6.csv	0.74271758	0.680568309	0.695120396
redaktor.csv	0.769077803	0.741983594	0.663435247
serapion.csv	0.895061728	0.836419753	0.895061728
skarbonka.csv	0.777777778	0.785493827	0.74691358
sklebagd.csv	0.864583333	0.848958333	0.885416667
synapse-1.2.csv	0.788919289	0.788201094	0.786730506
systemdata.csv	0.60515873	0.558531746	0.595238095
szybkafucha.csv	0.74025974	0.717532468	0.668831169
termoproject.csv	0.888594164	0.779840849	0.874005305
tomcat.csv	0.812893892	0.749189351	0.754892994
velocity-1.6.csv	0.749617932	0.758193242	0.758193242
workflow.csv	0.447368421	0.45	0.418421053
wspomaganiepi.csv	0.944444444	0.861111111	0.861111111
xalan-2.7.csv	0.938803401	0.856954849	0.751366673
xerces-1.4.csv	0.908284965	0.925083729	0.909163926
zuzel.csv	0.899038462	0.846153846	0.870192308
