Project,VV,RF,AB
ant-1.7.csv,0.596385542,0.55090808,0.562895925
arc.csv,0.395577403,0.380215621,0.226455407
camel-1.6.csv,0.354859225,0.345179571,0.336752894
e-learning.csv,0.404519917,0.282842712,0.372104204
intercafe.csv,0.56694671,0.612372436,0.612372436
ivy-2.0.csv,0.439796604,0.347439614,0.433860916
jedit-4.3.csv,0.205152485,0.255945348,0.280399855
kalkulator.csv,0.433012702,0.6172134,0.547722558
log4j-1.2.csv,0.813641305,0.887411101,0.884439575
lucene-2.4.csv,0.688874764,0.746982132,0.789103751
nieruchomosci.csv,0.6,0.737864787,0.7
pbeans2.csv,0.632455532,0.632455532,0.632455532
pdftranslator.csv,0.745355992,0.894427191,0.933333333
poi-2.5.csv,0.802405152,0.810405056,0.848666198
prop-6.csv,0.330120744,0.328351933,0.358379014
redaktor.csv,0.379663198,0.348155312,0.363054099
serapion.csv,0.577350269,0.589255651,0.632455532
skarbonka.csv,0.5,0.210818511,0.402015126
sklebagd.csv,0.819891592,0.848668425,0.833333333
synapse-1.2.csv,0.635338087,0.611052381,0.619893641
systemdata.csv,0.353553391,0.356348323,0.25
szybkafucha.csv,0.6172134,0.6172134,0.690065559
termoproject.csv,0.640512615,0.693375245,0.501745206
tomcat.csv,0.420197669,0.312893109,0.307693556
velocity-1.6.csv,0.60415854,0.583101213,0.562965912
workflow.csv,0.404145188,0.346410162,0.335410197
wspomaganiepi.csv,0.960768923,0.916666667,0.87038828
xalan-2.7.csv,0.982593671,0.988243922,0.988807172
xerces-1.4.csv,0.861339968,0.932681732,0.936466876
zuzel.csv,0.846153846,0.769230769,0.846153846
