Project,VV,RF,AB
ant-1.7.csv,0.518021343,0.478825156,0.550977777
arc.csv,0.240562612,0.344265186,0.186704011
camel-1.6.csv,0.314694903,0.261067096,0.312053346
e-learning.csv,0.547722558,0.25819889,0.447213595
intercafe.csv,0.866025404,0.866025404,0.866025404
ivy-2.0.csv,0.372104204,0.345134245,0.355023473
jedit-4.3.csv,0.452267017,0.301511345,0.319801075
kalkulator.csv,0.612372436,0.471404521,0.40824829
log4j-1.2.csv,0.940027888,0.951537325,0.943207777
lucene-2.4.csv,0.704854894,0.776157827,0.773779889
nieruchomosci.csv,0.632455532,0.782623792,0.717137166
pbeans2.csv,0.387298335,0.559016994,0.559016994
pdftranslator.csv,0.778498944,0.859337849,0.856348839
poi-2.5.csv,0.826926787,0.860771409,0.841138825
prop-6.csv,0.251432676,0.265562452,0.382518426
redaktor.csv,0.573964021,0.496903995,0.5143445
serapion.csv,0.589255651,0.384900179,0.5
skarbonka.csv,0.333333333,0.19245009,0.166666667
sklebagd.csv,0.79385662,0.833333333,0.916666667
synapse-1.2.csv,0.554204707,0.588680204,0.62269252
systemdata.csv,0.5,0.5,0.5
szybkafucha.csv,0.6172134,0.714285714,0.642857143
termoproject.csv,0.686406473,0.501745206,0.585369407
tomcat.csv,0.360374985,0.282038037,0.306318737
velocity-1.6.csv,0.452910814,0.511617178,0.550943903
workflow.csv,0.391311896,0.410391341,0.410391341
wspomaganiepi.csv,0.960768923,0.960768923,0.87038828
xalan-2.7.csv,0.997222065,0.997222065,0.997222065
xerces-1.4.csv,0.938442433,0.945476522,0.941994762
zuzel.csv,0.83624201,0.76271277,0.880704846
